# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_13             -          TR                   -                1     314  5400928  5401254  5400928  5401257 11205431    +     4.3e-41  147.0   2.3  -
SUPER_11             -          TR                   -                1      67  7751218  7751284  7751218  7751296 12368416    +        0.12   17.6   1.8  -
SUPER_14             -          TR                   -                1     102  2948946  2949040  2948946  2949060 11045729    +         0.2   16.8   3.0  -
SUPER_3              -          TR                   -                1      97 15641785 15641696 15641785 15641681 16788824    -        0.27   16.3   3.3  -
SUPER_7              -          TR                   -                1     102   743607   743701   743607   743714 14505831    +        0.31   16.2   3.7  -
SUPER_2              -          TR                   -                2     101 17253137 17253045 17253138 17253030 17262553    -        0.44   15.7   3.2  -
SUPER_14             -          TR                   -                1      66  1922888  1922824  1922888  1922808 11045729    -        0.49   15.5   4.9  -
SUPER_5              -          TR                   -                1     102  8407110  8407016  8407110  8407003 15903242    -         0.5   15.5   3.9  -
SUPER_12             -          TR                   -                1     102  6516510  6516604  6516510  6516619 12289703    +        0.58   15.3   2.3  -
SUPER_5              -          TR                   -                1      99  4495638  4495729  4495638  4495742 15903242    +        0.65   15.1   2.9  -
SUPER_1              -          TR                   -                1     115  1104872  1104967  1104872  1104980 17896959    +        0.72   15.0   6.0  -
SUPER_8              -          TR                   -               29     161  6052931  6053056  6052910  6053061 14070186    +        0.73   14.9   3.0  -
SUPER_11             -          TR                   -                1     102  8197778  8197872  8197778  8197884 12368416    +        0.81   14.8   2.9  -
SUPER_4              -          TR                   -                1     101  7094020  7093927  7094020  7093916 16219724    -        0.83   14.8   2.2  -
SUPER_16             -          TR                   -                1     102  2396757  2396663  2396757  2396643 10788409    -        0.88   14.7   1.3  -
SUPER_16             -          TR                   -                1     102  5870556  5870650  5870556  5870661 10788409    +        0.89   14.7   1.6  -
SUPER_4              -          TR                   -                1     100 11752395 11752487 11752395 11752507 16219724    +           1   14.5   4.2  -
SUPER_13             -          TR                   -                1     102 10396267 10396173 10396267 10396160 11205431    -           1   14.5   2.7  -
SUPER_15             -          TR                   -                1     101  9209960  9209867  9209960  9209846 11042475    -           1   14.5   1.7  -
SUPER_16             -          TR                   -                1     102  6551432  6551338  6551432  6551324 10788409    -         1.1   14.4   2.6  -
SUPER_5              -          TR                   -                1     102  2771833  2771739  2771833  2771719 15903242    -         1.1   14.4   2.3  -
SUPER_16             -          TR                   -                1     102  6551924  6551830  6551924  6551818 10788409    -         1.1   14.4   2.6  -
SUPER_16             -          TR                   -                1     102  6552170  6552076  6552170  6552064 10788409    -         1.1   14.4   2.6  -
SUPER_12             -          TR                   -                1     102   423580   423674   423580   423687 12289703    +         1.1   14.4   2.5  -
SUPER_14             -          TR                   -                1     102  2948709  2948803  2948709  2948816 11045729    +         1.1   14.4   2.5  -
SUPER_5              -          TR                   -                1     102  8056960  8056866  8056960  8056852 15903242    -         1.1   14.4   3.6  -
SUPER_6              -          TR                   -                1     102   854827   854733   854827   854713 15336911    -         1.1   14.3   1.2  -
SUPER_16             -          TR                   -                1     102  5870310  5870404  5870310  5870416 10788409    +         1.2   14.3   1.9  -
SUPER_2              -          TR                   -                2     102  6806745  6806838  6806744  6806848 17262553    +         1.2   14.2   4.3  -
SUPER_14             -          TR                   -                1      65  2045393  2045331  2045393  2045310 11045729    -         1.2   14.2   1.8  -
SUPER_3              -          TR                   -                1     101 14894365 14894272 14894365 14894256 16788824    -         1.2   14.2   3.9  -
SUPER_15             -          TR                   -                1     102  9247661  9247755  9247661  9247775 11042475    +         1.3   14.1   2.2  -
SUPER_16             -          TR                   -                1     102  2397003  2396909  2397003  2396896 10788409    -         1.3   14.1   3.2  -
SUPER_2              -          TR                   -                1     102  2436549  2436455  2436549  2436440 17262553    -         1.3   14.1   2.8  -
SUPER_4              -          TR                   -                1     102 11752642 11752736 11752642 11752756 16219724    +         1.3   14.1   3.6  -
SUPER_12             -          TR                   -                1     102   423332   423426   423332   423438 12289703    +         1.4   14.1   1.4  -
SUPER_16             -          TR                   -                1     102  6551678  6551584  6551678  6551571 10788409    -         1.4   14.0   3.2  -
SUPER_15             -          TR                   -                2     102    22070    21977    22071    21929 11042475    -         1.4   14.0   3.5  -
SUPER_2              -          TR                   -                1     102  2162812  2162906  2162812  2162916 17262553    +         1.4   14.0   2.1  -
SUPER_14             -          TR                   -                1     102  2398747  2398653  2398747  2398641 11045729    -         1.5   14.0   2.2  -
SUPER_2              -          TR                   -                1     102  2162320  2162414  2162320  2162426 17262553    +         1.5   14.0   2.2  -
SUPER_5              -          TR                   -                1     102  2772079  2771985  2772079  2771973 15903242    -         1.5   14.0   2.2  -
SUPER_8              -          TR                   -                1     102 11440757 11440851 11440757 11440863 14070186    +         1.5   14.0   2.2  -
SUPER_6              -          TR                   -                1     102   855073   854979   855073   854967 15336911    -         1.5   13.9   1.4  -
SUPER_2              -          TR                   -                1     102  2162566  2162660  2162566  2162671 17262553    +         1.5   13.9   1.4  -
SUPER_15             -          TR                   -                1     102  9247167  9247261  9247167  9247273 11042475    +         1.5   13.9   2.0  -
SUPER_14             -          TR                   -                1     101  5045746  5045839  5045746  5045848 11045729    +         1.5   13.9   1.3  -
SUPER_6              -          TR                   -                1      66 13185373 13185310 13185373 13185289 15336911    -         1.6   13.8   2.4  -
SUPER_5              -          TR                   -                2     102   763513   763606   763512   763620 15903242    +         1.7   13.7   2.7  -
SUPER_14             -          TR                   -                1     102 10723575 10723481 10723575 10723461 11045729    -         1.8   13.7   2.5  -
SUPER_4              -          TR                   -                1     102  9959668  9959574  9959668  9959554 16219724    -         1.8   13.7   2.0  -
SUPER_14             -          TR                   -                2      98 10330951 10330862 10330952 10330842 11045729    -           2   13.5   1.7  -
SUPER_5              -          TR                   -                1     101 14355382 14355289 14355382 14355275 15903242    -           2   13.5   3.1  -
SUPER_10             -          TR                   -                1     102  2641604  2641698  2641604  2641710 12537157    +         2.1   13.4   1.7  -
SUPER_12             -          TR                   -                1     101  6325954  6326047  6325954  6326066 12289703    +         2.3   13.3   4.5  -
SUPER_14             -          TR                   -                1     102  5046012  5045918  5046012  5045906 11045729    -         2.3   13.3   1.7  -
