# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     314 13713940 13713603 13713941 13713600 57248969    -     4.5e-13   56.3   9.5  -
SUPER_1              -          TR                   -                2     314 13726559 13726222 13726560 13726219 57248969    -     1.1e-10   48.4   7.8  -
SUPER_1              -          TR                   -              175     314 13722327 13722182 13722330 13722179 57248969    -     0.00024   27.6   0.5  -
SUPER_9              -          TR                   -               42     142 18448054 18447941 18448084 18447842 34808348    -       0.011   22.2  13.4  -
SUPER_7              -          TR                   -                2     118 27404317 27404423 27404316 27404438 36772736    +        0.06   19.8   3.3  -
SUPER_12             -          TR                   -                1     101 10381114 10381241 10381114 10381255 31485136    +        0.11   18.9   2.5  -
SUPER_2              -          TR                   -                1      89 37872145 37872025 37872145 37872004 51524906    -        0.21   18.0   2.9  -
SUPER_4              -          TR                   -                1      84 31171823 31171718 31171823 31171704 39270801    -        0.37   17.2   2.3  -
SUPER_5              -          TR                   -                1      78 24926541 24926632 24926541 24926647 38591444    +        0.54   16.6   1.3  -
SUPER_10             -          TR                   -                1      84 20619023 20619148 20619023 20619161 34700613    +        0.55   16.6   1.8  -
SUPER_13             -          TR                   -                1      90  6414164  6414286  6414164  6414305 29830430    +        0.76   16.2   3.4  -
SUPER_1              -          TR                   -                1      62 33396661 33396720 33396661 33396731 57248969    +        0.81   16.1   0.4  -
SUPER_1              -          TR                   -                1      94 29492267 29492391 29492267 29492408 57248969    +        0.94   15.8   1.7  -
SUPER_9              -          TR                   -                1      92  4238944  4239071  4238944  4239088 34808348    +        0.96   15.8   3.1  -
SUPER_6              -          TR                   -                2      63 14084302 14084361 14084301 14084381 36820698    +           1   15.7   1.7  -
SUPER_5              -          TR                   -                1      63 16627018 16626958 16627018 16626937 38591444    -         1.5   15.2   0.7  -
SUPER_10             -          TR                   -                1      63 20049005 20048945 20049005 20048924 34700613    -         1.5   15.2   1.5  -
SUPER_3              -          TR                   -                2      98 35131055 35130933 35131056 35130914 43094496    -         1.8   14.9   1.5  -
SUPER_6              -          TR                   -                1      61 14260759 14260701 14260759 14260681 36820698    -         1.9   14.8   2.5  -
SUPER_2              -          TR                   -                1      67 19634040 19633976 19634040 19633951 51524906    -           2   14.8   0.5  -
SUPER_7              -          TR                   -                1      63 14532518 14532458 14532518 14532436 36772736    -         2.1   14.7   1.5  -
SUPER_11             -          TR                   -                1      63 14430908 14430968 14430908 14430988 34439160    +         2.6   14.4   1.0  -
SUPER_5              -          TR                   -                2      53  2586950  2586999  2586949  2587019 38591444    +         2.7   14.3   1.9  -
SUPER_4              -          TR                   -                1      63  6248662  6248722  6248662  6248742 39270801    +         2.8   14.3   1.2  -
SUPER_15             -          TR                   -                1      62   861016   861075   861016   861095 14622717    +         2.9   14.2   2.2  -
SUPER_3              -          TR                   -                1      63 24325837 24325777 24325837 24325757 43094496    -         2.9   14.2   1.2  -
SUPER_15             -          TR                   -                1      63 11681671 11681731 11681671 11681751 14622717    +         3.1   14.2   1.1  -
SUPER_10             -          TR                   -                1      63 28103509 28103449 28103509 28103428 34700613    -         3.5   14.0   1.0  -
SUPER_11             -          TR                   -                1      64 31164614 31164675 31164614 31164696 34439160    +         3.6   13.9   1.8  -
SUPER_1              -          TR                   -                1      63 39446466 39446526 39446466 39446546 57248969    +         3.9   13.8   1.4  -
SUPER_2              -          TR                   -                1      63 35745331 35745391 35745331 35745402 51524906    +         3.9   13.8   1.8  -
