# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     315 14049046 14048704 14049046 14048702 59506300    -     1.2e-35  130.7   6.0  -
SUPER_2              -          TR                   -                1     305 12688538 12688862 12688538 12688877 59506300    +     1.9e-31  116.9   6.7  -
SUPER_12             -          TR                   -                1     314 10951880 10952217 10951880 10952223 36761819    +     1.4e-30  114.1   7.8  -
SUPER_12             -          TR                   -                1     314 10930995 10930658 10930995 10930652 36761819    -     1.4e-30  114.1   7.8  -
SUPER_12             -          TR                   -                1     315  9859629  9859961  9859629  9859964 36761819    +     6.4e-30  111.9   9.2  -
SUPER_4              -          TR                   -                4     315 50670960 50671294 50670957 50671296 51571781    +     3.4e-28  106.2   8.6  -
SUPER_15             -          TR                   -                1     316 31020427 31020096 31020427 31020095 31434786    -     2.8e-22   86.8   8.8  -
SUPER_8              -          TR                   -                1     117  9443568  9443690  9443568  9443692 40672081    +        0.22   18.2   3.2  -
SUPER_6              -          TR                   -                1      84 15276348 15276440 15276348 15276458 47175577    +        0.33   17.7   1.8  -
SUPER_13             -          TR                   -                1      95 27547156 27547243 27547156 27547263 35948857    +        0.66   16.7   1.7  -
SUPER_10             -          TR                   -                1      95 38565743 38565842 38565743 38565866 39275770    +        0.81   16.4   2.3  -
SUPER_10             -          TR                   -                1     117  2660712  2660589  2660712  2660587 39275770    -        0.88   16.2   1.7  -
SUPER_8              -          TR                   -                1     118 11000931 11001053 11000931 11001054 40672081    +         0.9   16.2   2.9  -
SUPER_3              -          TR                   -                1      96 59263629 59263717 59263629 59263738 59372272    +         1.3   15.7   2.3  -
SUPER_9              -          TR                   -                1      84 29281047 29280966 29281047 29280946 40212997    -         1.3   15.7   4.3  -
SUPER_6              -          TR                   -                1      84 46266081 46266000 46266081 46265980 47175577    -         1.5   15.5   4.1  -
SUPER_13             -          TR                   -                1      98 22373061 22372971 22373061 22372951 35948857    -         1.6   15.4   1.2  -
SUPER_2              -          TR                   -                1      95 55619142 55619229 55619142 55619250 59506300    +         1.6   15.4   0.7  -
SUPER_11             -          TR                   -                1      84 35214732 35214813 35214732 35214833 38738077    +         1.6   15.4   1.9  -
SUPER_1              -          TR                   -                1      84 16037488 16037569 16037488 16037600 64644275    +         1.8   15.2   2.7  -
SUPER_10             -          TR                   -                1      96 38782447 38782360 38782447 38782338 39275770    -         1.8   15.2   3.2  -
SUPER_13             -          TR                   -                1      96 27546922 27547010 27546922 27547030 35948857    +         1.9   15.2   1.7  -
SUPER_8              -          TR                   -               67     142 12532303 12532407 12532265 12532432 40672081    +         1.9   15.1   0.0  -
SUPER_1              -          TR                   -                1     117 16037120 16037243 16037120 16037245 64644275    +         2.1   15.0   4.3  -
SUPER_4              -          TR                   -                1     117 34356869 34356746 34356869 34356744 51571781    -         2.1   15.0   2.9  -
SUPER_4              -          TR                   -                1     120 32541232 32541121 32541232 32541121 51571781    -         2.1   15.0   1.2  -
SUPER_5              -          TR                   -                1      96 41956390 41956478 41956390 41956498 50659771    +         2.3   14.9   2.0  -
SUPER_9              -          TR                   -                1      84 13468941 13468849 13468941 13468829 40212997    -         2.4   14.8   2.3  -
SUPER_2              -          TR                   -                1     131 40148070 40147916 40148070 40147894 59506300    -         2.4   14.8   2.0  -
