# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_10             -          TR                   -                1     315    330463    330151    330463    330149 111031247    -     7.7e-29  110.5   0.1  -
SUPER_10             -          TR                   -                1     317    501094    500791    501094    500790 111031247    -     6.4e-25   97.6   0.1  -
SUPER_17             -          TR                   -                2     310  96169362  96169660  96169361  96169672 100882374    +     2.9e-23   92.1   1.4  -
SUPER_25             -          TR                   -                2     309   5004025   5003728   5004026   5003715  94993361    -     5.8e-20   81.3   0.3  -
SUPER_24             -          TR                   -                1     315    505801    505497    505801    505495  95204074    -     1.2e-18   77.1   0.1  -
SUPER_7              -          TR                   -              124     315  55216516  55216331  55216536  55216328 119257615    -     3.2e-15   65.8   4.6  -
SUPER_8              -          TR                   -              131     308  99692633  99692491  99692653  99692482 118647733    -     5.9e-09   45.2   3.4  -
SUPER_7              -          TR                   -              181     307  52340069  52340189  52340059  52340200 119257615    +     5.6e-05   32.2   0.3  -
SUPER_5              -          TR                   -              130     241  37998260  37998365  37998241  37998385 122308822    +       0.054   22.4   2.7  -
SUPER_2              -          TR                   -              103     189   1972402   1972480   1972382   1972489 129495790    +        0.64   18.8   5.8  -
SUPER_20             -          TR                   -               38     138  93631843  93631937  93631825  93631957  97357107    +        0.83   18.5   6.0  -
SUPER_15             -          TR                   -               39     129   2195479   2195393   2195497   2195372 106006483    -         1.2   18.0   0.6  -
SUPER_19             -          TR                   -               30     132  89742261  89742378  89742241  89742398  97896193    +         1.7   17.4   3.4  -
SUPER_7              -          TR                   -               94     124 119255029 119254999 119255107 119254995 119257615    -           2   17.2   1.5  -
SUPER_2              -          TR                   -               36     129   5248268   5248357   5248247   5248378 129495790    +           2   17.2   2.8  -
SUPER_12             -          TR                   -              106     180 100968678 100968566 100968697 100968546 108671346    -         2.3   17.0   3.4  -
SUPER_3              -          TR                   -                8     123 103709095 103709197 103709094 103709213 123472848    +         2.4   16.9   2.1  -
SUPER_16             -          TR                   -               25     125   5607487   5607360   5607501   5607340 105997466    -         3.1   16.6   6.8  -
SUPER_12             -          TR                   -               20     130 103496645 103496540 103496660 103496520 108671346    -         3.3   16.5   2.5  -
SUPER_26             -          TR                   -               51     139  25285559  25285645  25285532  25285664  92421682    +         3.6   16.4   3.1  -
SUPER_6              -          TR                   -               88     157 108222948 108222873 108222960 108222869 119776333    -         3.8   16.3   2.1  -
SUPER_11             -          TR                   -               35     130 110326793 110326702 110326813 110326682 111015617    -         3.9   16.3   1.3  -
SUPER_9              -          TR                   -              147     208  36531771  36531713  36531793  36531692 111934959    -         5.1   15.9   0.5  -
SUPER_13             -          TR                   -                2      99   1598455   1598550   1598454   1598570 108066256    +         5.2   15.8   2.8  -
SUPER_23             -          TR                   -               24     130  90603226  90603336  90603212  90603356  96224951    +         5.8   15.7   2.9  -
SUPER_15             -          TR                   -               38     130   3890091   3890180   3890071   3890200 106006483    +         5.9   15.7   1.4  -
SUPER_6              -          TR                   -              143     208 102501593 102501527 102501689 102501506 119776333    -           6   15.7   2.5  -
SUPER_8              -          TR                   -               39     129   1521404   1521520   1521380   1521541 118647733    +         6.1   15.6   5.0  -
SUPER_26             -          TR                   -               38     128   5998140   5998050   5998168   5998028  92421682    -         6.1   15.6   4.4  -
SUPER_24             -          TR                   -               24     130  76335363  76335470  76335351  76335490  95204074    +         6.9   15.4   2.4  -
SUPER_18             -          TR                   -               49     130  24595825  24595905  24595809  24595925 100266910    +         7.6   15.3   0.3  -
SUPER_11             -          TR                   -              190     308  83701861  83701989  83701855  83701995 111015617    +         8.2   15.2   0.7  -
SUPER_7              -          TR                   -              183     246  12719226  12719288  12719216  12719304 119257615    +         8.4   15.2   2.1  -
SUPER_24             -          TR                   -               67     158  43033478  43033594  43033449  43033596  95204074    +         9.3   15.0   3.6  -
SUPER_18             -          TR                   -               24     122   2982479   2982336   2982494   2982316 100266910    -         9.7   15.0   5.7  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Hibiscus_verdcourtii/assembly/curated/ddHibVerd5.1/ddHibVerd5.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Hibiscus_verdcourtii.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Hibiscus_verdcourtii/assembly/curated/ddHibVerd5.1/ddHibVerd5.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:18:02 2025
# [ok]
