# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     315  34357579  34357904  34357579  34357905  91057210    +     3.1e-37  135.9   3.5  -
SUPER_6              -          TR                   -                1      93  78566480  78566395  78566480  78566375  79837674    -       0.014   22.2   3.6  -
SUPER_6              -          TR                   -               36     131  44845632  44845727  44845612  44845748  79837674    +       0.087   19.5  10.0  -
SUPER_6              -          TR                   -                7     141  37100198  37100321  37100197  37100340  79837674    +        0.13   19.0   4.5  -
SUPER_2              -          TR                   -               30     132  85749283  85749167  85749301  85749147 100998023    -        0.19   18.5   6.7  -
SUPER_4              -          TR                   -                1      96  19873121  19873209  19873121  19873235  84783769    +         0.2   18.4   0.9  -
SUPER_2              -          TR                   -                1      96  79820667  79820755  79820667  79820775 100998023    +        0.32   17.7   0.5  -
SUPER_4              -          TR                   -                1      96  19872905  19872993  19872905  19873013  84783769    +        0.32   17.7   0.5  -
SUPER_2              -          TR                   -                1      96  78439896  78439808  78439896  78439788 100998023    -        0.32   17.7   0.9  -
SUPER_2              -          TR                   -                6     141  88162026  88162151  88162026  88162171 100998023    +        0.32   17.7   5.9  -
SUPER_4              -          TR                   -              196     261  57370946  57370868  57370963  57370849  84783769    -        0.33   17.6   0.2  -
SUPER_3              -          TR                   -               24     120  42199020  42198921  42199040  42198900  91057210    -        0.39   17.4   1.8  -
SUPER_2              -          TR                   -                1      96  79820883  79820971  79820883  79820992 100998023    +        0.39   17.4   1.5  -
SUPER_3              -          TR                   -               37     141  77448795  77448902  77448772  77448922  91057210    +        0.47   17.2   4.1  -
SUPER_2              -          TR                   -                6     140  95283572  95283696  95283572  95283716 100998023    +         0.5   17.1   4.8  -
SUPER_3              -          TR                   -                6     140  47121580  47121456  47121580  47121436  91057210    -        0.52   17.0   5.1  -
SUPER_7              -          TR                   -                6     141   8650253   8650378   8650253   8650397  62843876    +        0.55   16.9   6.0  -
SUPER_4              -          TR                   -                1      96    367029    366941    367029    366921  84783769    -        0.56   16.9   0.2  -
SUPER_2              -          TR                   -               34     141  37704324  37704202  37704343  37704191 100998023    -         0.6   16.8   7.8  -
SUPER_2              -          TR                   -                6     140  88793050  88793174  88793050  88793194 100998023    +         0.7   16.6   6.5  -
SUPER_4              -          TR                   -                1      96    366813    366725    366813    366705  84783769    -        0.71   16.6   0.6  -
SUPER_1              -          TR                   -                1     124  74393996  74394096  74393996  74394116 123262610    +        0.76   16.5   1.7  -
SUPER_1              -          TR                   -                2      96  54420261  54420348  54420260  54420368 123262610    +        0.81   16.4   1.4  -
SUPER_6              -          TR                   -                7     141  39355073  39354933  39355074  39354915  79837674    -        0.93   16.2   7.3  -
SUPER_7              -          TR                   -                6     140   4554144   4554020   4554144   4553999  62843876    -        0.98   16.1   4.6  -
SUPER_1              -          TR                   -                1     102   3542632   3542538   3542632   3542518 123262610    -        0.98   16.1   2.4  -
SUPER_8              -          TR                   -               66     141  37273471  37273547  37273437  37273567  53774613    +           1   16.0   1.7  -
SUPER_8              -          TR                   -               68     141  42408880  42408956  42408852  42408976  53774613    +         1.1   15.9   7.3  -
SUPER_6              -          TR                   -                1      96  76769975  76770063  76769975  76770083  79837674    +         1.1   15.9   0.4  -
SUPER_6              -          TR                   -                1      96  76770191  76770279  76770191  76770300  79837674    +         1.2   15.8   0.5  -
