# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     317 52029025 52029356 52029025 52029356 67298975    +     3.3e-27  102.1   2.9  -
SUPER_5              -          TR                   -               24     130 44665055 44664952 44665071 44664932 47840899    -       0.071   19.0   2.3  -
SUPER_1              -          TR                   -               19     175  6737517  6737365  6737527  6737364 67298975    -        0.12   18.2   4.3  -
SUPER_2              -          TR                   -               20     130 39556640 39556534 39556648 39556508 61065922    -        0.21   17.4   3.7  -
SUPER_7              -          TR                   -               21     150 17273645 17273510 17273654 17273502 39217513    -        0.39   16.6   6.6  -
SUPER_7              -          TR                   -               23     151 14502651 14502771 14502633 14502779 39217513    +        0.43   16.4   4.1  -
SUPER_4              -          TR                   -               19     131 39722695 39722816 39722687 39722834 53428455    +         0.5   16.2   6.9  -
SUPER_4              -          TR                   -               18     143 38136435 38136556 38136422 38136573 53428455    +        0.53   16.1   3.3  -
SUPER_4              -          TR                   -               21     138 17940166 17940285 17940157 17940304 53428455    +        0.54   16.1   5.6  -
SUPER_1              -          TR                   -               21     141 47020094 47019970 47020103 47019953 67298975    -        0.59   16.0   6.8  -
SUPER_1              -          TR                   -               22     148 20906141 20906257 20906121 20906268 67298975    +         1.3   14.8   3.2  -
SUPER_3              -          TR                   -               21     125 14386304 14386203 14386324 14386180 58544098    -         1.6   14.6   4.0  -
SUPER_6              -          TR                   -               22     151 30416404 30416285 30416420 30416277 39848825    -           2   14.2   3.6  -
SUPER_7              -          TR                   -               27     125 13071971 13072067 13071951 13072090 39217513    +         2.1   14.2   5.3  -
SUPER_1              -          TR                   -               22     141 46995860 46995747 46995872 46995731 67298975    -         2.1   14.1   3.8  -
SUPER_2              -          TR                   -                1      57 22313434 22313380 22313434 22313360 61065922    -         2.2   14.1   1.0  -
SUPER_7              -          TR                   -               22     125 35084075 35084174 35084058 35084196 39217513    +         2.3   14.0   2.9  -
SUPER_4              -          TR                   -               21     125 18578674 18578771 18578665 18578795 53428455    +         2.4   14.0   2.2  -
SUPER_7              -          TR                   -               19     134 36937962 36938069 36937948 36938104 39217513    +         2.4   13.9   4.2  -
SUPER_6              -          TR                   -                2      60 12157821 12157763 12157822 12157729 39848825    -         2.7   13.8   1.3  -
SUPER_2              -          TR                   -               36     125 21497582 21497481 21497603 21497456 61065922    -         3.1   13.6   2.1  -
SUPER_1              -          TR                   -               22     141 19458678 19458557 19458689 19458541 67298975    -         3.3   13.5   4.0  -
SUPER_2              -          TR                   -               21     125 33862171 33862077 33862181 33862052 61065922    -         3.3   13.5   1.3  -
SUPER_7              -          TR                   -               21     124 18014957 18014819 18014973 18014799 39217513    -         3.9   13.3   1.8  -
SUPER_6              -          TR                   -               22     145 35143911 35144023 35143898 35144036 39848825    +         4.1   13.2   3.8  -
SUPER_1              -          TR                   -               22     125 57150669 57150763 57150656 57150783 67298975    +         4.2   13.2   2.6  -
SUPER_1              -          TR                   -               31     125 21680291 21680199 21680309 21680175 67298975    -         4.4   13.1   3.1  -
SUPER_2              -          TR                   -               21     141 40014256 40014365 40014246 40014382 61065922    +         4.4   13.1   2.0  -
SUPER_2              -          TR                   -               24     125 22616486 22616581 22616466 22616606 61065922    +         4.8   13.0   3.9  -
SUPER_5              -          TR                   -               24     141  8482366  8482480  8482346  8482496 47840899    +         4.9   12.9   4.3  -
SUPER_4              -          TR                   -               21     141 36560371 36560479 36560361 36560495 53428455    +         5.1   12.9   4.6  -
SUPER_4              -          TR                   -               24     141 23049234 23049341 23049219 23049357 53428455    +         5.8   12.7   2.9  -
SUPER_4              -          TR                   -               22     125 24515515 24515421 24515528 24515398 53428455    -         5.8   12.7   1.7  -
SUPER_4              -          TR                   -               23     125 39843204 39843112 39843221 39843090 53428455    -           6   12.6   3.9  -
SUPER_4              -          TR                   -               22     148 26078300 26078184 26078313 26078173 53428455    -           6   12.6   3.3  -
SUPER_4              -          TR                   -               22     154 36474334 36474456 36474324 36474470 53428455    +         6.2   12.6   2.7  -
SUPER_1              -          TR                   -                2      67  1622363  1622428  1622362  1622448 67298975    +         6.3   12.6   1.1  -
SUPER_4              -          TR                   -               68     139 39722916 39722996 39722903 39723024 53428455    +         6.5   12.5   4.7  -
SUPER_5              -          TR                   -               23     124 24180819 24180924 24180805 24180944 47840899    +         6.7   12.5   4.9  -
SUPER_2              -          TR                   -               26     141  9604456  9604335  9604474  9604319 61065922    -         6.7   12.5   4.4  -
SUPER_2              -          TR                   -               24     150 34973878 34973994 34973858 34974003 61065922    +         6.8   12.5   2.5  -
SUPER_1              -          TR                   -               10      84 43260773 43260845 43260772 43260871 67298975    +         7.3   12.4   3.3  -
SUPER_2              -          TR                   -               23     141 39536257 39536147 39536274 39536130 61065922    -         7.3   12.4   2.8  -
SUPER_7              -          TR                   -               19     140 32944608 32944496 32944627 32944479 39217513    -         7.3   12.4   2.4  -
SUPER_4              -          TR                   -               24     125 37026786 37026882 37026773 37026907 53428455    +           8   12.2   3.3  -
SUPER_4              -          TR                   -               23     141 43440522 43440629 43440502 43440645 53428455    +           8   12.2   2.4  -
SUPER_4              -          TR                   -               76     124 53418127 53418173 53418099 53418193 53428455    +         8.3   12.2   1.3  -
SUPER_7              -          TR                   -                2      51 21657672 21657623 21657673 21657602 39217513    -         8.4   12.2   1.5  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_serpyllifolia/assembly/curated/daVerSerp1.1/daVerSerp1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Veronica_serpyllifolia.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_serpyllifolia/assembly/curated/daVerSerp1.1/daVerSerp1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:35 2025
# [ok]
