# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -               33     317  45124559  45124880  45124541  45124881 562198734    +     1.4e-07   41.1   1.0  -
SUPER_5              -          TR                   -              106     238  33226503  33226324  33226524  33226270 562198734    -         1.1   18.6   2.6  -
SUPER_5              -          TR                   -              106     238  33226944  33226765  33226965  33226711 562198734    -         1.1   18.6   2.6  -
SUPER_5              -          TR                   -              108     224  33227434  33227277  33227457  33227238 562198734    -         2.6   17.3   1.6  -
SUPER_4              -          TR                   -              108     180 576571423 576571493 576571402 576571500 609999555    +         3.2   17.0   0.3  -
SUPER_2              -          TR                   -               43     132  82261631  82261542  82261636  82261534 630581173    -         3.4   16.9   0.3  -
SUPER_5              -          TR                   -               55     132 410689216 410689293 410689196 410689313 562198734    +         3.7   16.8   1.3  -
SUPER_2              -          TR                   -               67     130 260591350 260591413 260591329 260591433 630581173    +         4.1   16.7   0.7  -
SUPER_3              -          TR                   -               67     132  63489256  63489330  63489236  63489350 621322618    +         4.5   16.5   0.0  -
SUPER_5              -          TR                   -               67     133 184944682 184944757 184944662 184944762 562198734    +         4.6   16.5   0.1  -
SUPER_6              -          TR                   -               55     132 435361804 435361727 435361821 435361707 554439277    -         5.1   16.3   1.1  -
SUPER_1              -          TR                   -               52     132 106553675 106553595 106553690 106553580 666071113    -         5.2   16.3   0.9  -
SUPER_6              -          TR                   -               42     131 259610902 259610991 259610898 259611011 554439277    +         5.2   16.3   0.4  -
SUPER_4              -          TR                   -               42     132 482803328 482803238 482803332 482803218 609999555    -         5.4   16.3   1.0  -
SUPER_2              -          TR                   -               67     132 384720390 384720317 384720411 384720305 630581173    -         5.7   16.2   0.3  -
SUPER_2              -          TR                   -               53     132 518629949 518630028 518629933 518630033 630581173    +         5.9   16.1   0.9  -
SUPER_2              -          TR                   -               50     132  20008584  20008502  20008599  20008482 630581173    -         6.1   16.1   0.9  -
SUPER_3              -          TR                   -               53     132 279599060 279599139 279599043 279599145 621322618    +         6.3   16.0   1.0  -
SUPER_6              -          TR                   -               67     132 507653290 507653216 507653310 507653209 554439277    -         6.5   16.0   0.2  -
SUPER_7              -          TR                   -               54     132 115970902 115970980 115970883 115970985 519785127    +         6.6   16.0   0.5  -
SUPER_1              -          TR                   -               51     132 134280172 134280253 134280155 134280264 666071113    +         6.7   15.9   1.1  -
SUPER_7              -          TR                   -               64     132 127059385 127059458 127059365 127059469 519785127    +         7.1   15.9   0.1  -
SUPER_4              -          TR                   -               60     132  98632276  98632201  98632295  98632191 609999555    -         7.3   15.8   0.0  -
SUPER_4              -          TR                   -               60     132 119449740 119449663 119449762 119449658 609999555    -         7.5   15.8   0.5  -
SUPER_6              -          TR                   -               67     132 475737647 475737720 475737627 475737729 554439277    +         7.6   15.8   0.2  -
SUPER_6              -          TR                   -               67     132 355571099 355571028 355571120 355571021 554439277    -         7.9   15.7   0.1  -
SUPER_2              -          TR                   -               67     132  57460076  57460150  57460056  57460159 630581173    +           8   15.7   0.2  -
SUPER_1              -          TR                   -               66     132   9424854   9424783   9424876   9424763 666071113    -         8.1   15.7   0.2  -
SUPER_7              -          TR                   -               55     132 410828674 410828597 410828693 410828577 519785127    -         8.6   15.6   1.2  -
SUPER_4              -          TR                   -               49     132 455141157 455141074 455141169 455141059 609999555    -         8.8   15.6   0.8  -
SUPER_1              -          TR                   -               67     132 215099225 215099299 215099205 215099307 666071113    +         8.9   15.5   0.1  -
SUPER_6              -          TR                   -               60     132 363923667 363923595 363923687 363923588 554439277    -         9.3   15.5   0.2  -
SUPER_5              -          TR                   -               54     132  15821440  15821362  15821458  15821342 562198734    -         9.6   15.4   1.0  -
SUPER_3              -          TR                   -               67     132  96430874  96430947  96430849  96430954 621322618    +         9.8   15.4   1.0  -
SUPER_3              -          TR                   -               53     132 130583938 130584018 130583919 130584031 621322618    +         9.9   15.4   0.9  -
SUPER_6              -          TR                   -               42     132 112102282 112102372 112102278 112102377 554439277    +         9.9   15.4   1.5  -
SUPER_4              -          TR                   -               52     132 447378432 447378512 447378415 447378532 609999555    +          10   15.4   1.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/monocots/Hordeum_vulgare/assembly/curated/lpHorVulg1.1/lpHorVulg1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Hordeum_vulgare.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/monocots/Hordeum_vulgare/assembly/curated/lpHorVulg1.1/lpHorVulg1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:13:55 2025
# [ok]
