# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_14             -          TR                   -                1     314 19922811 19923142 19922811 19923147 32968415    +     4.6e-36  132.0   3.4  -
SUPER_14             -          TR                   -                1     316 20059781 20060113 20059781 20060115 32968415    +     3.5e-35  129.1   1.8  -
SUPER_12             -          TR                   -                1     315   777202   777542   777202   777544 36455880    +     4.2e-27  102.6   3.3  -
SUPER_11             -          TR                   -               37     123 37452911 37452991 37452890 37453015 38616191    +       0.068   19.9   7.2  -
SUPER_10             -          TR                   -               72     166 37540698 37540602 37540719 37540601 40755856    -        0.16   18.7   1.6  -
SUPER_11             -          TR                   -              156     232 37666605 37666520 37666631 37666489 38616191    -        0.44   17.2   4.4  -
SUPER_4              -          TR                   -              114     195 44044809 44044722 44044829 44044716 55891809    -        0.46   17.2   9.1  -
SUPER_13             -          TR                   -               33     155 11615169 11615292 11615157 11615313 33189883    +        0.49   17.1   0.0  -
SUPER_1              -          TR                   -               24     131 50323502 50323380 50323519 50323360 72167039    -        0.57   16.9   9.7  -
SUPER_9              -          TR                   -               68     140 21795598 21795665 21795578 21795694 43625753    +        0.75   16.5   1.7  -
SUPER_11             -          TR                   -              146     196 29114918 29114866 29114938 29114862 38616191    -        0.77   16.4   1.8  -
SUPER_1              -          TR                   -               24     127 21040973 21041097 21040958 21041117 72167039    +        0.83   16.3   2.6  -
SUPER_2              -          TR                   -              141     196 27902021 27901961 27902041 27901958 62335448    -        0.85   16.3   1.7  -
SUPER_5              -          TR                   -               68     141 31978171 31978274 31978147 31978297 50967918    +           1   16.0   3.7  -
SUPER_13             -          TR                   -               72     157  2805688  2805608  2805707  2805606 33189883    -         1.5   15.5   1.4  -
SUPER_6              -          TR                   -               26     133 21420354 21420507 21420340 21420532 48884390    +         1.7   15.3   2.9  -
SUPER_11             -          TR                   -                1     125 16571837 16572047 16571837 16572066 38616191    +         1.9   15.1   0.3  -
SUPER_1              -          TR                   -              141     196 17069133 17069074 17069153 17069071 72167039    -           2   15.1   1.5  -
SUPER_2              -          TR                   -               32     176 16336980 16336839 16336999 16336823 62335448    -           2   15.1   4.7  -
SUPER_10             -          TR                   -              103     165  6576587  6576648  6576555  6576652 40755856    +           2   15.1   1.2  -
SUPER_5              -          TR                   -               24     139  8490706  8490562  8490725  8490544 50967918    -         2.1   15.0   0.3  -
SUPER_11             -          TR                   -               25     133 38283809 38283655 38283822 38283631 38616191    -         2.2   14.9   2.0  -
SUPER_1              -          TR                   -               25     133 12913123 12912969 12913136 12912942 72167039    -         2.4   14.8   2.1  -
SUPER_5              -          TR                   -               57     198 28344785 28344919 28344756 28344920 50967918    +         2.6   14.7   0.5  -
SUPER_12             -          TR                   -              116     181 30011542 30011459 30011552 30011450 36455880    -         2.8   14.6   1.8  -
SUPER_8              -          TR                   -               33     131  5922458  5922328  5922478  5922312 44028685    -         2.8   14.6   0.1  -
SUPER_9              -          TR                   -               29     163  9581135  9580980  9581153  9580979 43625753    -         3.4   14.3   2.5  -
SUPER_11             -          TR                   -               59     130 35200658 35200741 35200642 35200766 38616191    +           4   14.1   0.0  -
SUPER_6              -          TR                   -               17     167  6801972  6801772  6801983  6801749 48884390    -         4.2   14.0   1.6  -
SUPER_2              -          TR                   -               25     131 23646968 23646848 23646987 23646825 62335448    -         4.3   14.0   2.8  -
SUPER_9              -          TR                   -               69     138 21757029 21757093 21757009 21757124 43625753    +           5   13.8   1.7  -
SUPER_13             -          TR                   -               73     153 15314037 15313966 15314058 15313957 33189883    -         5.2   13.7   0.9  -
SUPER_9              -          TR                   -               38     135 30064988 30065092 30064968 30065112 43625753    +         5.3   13.7   0.1  -
SUPER_14             -          TR                   -               83     166 24491227 24491316 24491206 24491327 32968415    +         5.3   13.7   0.0  -
SUPER_13             -          TR                   -               99     157 25323803 25323861 25323779 25323863 33189883    +         5.4   13.7   0.0  -
SUPER_5              -          TR                   -               67     122 30686153 30686231 30686128 30686254 50967918    +         5.6   13.6   3.7  -
SUPER_11             -          TR                   -              104     188  9490853  9490773  9490868  9490760 38616191    -         5.7   13.6   2.2  -
SUPER_6              -          TR                   -               93     158 43366231 43366299 43366209 43366305 48884390    +         6.4   13.4   1.4  -
SUPER_3              -          TR                   -               75     142 19542086 19542018 19542111 19541998 60577038    -         6.6   13.4   1.2  -
SUPER_7              -          TR                   -               74     142 35855367 35855430 35855333 35855463 45644965    +         6.8   13.3   0.0  -
SUPER_11             -          TR                   -               24     134 25217220 25217338 25217203 25217360 38616191    +         6.8   13.3   0.4  -
SUPER_8              -          TR                   -                1     108 27985324 27985430 27985324 27985441 44028685    +         6.8   13.3   1.7  -
SUPER_14             -          TR                   -               18     130 28150430 28150284 28150437 28150264 32968415    -         6.9   13.3   5.9  -
SUPER_3              -          TR                   -               38     156 49475432 49475304 49475444 49475284 60577038    -         7.2   13.2   0.4  -
SUPER_1              -          TR                   -                4     136 31064446 31064572 31064446 31064590 72167039    +         7.2   13.2   0.7  -
SUPER_9              -          TR                   -               98     141 27874621 27874578 27874688 27874558 43625753    -         7.3   13.2   0.0  -
SUPER_11             -          TR                   -               26     118 10285035 10285137 10285018 10285157 38616191    +         7.5   13.2   4.5  -
SUPER_3              -          TR                   -               56     151 21103341 21103241 21103377 21103223 60577038    -         7.8   13.1   0.0  -
SUPER_12             -          TR                   -               24     128  6639904  6639802  6639918  6639780 36455880    -         7.9   13.1   4.6  -
SUPER_8              -          TR                   -               84     162 34185511 34185603 34185491 34185605 44028685    +         8.6   13.0   1.5  -
SUPER_14             -          TR                   -               27     101 25360957 25361015 25360938 25361083 32968415    +         8.8   13.0   1.6  -
SUPER_14             -          TR                   -               40     131   319610   319692   319587   319703 32968415    +           9   12.9   2.8  -
