# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -                2     314  28079383  28079716  28079382  28079718  99126001    +     2.5e-17   70.8   3.0  -
SUPER_4              -          TR                   -              116     314  28079803  28080024  28079799  28080026  99126001    +     1.6e-05   32.1   2.3  -
SUPER_9              -          TR                   -               55     313  38751369  38751668  38751330  38751670  60056765    +     6.1e-05   30.2   3.7  -
SUPER_5              -          TR                   -               65     180    817663    817537    817686    817525  87207009    -     0.00011   29.4   4.3  -
SUPER_2              -          TR                   -               38     130  18990244  18990362  18990224  18990380 118004046    +      0.0048   24.0   5.0  -
SUPER_7              -          TR                   -               79     194  45783699  45783576  45783719  45783569  75027921    -       0.013   22.6   4.4  -
SUPER_5              -          TR                   -               97     243    742217    742391    742197    742411  87207009    +        0.02   22.0   1.6  -
SUPER_5              -          TR                   -                2     125  79170641  79170482  79170642  79170462  87207009    -       0.081   19.9   1.9  -
SUPER_2              -          TR                   -               27     141  14262178  14262075  14262197  14262055 118004046    -        0.18   18.8   2.5  -
SUPER_7              -          TR                   -              181     314  59511894  59511773  59511905  59511771  75027921    -        0.23   18.4   2.3  -
SUPER_8              -          TR                   -                1      57  56278404  56278458  56278404  56278480  73589420    +        0.54   17.3   1.6  -
SUPER_9              -          TR                   -               31     163  12843695  12843491  12843713  12843487  60056765    -        0.63   17.0  10.0  -
SUPER_1              -          TR                   -               71     131  77163585  77163685  77163562  77163705 118229540    +         1.2   16.1   2.6  -
SUPER_6              -          TR                   -                1      99  55339518  55339649  55339518  55339667  83165487    +         1.5   15.8   3.4  -
SUPER_4              -          TR                   -                1      90  16512897  16513015  16512897  16513037  99126001    +         1.7   15.6   3.8  -
SUPER_3              -          TR                   -               48     130  32076295  32076369  32076260  32076389 116349980    +           2   15.4   0.7  -
SUPER_4              -          TR                   -               55     130  88019605  88019538  88019646  88019518  99126001    -           2   15.4   0.7  -
SUPER_4              -          TR                   -                1      93  82807627  82807747  82807627  82807768  99126001    +         2.3   15.2   3.1  -
SUPER_1              -          TR                   -               59     130 112123556 112123619 112123515 112123639 118229540    +         2.4   15.1   0.4  -
SUPER_8              -          TR                   -               59     130  72160837  72160900  72160796  72160920  73589420    +         2.4   15.1   0.4  -
SUPER_8              -          TR                   -               68     130  72160980  72161039  72160960  72161059  73589420    +         2.5   15.0   0.7  -
SUPER_6              -          TR                   -               16     128  44246528  44246393  44246533  44246372  83165487    -         2.9   14.8   5.1  -
SUPER_3              -          TR                   -               67     130  70003276  70003213  70003296  70003193 116349980    -         3.4   14.6   0.9  -
SUPER_1              -          TR                   -               72     161 107514210 107514291 107514186 107514294 118229540    +         3.5   14.6   3.1  -
SUPER_2              -          TR                   -               28     142  12921129  12921018  12921149  12920997 118004046    -         4.1   14.3   5.1  -
SUPER_6              -          TR                   -                1     117  12028733  12028874  12028733  12028875  83165487    +         4.2   14.3   4.4  -
SUPER_9              -          TR                   -               53     157  29160822  29160725  29160838  29160716  60056765    -         4.3   14.3   1.4  -
SUPER_3              -          TR                   -               67     130  78499071  78499006  78499094  78498981 116349980    -         4.3   14.3   1.9  -
SUPER_3              -          TR                   -               70     130  32076451  32076508  32076431  32076528 116349980    +           5   14.1   1.0  -
SUPER_1              -          TR                   -               69     130 112123700 112123758 112123679 112123778 118229540    +         5.1   14.0   1.1  -
SUPER_4              -          TR                   -               69     130  88019457  88019399  88019478  88019379  99126001    -         5.1   14.0   1.1  -
SUPER_1              -          TR                   -               81     139  20943991  20944044  20943986  20944066 118229540    +         5.7   13.9   0.4  -
SUPER_3              -          TR                   -                2     120  97764922  97764773  97764923  97764753 116349980    -         5.8   13.8   0.3  -
SUPER_8              -          TR                   -               80     141  35847045  35847112  35847005  35847132  73589420    +         6.4   13.7   2.9  -
SUPER_3              -          TR                   -               82     135 109462910 109462857 109462930 109462836 116349980    -         6.5   13.7   1.5  -
SUPER_5              -          TR                   -               27     166   4103159   4103307   4103140   4103309  87207009    +         6.6   13.7   1.3  -
SUPER_3              -          TR                   -              105     162  11725971  11725915  11725992  11725913 116349980    -         7.5   13.5   3.2  -
SUPER_3              -          TR                   -               28     122 101382860 101382756 101382879 101382730 116349980    -         7.8   13.4   2.1  -
SUPER_5              -          TR                   -               24     132    188111    188263    188091    188292  87207009    +         8.7   13.3   2.6  -
SUPER_8              -          TR                   -               15     164  52910894  52911106  52910878  52911109  73589420    +         8.7   13.3   1.9  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Pulicaria_dysenterica/assembly/curated/daPulDyse1.1/daPulDyse1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Pulicaria_dysenterica.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Pulicaria_dysenterica/assembly/curated/daPulDyse1.1/daPulDyse1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:26:29 2024
# [ok]
