# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_21             -          TR                   -              106     256  4148490  4148336  4148540  4148313 19019020    -     0.00038   27.2   0.6  -
SUPER_20             -          TR                   -              109     209  4545160  4545255  4545134  4545296 20505972    +       0.007   23.1   0.0  -
SUPER_11             -          TR                   -               80     142  6622486  6622408  6622513  6622387 26119624    -         1.2   15.8   0.8  -
SUPER_9              -          TR                   -               76     141 14971065 14970977 14971086 14970957 29568935    -         1.3   15.6   1.5  -
SUPER_10             -          TR                   -              136     180 21557292 21557249 21557310 21557243 26500703    -         1.4   15.5   1.9  -
SUPER_8              -          TR                   -              136     180 25015110 25015067 25015128 25015061 29981126    -         1.4   15.5   1.9  -
SUPER_5              -          TR                   -               21     129 36119615 36119732 36119602 36119752 40149545    +           2   15.0   4.4  -
SUPER_11             -          TR                   -               76     141 13179518 13179430 13179543 13179410 26119624    -         2.1   15.0   0.9  -
SUPER_16             -          TR                   -               68     136 12780075 12780011 12780095 12779992 22575528    -         2.4   14.7   1.7  -
SUPER_5              -          TR                   -               21     160 28364266 28364391 28364254 28364402 40149545    +         2.5   14.7   5.3  -
SUPER_8              -          TR                   -               79     135 10559014 10558958 10559039 10558938 29981126    -         2.6   14.6   0.0  -
SUPER_15             -          TR                   -               80     132  6056467  6056519  6056447  6056533 22895148    +         3.1   14.4   0.2  -
SUPER_6              -          TR                   -               68     135  2116675  2116739  2116655  2116752 39837531    +           4   14.0   4.2  -
SUPER_10             -          TR                   -               88     179  5465332  5465446  5465319  5465451 26500703    +           4   14.0   0.8  -
SUPER_19             -          TR                   -               41     131 21128971 21128883 21128994 21128870 21329585    -         4.4   13.9   2.7  -
SUPER_11             -          TR                   -               81     124  6641178  6641221  6641158  6641241 26119624    +         4.4   13.9   0.4  -
SUPER_21             -          TR                   -               63     125 14515380 14515452 14515344 14515472 19019020    +         4.4   13.9   2.4  -
SUPER_19             -          TR                   -               68     163  3754929  3754820  3754949  3754819 21329585    -         4.6   13.8   2.6  -
SUPER_8              -          TR                   -               68     163 18993875 18993766 18993895 18993765 29981126    -         4.6   13.8   2.6  -
SUPER_11             -          TR                   -              106     141 18873886 18873921 18873865 18873941 26119624    +         4.9   13.7   1.0  -
SUPER_1              -          TR                   -               67     130 39868777 39868687 39868802 39868665 44925314    -         5.4   13.6   0.3  -
SUPER_9              -          TR                   -               24     125 14235395 14235504 14235381 14235524 29568935    +         5.5   13.6   4.1  -
SUPER_5              -          TR                   -              107     160 27868489 27868535 27868467 27868539 40149545    +         5.5   13.6   0.9  -
SUPER_7              -          TR                   -               68     131  7702794  7702719  7702814  7702700 30189336    -           6   13.4   0.7  -
SUPER_20             -          TR                   -               73     151   544906   544996   544886   545010 20505972    +         6.1   13.4   1.1  -
SUPER_1              -          TR                   -               82     151  7356954  7357040  7356934  7357056 44925314    +         6.5   13.3   0.2  -
SUPER_5              -          TR                   -              147     190 28229357 28229318 28229379 28229315 40149545    -         6.6   13.3   2.0  -
SUPER_10             -          TR                   -              103     164  9628936  9628883  9628963  9628875 26500703    -         6.8   13.3   1.5  -
SUPER_12             -          TR                   -               24     141 17852359 17852480 17852344 17852500 25643552    +         6.8   13.3   5.0  -
SUPER_18             -          TR                   -               24     141  8837532  8837640  8837520  8837660 21417374    +         7.2   13.2   6.2  -
SUPER_21             -          TR                   -               74     151   524491   524581   524472   524591 19019020    +         7.2   13.2   1.4  -
SUPER_2              -          TR                   -              103     141 27154189 27154227 27154169 27154239 44272352    +         7.3   13.2   1.1  -
SUPER_13             -          TR                   -               20     128 18900661 18900777 18900649 18900798 24689930    +         7.3   13.2   1.7  -
SUPER_9              -          TR                   -               54     141 19121648 19121746 19121623 19121766 29568935    +         7.8   13.1   0.9  -
SUPER_11             -          TR                   -               24     140  1317279  1317401  1317267  1317421 26119624    +         7.9   13.0  10.8  -
SUPER_19             -          TR                   -               24     124 12223322 12223448 12223302 12223468 21329585    +         8.6   12.9   0.0  -
SUPER_15             -          TR                   -               58     125  7660691  7660626  7660710  7660606 22895148    -         9.1   12.8   0.9  -
SUPER_17             -          TR                   -               72     130 10929363 10929303 10929384 10929277 22063190    -         9.3   12.8   0.0  -
SUPER_17             -          TR                   -               72     130 10950727 10950667 10950748 10950641 22063190    -         9.3   12.8   0.0  -
SUPER_22             -          TR                   -               24     141   181802   181687   181814   181667 14303503    -         9.4   12.8  11.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Isopterygiella_pulchella/assembly/curated/cbIsoPulc3.1/cbIsoPulc3.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Isopterygiella_pulchella.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Isopterygiella_pulchella/assembly/curated/cbIsoPulc3.1/cbIsoPulc3.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:17:53 2025
# [ok]
