# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     315 53459657 53459990 53459656 53459992 71146993    +     1.6e-13   57.1   9.4  -
SUPER_4              -          TR                   -               68     124 35004864 35004917 35004845 35004937 47177712    +       0.095   18.5   0.4  -
SUPER_7              -          TR                   -               68     125 13660420 13660367 13660482 13660348 40451224    -        0.11   18.2   1.9  -
SUPER_2              -          TR                   -               64     124  1390868  1390812  1390887  1390792 50695258    -        0.12   18.2   0.0  -
SUPER_7              -          TR                   -               68     124 14719716 14719663 14719770 14719643 40451224    -        0.14   18.0   1.2  -
SUPER_2              -          TR                   -               68     125 36580092 36580038 36580111 36580015 50695258    -        0.17   17.6   0.4  -
SUPER_1              -          TR                   -                2     312 53478468 53478762 53478467 53478766 71146993    +        0.34   16.7   7.3  -
SUPER_7              -          TR                   -               68     124 22562087 22562036 22562144 22562016 40451224    -        0.62   15.8   4.5  -
SUPER_3              -          TR                   -               24     127 12672951 12673040 12672936 12673058 47187366    +        0.71   15.6   2.5  -
SUPER_1              -          TR                   -               35     124 30681751 30681675 30681777 30681655 71146993    -        0.73   15.6   0.0  -
SUPER_4              -          TR                   -               62     122  5445400  5445457  5445366  5445477 47177712    +        0.96   15.2   0.0  -
SUPER_2              -          TR                   -               68     125 24154615 24154669 24154595 24154689 50695258    +         1.1   15.0   0.2  -
SUPER_3              -          TR                   -                1      84 20187209 20187115 20187209 20187095 47187366    -         1.1   15.0   0.7  -
SUPER_7              -          TR                   -               48     124  6651308  6651366  6651283  6651387 40451224    +         1.3   14.8   0.1  -
SUPER_6              -          TR                   -               68     124  3945471  3945418  3945490  3945402 46519990    -         1.4   14.7   0.2  -
SUPER_1              -          TR                   -               56     125  7472000  7472063  7471948  7472083 71146993    +         1.4   14.7   2.2  -
SUPER_2              -          TR                   -               68     124  7152712  7152660  7152734  7152657 50695258    -         1.4   14.6   0.5  -
SUPER_2              -          TR                   -              122     196 20855349 20855282 20855369 20855280 50695258    -         1.6   14.5   4.4  -
SUPER_6              -          TR                   -               68     124 14121902 14121953 14121840 14121973 46519990    +         1.6   14.5   2.0  -
SUPER_7              -          TR                   -               94     142 10721559 10721509 10721576 10721493 40451224    -         1.6   14.4   1.7  -
SUPER_1              -          TR                   -               24     124 67100644 67100739 67100626 67100759 71146993    +         1.7   14.4   3.5  -
SUPER_7              -          TR                   -                2      62 38728718 38728660 38728719 38728640 40451224    -         1.7   14.4   4.7  -
SUPER_4              -          TR                   -                1      63 12790706 12790646 12790706 12790625 47177712    -         1.8   14.3   2.4  -
SUPER_2              -          TR                   -                1      62 10606202 10606261 10606202 10606282 50695258    +         1.8   14.3   1.8  -
SUPER_3              -          TR                   -               46     125  8608619  8608546  8608650  8608526 47187366    -         1.8   14.3   2.1  -
SUPER_1              -          TR                   -               68     125 14792416 14792360 14792471 14792340 71146993    -         1.9   14.3   5.5  -
SUPER_6              -          TR                   -               68     122 37983871 37983817 37983898 37983798 46519990    -           2   14.2   1.4  -
SUPER_4              -          TR                   -               65     124 38455528 38455587 38455495 38455607 47177712    +         2.1   14.1   1.6  -
SUPER_4              -          TR                   -                1      64 12790984 12790923 12790984 12790903 47177712    -         2.3   14.0   2.0  -
SUPER_1              -          TR                   -               60     124 17708055 17708120 17708024 17708140 71146993    +         2.4   13.9   1.4  -
SUPER_6              -          TR                   -               26     124 28648218 28648123 28648234 28648103 46519990    -         2.5   13.8   5.2  -
SUPER_2              -          TR                   -               73     122 48457005 48456959 48457023 48456934 50695258    -         2.7   13.7   0.2  -
SUPER_2              -          TR                   -               68     124 37397236 37397189 37397296 37397169 50695258    -         2.8   13.7   2.7  -
SUPER_5              -          TR                   -               30     124 45973454 45973332 45973471 45973312 47142376    -         2.8   13.7   3.7  -
SUPER_6              -          TR                   -               43     124 16642444 16642512 16642411 16642532 46519990    +         2.8   13.7   0.8  -
SUPER_1              -          TR                   -               69     126  4131059  4131119  4131038  4131133 71146993    +         3.1   13.5   0.5  -
SUPER_5              -          TR                   -               68     124 16657540 16657600 16657482 16657620 47142376    +         3.2   13.5   1.4  -
SUPER_7              -          TR                   -               24     123 26079127 26079009 26079142 26078989 40451224    -         3.4   13.4   0.0  -
SUPER_6              -          TR                   -                1      63 15224807 15224867 15224807 15224887 46519990    +         3.6   13.3   2.6  -
SUPER_3              -          TR                   -               68     124 42757625 42757679 42757605 42757699 47187366    +         3.6   13.3   1.8  -
SUPER_4              -          TR                   -               68     124 14095303 14095253 14095339 14095233 47177712    -         3.7   13.3   0.6  -
SUPER_2              -          TR                   -               68     124 25756154 25756212 25756134 25756233 50695258    +         3.7   13.3   1.5  -
SUPER_2              -          TR                   -               73     124 39970819 39970867 39970800 39970887 50695258    +         3.8   13.3   1.0  -
SUPER_3              -          TR                   -               30     125 42251466 42251566 42251446 42251586 47187366    +         3.8   13.3   4.9  -
SUPER_6              -          TR                   -               33     122 10187383 10187300 10187412 10187285 46519990    -         3.9   13.2   2.9  -
SUPER_5              -          TR                   -               69     124 14480725 14480784 14480710 14480804 47142376    +           4   13.2   1.8  -
SUPER_5              -          TR                   -               68     123 18746092 18746041 18746119 18746020 47142376    -           4   13.2   1.8  -
SUPER_1              -          TR                   -               68     124 62680397 62680445 62680353 62680465 71146993    +         4.1   13.1   3.2  -
SUPER_7              -          TR                   -               68     124  6550106  6550054  6550133  6550035 40451224    -         4.1   13.1   1.5  -
SUPER_2              -          TR                   -               68     124  9527585  9527651  9527567  9527672 50695258    +         4.1   13.1   2.2  -
SUPER_2              -          TR                   -               36     124 36056740 36056665 36056765 36056645 50695258    -         4.2   13.1   2.5  -
SUPER_7              -          TR                   -               68     124 34484553 34484611 34484528 34484629 40451224    +         4.2   13.1   0.9  -
SUPER_5              -          TR                   -               68     125 22669884 22669938 22669857 22669958 47142376    +         4.3   13.1   0.0  -
SUPER_5              -          TR                   -               68     124 37315827 37315768 37315847 37315748 47142376    -         4.4   13.0   1.2  -
SUPER_1              -          TR                   -               69     124 32950767 32950824 32950736 32950844 71146993    +         4.7   12.9   1.8  -
SUPER_5              -          TR                   -                1      74 23172550 23172624 23172550 23172654 47142376    +         4.9   12.9   3.5  -
SUPER_6              -          TR                   -               60     124  1993767  1993708  1993808  1993689 46519990    -           5   12.9   1.6  -
SUPER_2              -          TR                   -               68     123  8449858  8449910  8449838  8449931 50695258    +         5.1   12.8   1.5  -
SUPER_6              -          TR                   -               68     125 40616458 40616520 40616425 40616539 46519990    +         5.2   12.8   1.5  -
SUPER_3              -          TR                   -               68     124 42251565 42251515 42251606 42251495 47187366    -         5.2   12.8   1.2  -
SUPER_1              -          TR                   -               34     122 30497714 30497814 30497692 30497832 71146993    +         5.2   12.8   2.8  -
SUPER_5              -          TR                   -               68     125 12035092 12035148 12035045 12035167 47142376    +         5.3   12.8   0.3  -
SUPER_4              -          TR                   -               64     124  7360980  7361036  7360953  7361056 47177712    +         5.3   12.8   0.4  -
SUPER_1              -          TR                   -               68     124 28871171 28871113 28871194 28871093 71146993    -         5.3   12.8   1.5  -
SUPER_3              -          TR                   -               71     122 42519269 42519324 42519258 42519342 47187366    +         5.3   12.8   0.6  -
SUPER_3              -          TR                   -               80     124  8255187  8255231  8255136  8255251 47187366    +         5.5   12.7   0.5  -
SUPER_5              -          TR                   -               67     123 39042300 39042353 39042280 39042373 47142376    +         5.5   12.7   1.0  -
SUPER_4              -          TR                   -               76     125 35714369 35714320 35714428 35714301 47177712    -         5.6   12.7   1.8  -
SUPER_1              -          TR                   -               68     124 27439025 27439076 27439005 27439096 71146993    +         5.7   12.7   1.7  -
SUPER_3              -          TR                   -               68     124 14749635 14749683 14749589 14749702 47187366    +         5.9   12.6   1.0  -
SUPER_7              -          TR                   -               68     124 11999785 11999826 11999758 11999846 40451224    +         6.1   12.6   0.5  -
SUPER_2              -          TR                   -               68     124  8831649  8831594  8831692  8831575 50695258    -         6.2   12.5   2.9  -
SUPER_7              -          TR                   -               41     123  4187995  4188064  4187959  4188082 40451224    +         6.2   12.5   2.1  -
SUPER_2              -          TR                   -                1      68 46166698 46166635 46166698 46166612 50695258    -         6.3   12.5   1.1  -
SUPER_3              -          TR                   -                1      49 25426345 25426392 25426345 25426413 47187366    +         6.3   12.5   3.3  -
SUPER_7              -          TR                   -               67     125  3989530  3989462  3989549  3989437 40451224    -         6.3   12.5   0.0  -
SUPER_1              -          TR                   -               70     126 48327342 48327397 48327320 48327416 71146993    +         6.3   12.5   0.5  -
SUPER_6              -          TR                   -               71     124 15042876 15042826 15042894 15042803 46519990    -         6.4   12.5   2.2  -
SUPER_2              -          TR                   -                1     101 13625751 13625855 13625751 13625870 50695258    +         6.4   12.5   1.3  -
SUPER_2              -          TR                   -              107     157 27877177 27877247 27877157 27877249 50695258    +         6.5   12.5   1.1  -
SUPER_2              -          TR                   -               24     125  7456104  7456199  7456086  7456219 50695258    +         6.5   12.5   3.2  -
SUPER_1              -          TR                   -                1      64 45334470 45334409 45334470 45334388 71146993    -         6.7   12.4   0.9  -
