# target name                  accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#          ------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_612_HRSCAF_3546_arrow -          TR                   -                1     316 29976786 29976453 29976786 29976452 67732284    -     1.5e-11   51.6   9.7  -
Scaffold_612_HRSCAF_3546_arrow -          TR                   -               83     316 29976060 29975801 29976066 29975800 67732284    -     1.6e-06   35.0   5.5  -
Scaffold_612_HRSCAF_3546_arrow -          TR                   -                2     315 29442569 29442888 29442568 29442890 67732284    +     0.00015   28.5   6.8  -
Scaffold_620_HRSCAF_3607_arrow -          TR                   -                1      68 51260868 51260762 51260868 51260725 67730917    -        0.15   18.8   2.4  -
Scaffold_622_HRSCAF_3609_arrow -          TR                   -                1      82 18227931 18228008 18227931 18228027 52377468    +        0.25   18.0   2.7  -
Scaffold_83_HRSCAF_700_arrow   -          TR                   -                1      82 45115743 45115666 45115743 45115647 66732361    -        0.55   16.9   2.7  -
Scaffold_538_HRSCAF_2709_arrow -          TR                   -                1      56   979652   979705   979652   979725 59398771    +        0.61   16.7   4.1  -
Scaffold_6_HRSCAF_40_arrow     -          TR                   -                1      67 28271750 28271814 28271750 28271877 79235845    +         1.2   15.7   2.2  -
Scaffold_612_HRSCAF_3546_arrow -          TR                   -                1      61 55698296 55698238 55698296 55698216 67732284    -           2   15.0   2.5  -
Scaffold_462_HRSCAF_1986_arrow -          TR                   -                1      58 48174483 48174426 48174483 48174407 59385650    -         2.5   14.7   2.8  -
Scaffold_6_HRSCAF_40_arrow     -          TR                   -                1      61 64809625 64809567 64809625 64809544 79235845    -         2.7   14.6   3.8  -
Scaffold_83_HRSCAF_700_arrow   -          TR                   -                1      61 44661414 44661472 44661414 44661541 66732361    +         2.8   14.6   2.2  -
Scaffold_621_HRSCAF_3608_arrow -          TR                   -                1      60 18182723 18182666 18182723 18182652 57862457    -         2.8   14.6   1.7  -
Scaffold_78_HRSCAF_679_arrow   -          TR                   -                1      60 45589813 45589870 45589813 45589892 68525979    +         2.8   14.5   3.0  -
Scaffold_622_HRSCAF_3609_arrow -          TR                   -                1      64 18217421 18217482 18217421 18217502 52377468    +         2.9   14.5   4.0  -
Scaffold_6_HRSCAF_40_arrow     -          TR                   -                1      60 60497443 60497500 60497443 60497519 79235845    +           3   14.5   2.7  -
Scaffold_538_HRSCAF_2709_arrow -          TR                   -                1      68 39953240 39953134 39953240 39953109 59398771    -           3   14.4   3.3  -
Scaffold_6_HRSCAF_40_arrow     -          TR                   -                1      58 14890966 14891021 14890966 14891041 79235845    +         3.1   14.4   2.9  -
Scaffold_83_HRSCAF_700_arrow   -          TR                   -                1      62 59722408 59722467 59722408 59722536 66732361    +         3.4   14.3   2.1  -
Scaffold_538_HRSCAF_2709_arrow -          TR                   -                1      86  1958364  1958451  1958364  1958472 59398771    +         3.4   14.3   3.0  -
Scaffold_621_HRSCAF_3608_arrow -          TR                   -                1     123 29454950 29454793 29454950 29454775 57862457    -         3.5   14.2   2.4  -
Scaffold_462_HRSCAF_1986_arrow -          TR                   -                1      61 40040242 40040300 40040242 40040320 59385650    +         3.7   14.2   3.0  -
Scaffold_619_HRSCAF_3606_arrow -          TR                   -                1      61 21994741 21994683 21994741 21994614 52901414    -         3.7   14.1   1.6  -
Scaffold_622_HRSCAF_3609_arrow -          TR                   -                1      61 26626275 26626217 26626275 26626148 52377468    -         3.9   14.1   1.3  -
Scaffold_620_HRSCAF_3607_arrow -          TR                   -                1      61 44075446 44075504 44075446 44075572 67730917    +           4   14.0   2.3  -
Scaffold_78_HRSCAF_679_arrow   -          TR                   -                1      60 10595830 10595887 10595830 10595908 68525979    +         4.1   14.0   3.1  -
