# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -                1     315  7339208  7338879  7339208  7338876 38952829    -     2.5e-33  122.9   3.4  -
SUPER_11             -          TR                   -                1      99 26052164 26052083 26052164 26052067 30110019    -        0.34   17.4   1.7  -
SUPER_4              -          TR                   -                1     100  4923970  4923888  4923970  4923875 51805097    -         0.4   17.1   1.9  -
SUPER_6              -          TR                   -                1     101 36059529 36059446 36059529 36059433 42964990    -        0.42   17.1   2.1  -
SUPER_8              -          TR                   -                1      99 16521545 16521464 16521545 16521450 38952829    -        0.43   17.0   2.0  -
SUPER_7              -          TR                   -                1     101 11076862 11076779 11076862 11076766 38954222    -        0.44   17.0   2.4  -
SUPER_2              -          TR                   -                1      79 30490707 30490773 30490707 30490793 59103922    +        0.47   16.9   4.3  -
SUPER_1              -          TR                   -                1      99 46625560 46625479 46625560 46625467 60868294    -        0.49   16.8   2.2  -
SUPER_1              -          TR                   -                1      99 46630471 46630390 46630471 46630378 60868294    -        0.49   16.8   2.2  -
SUPER_11             -          TR                   -                1      99   155953   156034   155953   156046 30110019    +        0.49   16.8   2.2  -
SUPER_11             -          TR                   -                1      99 26057986 26057905 26057986 26057893 30110019    -        0.49   16.8   2.2  -
SUPER_12             -          TR                   -                1      99 17939644 17939725 17939644 17939737 29745273    +        0.49   16.8   2.2  -
SUPER_14             -          TR                   -                1      99 13803497 13803416 13803497 13803404 26798293    -        0.49   16.8   2.2  -
SUPER_14             -          TR                   -                1      99 13809654 13809573 13809654 13809561 26798293    -        0.49   16.8   2.2  -
SUPER_3              -          TR                   -                1      99 14514908 14514827 14514908 14514815 56946393    -        0.49   16.8   2.2  -
SUPER_4              -          TR                   -                1      99 22711396 22711477 22711396 22711489 51805097    +        0.49   16.8   2.2  -
SUPER_5              -          TR                   -                1      99 38155320 38155401 38155320 38155413 43838579    +        0.49   16.8   2.2  -
SUPER_5              -          TR                   -                1      99 38143086 38143005 38143086 38142993 43838579    -        0.49   16.8   2.2  -
SUPER_7              -          TR                   -                1      99  3105414  3105495  3105414  3105507 38954222    +        0.49   16.8   2.2  -
SUPER_7              -          TR                   -                1      99  3111771  3111852  3111771  3111864 38954222    +        0.49   16.8   2.2  -
SUPER_8              -          TR                   -                1      99  8011767  8011848  8011767  8011860 38952829    +        0.49   16.8   2.2  -
SUPER_8              -          TR                   -                1      99 16515304 16515223 16515304 16515211 38952829    -        0.49   16.8   2.2  -
SUPER_9              -          TR                   -                1      99 32098206 32098287 32098206 32098299 32222759    +        0.49   16.8   2.2  -
SUPER_11             -          TR                   -                1     100 21330894 21330812 21330894 21330800 30110019    -        0.52   16.8   2.2  -
SUPER_3              -          TR                   -                1     100 14521374 14521292 14521374 14521281 56946393    -        0.52   16.8   2.4  -
