# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                1     312 32489564 32489905 32489564 32489912 63057901    +     1.6e-33  123.4  10.0  -
SUPER_2              -          TR                   -              119     309 38069545 38069344 38069565 38069340 67337611    -     3.5e-09   43.4   1.7  -
SUPER_5              -          TR                   -                1     120 28449096 28449006 28449096 28448986 63057901    -       0.038   20.3   3.3  -
SUPER_2              -          TR                   -                1      97  5409664  5409575  5409664  5409559 67337611    -        0.19   18.1   0.7  -
SUPER_7              -          TR                   -              174     246 10527306 10527383 10527305 10527393 58736485    +        0.31   17.4   5.3  -
SUPER_5              -          TR                   -               67     124 45223473 45223407 45223493 45223387 63057901    -         0.4   17.0   3.8  -
SUPER_8              -          TR                   -                1     101 54573223 54573315 54573223 54573329 58228340    +        0.45   16.8   0.9  -
SUPER_7              -          TR                   -                1      96 51476035 51475947 51476035 51475933 58736485    -        0.46   16.8   1.4  -
SUPER_3              -          TR                   -               68     140  5558300  5558363  5558273  5558385 65325345    +        0.48   16.7   0.7  -
SUPER_2              -          TR                   -                1      99 46110278 46110369 46110278 46110385 67337611    +         0.5   16.7   2.2  -
SUPER_6              -          TR                   -                1      80 49706172 49706094 49706172 49706074 61901166    -         0.5   16.7   5.1  -
SUPER_4              -          TR                   -                3      94 63900156 63900072 63900158 63900050 64674077    -         0.6   16.4   2.0  -
SUPER_6              -          TR                   -                1      96 27126398 27126310 27126398 27126291 61901166    -        0.65   16.3   1.9  -
SUPER_8              -          TR                   -                1      92 39860718 39860634 39860718 39860612 58228340    -        0.72   16.1   0.9  -
SUPER_1              -          TR                   -                1     111 53749501 53749603 53749501 53749618 71875296    +        0.78   16.0   2.5  -
SUPER_1              -          TR                   -              171     238 50118873 50118802 50118883 50118800 71875296    -         0.8   16.0   1.8  -
SUPER_1              -          TR                   -                1      98 50774992 50774902 50774992 50774888 71875296    -        0.89   15.8   2.0  -
SUPER_1              -          TR                   -                1      94 64660952 64661038 64660952 64661058 71875296    +        0.91   15.8   0.6  -
SUPER_8              -          TR                   -                1      96 30682929 30683017 30682929 30683037 58228340    +        0.97   15.7   1.6  -
SUPER_8              -          TR                   -                1      84 43545799 43545880 43545799 43545901 58228340    +        0.99   15.7   2.2  -
SUPER_8              -          TR                   -                1     156 51163742 51163885 51163742 51163896 58228340    +           1   15.6   4.9  -
SUPER_2              -          TR                   -                1      98   589953   590043   589953   590063 67337611    +           1   15.6   2.2  -
SUPER_7              -          TR                   -                1      90 53522004 53521915 53522004 53521895 58736485    -         1.1   15.5   4.3  -
SUPER_3              -          TR                   -                1      95  5062770  5062857  5062770  5062875 65325345    +         1.2   15.4   1.8  -
SUPER_2              -          TR                   -                1     123 52132584 52132703 52132584 52132723 67337611    +         1.2   15.4   1.6  -
SUPER_8              -          TR                   -                1      84 48741669 48741754 48741669 48741766 58228340    +         1.3   15.3   3.2  -
