# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -                2     312 25565173 25565506 25565172 25565508 35478999    +     2.1e-31  115.7   0.5  -
SUPER_5              -          TR                   -                2     316  1607493  1607156  1607494  1607155 38142179    -     3.6e-28  105.1   1.0  -
SUPER_3              -          TR                   -                4      90  5286589  5286504  5286591  5286482 38768549    -       0.057   19.1   1.0  -
SUPER_7              -          TR                   -                4     117 34038084 34038191 34038081 34038211 35541814    +       0.077   18.7   0.9  -
SUPER_7              -          TR                   -                4     120 34035704 34035871 34035701 34035871 35541814    +        0.14   17.9   2.5  -
SUPER_4              -          TR                   -                1     117  1886039  1886152  1886039  1886172 38172525    +        0.26   17.0   0.6  -
SUPER_4              -          TR                   -                1     117  1886180  1886067  1886180  1886051 38172525    -        0.36   16.5   1.0  -
SUPER_3              -          TR                   -                1     120 28739821 28739956 28739821 28739956 38768549    +        0.45   16.2   4.2  -
SUPER_8              -          TR                   -                1     123 24936247 24936136 24936247 24936116 35478999    -        0.49   16.1   1.6  -
SUPER_5              -          TR                   -               29     129 37748883 37748982 37748877 37749003 38142179    +        0.62   15.8   0.0  -
SUPER_6              -          TR                   -                1     121 34414882 34415001 34414882 34415024 37814175    +        0.66   15.7   0.2  -
SUPER_5              -          TR                   -                2      86 22602385 22602471 22602384 22602492 38142179    +        0.69   15.6   1.8  -
SUPER_3              -          TR                   -               68     130 35523226 35523291 35523198 35523311 38768549    +        0.77   15.4   2.2  -
SUPER_2              -          TR                   -                1      84  4189146  4189064  4189146  4189040 32729969    -        0.85   15.3   1.7  -
SUPER_6              -          TR                   -                1      97   447613   447517   447613   447497 37814175    -        0.94   15.2   2.6  -
SUPER_1              -          TR                   -                1      93 11511759 11511668 11511759 11511648 39551371    -         1.7   14.3   2.6  -
SUPER_2              -          TR                   -               73     135  2958462  2958537  2958443  2958595 32729969    +         1.7   14.3   3.3  -
SUPER_8              -          TR                   -                2      83 30699501 30699581 30699500 30699602 35478999    +         1.8   14.3   3.1  -
SUPER_5              -          TR                   -                2      85 22619707 22619793 22619706 22619814 38142179    +         1.9   14.1   2.7  -
SUPER_3              -          TR                   -                4      90  5290092  5290007  5290094  5289996 38768549    -         2.1   14.0   1.3  -
SUPER_7              -          TR                   -              105     171  1213642  1213576  1213662  1213575 35541814    -         2.1   14.0   7.1  -
SUPER_2              -          TR                   -                1      92  1379251  1379161  1379251  1379145 32729969    -         2.3   13.9   1.9  -
SUPER_1              -          TR                   -                1      92 13429755 13429665 13429755 13429660 39551371    -         2.5   13.8   2.0  -
SUPER_1              -          TR                   -                1      93  2566047  2565956  2566047  2565936 39551371    -         2.5   13.8   1.9  -
SUPER_6              -          TR                   -                1      92 32872257 32872167 32872257 32872149 37814175    -         2.5   13.8   1.9  -
SUPER_7              -          TR                   -                1      91 25100622 25100711 25100622 25100725 35541814    +         2.5   13.7   1.9  -
SUPER_5              -          TR                   -                1      92  5398430  5398520  5398430  5398537 38142179    +         2.9   13.6   2.5  -
SUPER_6              -          TR                   -                1      92 32872500 32872410 32872500 32872396 37814175    -         2.9   13.6   2.0  -
SUPER_6              -          TR                   -                1     114 33128369 33128487 33128369 33128488 37814175    +           3   13.5   2.5  -
SUPER_9              -          TR                   -                1      99 31547269 31547178 31547269 31547158 34966420    -           3   13.5   1.8  -
SUPER_3              -          TR                   -                1     102  5370549  5370449  5370549  5370430 38768549    -         3.1   13.5   1.3  -
SUPER_1              -          TR                   -                1      91 13429987 13429898 13429987 13429883 39551371    -         3.1   13.4   2.1  -
SUPER_5              -          TR                   -                1      91  5398673  5398762  5398673  5398782 38142179    +         3.2   13.4   2.0  -
SUPER_6              -          TR                   -                1      96  2765984  2765890  2765984  2765873 37814175    -         3.3   13.4   1.9  -
SUPER_8              -          TR                   -                1      92 28833804 28833894 28833804 28833914 35478999    +         3.4   13.3   2.0  -
SUPER_6              -          TR                   -                1     101 30535077 30535175 30535077 30535190 37814175    +         3.4   13.3   1.7  -
SUPER_1              -          TR                   -                1      97 32183578 32183673 32183578 32183693 39551371    +         3.4   13.3   2.3  -
SUPER_4              -          TR                   -                1     100  1885867  1885769  1885867  1885748 38172525    -         3.5   13.3   1.7  -
SUPER_1              -          TR                   -                1      96 32183450 32183544 32183450 32183561 39551371    +         3.6   13.3   2.0  -
SUPER_2              -          TR                   -                1      90  1296828  1296916  1296828  1296935 32729969    +         3.6   13.2   1.8  -
SUPER_1              -          TR                   -                1      99 10196106 10196009 10196106 10195989 39551371    -         3.7   13.2   2.0  -
SUPER_1              -          TR                   -                2     121 13217655 13217774 13217654 13217794 39551371    +         3.7   13.2   4.3  -
SUPER_8              -          TR                   -                1      93 24936567 24936658 24936567 24936677 35478999    +         3.7   13.2   1.5  -
SUPER_6              -          TR                   -                1      97   447714   447809   447714   447830 37814175    +         3.8   13.2   2.9  -
SUPER_6              -          TR                   -                1      97  2766227  2766132  2766227  2766112 37814175    -         3.8   13.2   2.1  -
SUPER_8              -          TR                   -                1      91 32788531 32788620 32788531 32788640 35478999    +         3.8   13.2   1.8  -
SUPER_3              -          TR                   -                1      92 29018576 29018486 29018576 29018466 38768549    -         3.9   13.1   1.7  -
SUPER_6              -          TR                   -                1      92 28007398 28007488 28007398 28007510 37814175    +         3.9   13.1   2.0  -
SUPER_2              -          TR                   -                1      95  8292265  8292358  8292265  8292377 32729969    +           4   13.1   2.7  -
SUPER_2              -          TR                   -                1      84  1296107  1296189  1296107  1296209 32729969    +         4.1   13.1   1.6  -
SUPER_7              -          TR                   -                1      96  3665838  3665932  3665838  3665950 35541814    +         4.2   13.0   2.2  -
SUPER_4              -          TR                   -                2     102 30794188 30794107 30794189 30794089 38172525    -         4.3   13.0   0.9  -
SUPER_2              -          TR                   -              102     141 11705090 11705032 11705190 11705013 32729969    -         4.4   13.0   1.8  -
SUPER_1              -          TR                   -                1      95  8025872  8025965  8025872  8025984 39551371    +         4.5   12.9   2.0  -
SUPER_3              -          TR                   -                1      90  1496262  1496174  1496262  1496155 38768549    -         4.6   12.9   2.4  -
SUPER_5              -          TR                   -                1      90 21551636 21551724 21551636 21551742 38142179    +         4.6   12.9   2.0  -
SUPER_2              -          TR                   -                1      92  6382699  6382789  6382699  6382807 32729969    +         4.6   12.9   2.5  -
SCAFFOLD_266         -          TR                   -                1      90    44758    44846    44758    44862    51008    +         4.7   12.9   1.8  -
SUPER_3              -          TR                   -                1      90 36280722 36280634 36280722 36280618 38768549    -         4.7   12.9   1.8  -
SUPER_1              -          TR                   -                2      94  8841402  8841493  8841401  8841515 39551371    +         4.7   12.9   2.0  -
SUPER_4              -          TR                   -                1      96 35170701 35170607 35170701 35170589 38172525    -         4.7   12.9   2.3  -
SUPER_2              -          TR                   -                1      91 23385210 23385299 23385210 23385312 32729969    +         4.7   12.9   2.0  -
