# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     314 112346876 112347196 112346876 112347198 237890707    +     2.2e-14   63.0   3.8  -
SUPER_1              -          TR                   -                1     316 133302022 133301702 133302022 133301701 286795342    -       2e-12   56.6   1.7  -
SUPER_6              -          TR                   -               29     134 179655884 179655999 179655865 179656019 211348434    +        0.15   20.9   0.0  -
SUPER_7              -          TR                   -               34     125  26134914  26135036  26134895  26135050 198107836    +        0.38   19.6   1.6  -
SUPER_16             -          TR                   -                1      61  56002649  56002591  56002649  56002569  82888052    -         1.5   17.6   2.7  -
SUPER_16             -          TR                   -                1      62  56002292  56002233  56002292  56002210  82888052    -         1.7   17.5   1.3  -
SUPER_4              -          TR                   -                1      62  39016601  39016660  39016601  39016683 231520128    +         1.7   17.5   1.3  -
SUPER_5              -          TR                   -               54     157  50255293  50255172  50255309  50255160 228694848    -         1.8   17.3   3.2  -
SUPER_1              -          TR                   -                1      67 201303410 201303474 201303410 201303494 286795342    +         3.5   16.4   0.1  -
SUPER_9              -          TR                   -                1      56 146868499 146868552 146868499 146868575 189206704    +         3.7   16.3   0.2  -
SUPER_5              -          TR                   -                1      67  39343890  39343954  39343890  39343974 228694848    +         3.9   16.2   1.0  -
SUPER_7              -          TR                   -                1      63  82345455  82345395  82345455  82345373 198107836    -         4.3   16.1   0.6  -
SUPER_13             -          TR                   -                1      62 128330934 128330993 128330934 128331012 143658101    +         4.8   15.9   0.6  -
SUPER_6              -          TR                   -                1      59  42219068  42219012  42219068  42218989 211348434    -         4.9   15.9   0.6  -
SUPER_16             -          TR                   -                1      71  66171392  66171460  66171392  66171481  82888052    +           5   15.9   1.6  -
SUPER_3              -          TR                   -                2      59 184802589 184802534 184802590 184802511 237890707    -         5.2   15.8   1.6  -
SUPER_10             -          TR                   -                1      62 155659379 155659320 155659379 155659298 167221409    -         5.7   15.7   1.1  -
SUPER_7              -          TR                   -                1      67  52954656  52954592  52954656  52954572 198107836    -         5.7   15.7   0.5  -
SUPER_16             -          TR                   -                1      58  69967241  69967186  69967241  69967164  82888052    -         6.3   15.6   0.8  -
SUPER_5              -          TR                   -                1      63 183656678 183656618 183656678 183656599 228694848    -         6.6   15.5   0.2  -
SUPER_7              -          TR                   -                2      58  10276031  10275977  10276032  10275957 198107836    -         6.7   15.5   0.0  -
SUPER_14             -          TR                   -                1      58  94834559  94834504  94834559  94834483 123701733    -         6.8   15.4   1.8  -
SUPER_5              -          TR                   -              161     221  33645663  33645604  33645683  33645584 228694848    -           7   15.4   2.0  -
SUPER_3              -          TR                   -               80     141 183729558 183729496 183729585 183729476 237890707    -         7.1   15.4   0.3  -
SUPER_9              -          TR                   -               95     142 113369230 113369279 113369217 113369299 189206704    +         7.1   15.4   3.0  -
SUPER_5              -          TR                   -                1      61 183657464 183657522 183657464 183657543 228694848    +         7.3   15.4   0.4  -
SUPER_6              -          TR                   -                1      66    876647    876584    876647    876564 211348434    -           8   15.2   0.8  -
SUPER_1              -          TR                   -                1      71 181042428 181042360 181042428 181042340 286795342    -         8.1   15.2   1.2  -
SUPER_4              -          TR                   -                1      71   7207160   7207228   7207160   7207249 231520128    +         8.2   15.2   1.2  -
SUPER_8              -          TR                   -               29     127 140845979 140846078 140845960 140846098 189254103    +         8.2   15.2   3.5  -
SUPER_1              -          TR                   -                1      67 201304284 201304348 201304284 201304368 286795342    +         8.7   15.1   0.6  -
SUPER_10             -          TR                   -                1      67    614790    614854    614790    614874 167221409    +           9   15.0   1.6  -
SUPER_8              -          TR                   -               72     140  34530089  34530160  34530054  34530181 189254103    +         9.1   15.0   1.4  -
SUPER_9              -          TR                   -                1      68  61705662  61705731  61705662  61705751 189206704    +         9.2   15.0   1.1  -
SUPER_12             -          TR                   -                1      63  44001464  44001524  44001464  44001546 147843772    +         9.3   15.0   0.5  -
SUPER_7              -          TR                   -                1      64 187669237 187669176 187669237 187669155 198107836    -         9.4   15.0   1.3  -
SUPER_11             -          TR                   -                1      62 130257078 130257019 130257078 130256997 162737451    -         9.4   15.0   1.3  -
SUPER_11             -          TR                   -                1      62 130257435 130257376 130257435 130257354 162737451    -         9.4   15.0   1.3  -
SUPER_12             -          TR                   -                1      62   2025286   2025227   2025286   2025205 147843772    -         9.4   15.0   1.3  -
SUPER_12             -          TR                   -                1      62   2025643   2025584   2025643   2025562 147843772    -         9.4   15.0   1.3  -
SUPER_12             -          TR                   -                1      62  17658392  17658333  17658392  17658311 147843772    -         9.4   15.0   1.3  -
SUPER_12             -          TR                   -                1      62  17658749  17658690  17658749  17658668 147843772    -         9.4   15.0   1.3  -
