# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     305 246550720 246550392 246550721 246550380 751391258    -     6.8e-29  111.1   8.5  -
SUPER_4              -          TR                   -               67     122 459373160 459373232 459373137 459373252 575512124    +        0.23   20.8   0.0  -
SUPER_3              -          TR                   -               69     131 166755137 166755197 166755116 166755223 600211227    +        0.58   19.5   6.1  -
SUPER_4              -          TR                   -              183     256 448908774 448908848 448908766 448908867 575512124    +         0.9   18.8   0.3  -
SUPER_7              -          TR                   -               67     122  68428896  68428822  68428914  68428802 521910117    -         1.4   18.2   0.2  -
SUPER_7              -          TR                   -               67     122  68446213  68446139  68446233  68446119 521910117    -         1.4   18.2   0.3  -
SUPER_2              -          TR                   -                1      95  99620556  99620463  99620556  99620442 651249186    -         1.5   18.1   1.8  -
SUPER_1              -          TR                   -               38     131 244097833 244097736 244097852 244097720 751391258    -         1.6   18.0   0.6  -
SUPER_3              -          TR                   -               67     131 200653903 200653982 200653880 200654000 600211227    +         1.9   17.8   0.0  -
SUPER_2              -          TR                   -               68     122  84327482  84327416  84327507  84327396 651249186    -         1.9   17.8   0.8  -
SUPER_1              -          TR                   -                1     142 678380950 678380742 678380950 678380725 751391258    -         1.9   17.7   2.3  -
SUPER_1              -          TR                   -               68     122 155166836 155166902 155166811 155166922 751391258    +           2   17.7   0.4  -
SUPER_1              -          TR                   -                1     122 564973493 564973343 564973493 564973317 751391258    -           2   17.7   4.2  -
SUPER_2              -          TR                   -               67     122 602683923 602683851 602683946 602683831 651249186    -           2   17.7   0.5  -
SUPER_3              -          TR                   -               67     122 397051210 397051138 397051233 397051118 600211227    -           2   17.7   0.5  -
SUPER_5              -          TR                   -               68     122 484846109 484846175 484846084 484846195 573054857    +         2.1   17.6   0.8  -
SUPER_5              -          TR                   -               67     122 271255052 271255123 271255030 271255143 573054857    +         2.1   17.6   0.1  -
SUPER_4              -          TR                   -               67     122 449707577 449707648 449707556 449707668 575512124    +         2.2   17.6   0.4  -
SUPER_1              -          TR                   -               68     122 155184286 155184352 155184261 155184372 751391258    +         2.3   17.5   0.5  -
SUPER_2              -          TR                   -               67     122  84344938  84344867  84344959  84344847 651249186    -         2.3   17.5   0.5  -
SUPER_2              -          TR                   -               67     122 333411185 333411113 333411205 333411093 651249186    -         2.4   17.4   0.3  -
SUPER_4              -          TR                   -               67     122 449690014 449690086 449689994 449690106 575512124    +         2.4   17.4   0.3  -
SUPER_6              -          TR                   -               67     122 404005385 404005457 404005365 404005477 563790525    +         2.4   17.4   0.3  -
SUPER_6              -          TR                   -               67     122 210755053 210754981 210755073 210754961 563790525    -         2.4   17.4   0.3  -
SUPER_7              -          TR                   -               67     122 247907298 247907226 247907318 247907206 521910117    -         2.4   17.4   0.3  -
SUPER_1              -          TR                   -               68     122 669061771 669061705 669061796 669061685 751391258    -         2.4   17.4   0.5  -
SUPER_1              -          TR                   -               68     122 669095594 669095528 669095619 669095508 751391258    -         2.4   17.4   0.5  -
SUPER_2              -          TR                   -               68     122 564670270 564670336 564670245 564670356 651249186    +         2.4   17.4   0.5  -
SUPER_2              -          TR                   -               68     122 564687858 564687924 564687833 564687944 651249186    +         2.4   17.4   0.5  -
SUPER_3              -          TR                   -               68     122 397033499 397033433 397033524 397033413 600211227    -         2.4   17.4   0.5  -
SUPER_3              -          TR                   -               68     122 467837962 467837896 467837987 467837876 600211227    -         2.4   17.4   0.5  -
SUPER_3              -          TR                   -               68     122 467855438 467855372 467855463 467855352 600211227    -         2.4   17.4   0.5  -
SUPER_4              -          TR                   -               68     122 382944308 382944374 382944283 382944394 575512124    +         2.4   17.4   0.5  -
