# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -              106     214 19812540 19812430 19812563 19812366 24562814    -      0.0059   22.3   0.0  -
SUPER_1              -          TR                   -              143     196  2156083  2156028  2156104  2156026 47471227    -       0.039   19.6   3.2  -
SUPER_5              -          TR                   -               75     141 13540869 13540958 13540849 13540978 27378441    +        0.29   16.8   0.6  -
SUPER_5              -          TR                   -               66     174 22120665 22120521 22120684 22120501 27378441    -        0.48   16.1   1.8  -
SUPER_8              -          TR                   -               68     162 10849353 10849452 10849333 10849457 23159967    +        0.77   15.4   1.0  -
SUPER_8              -          TR                   -                8     118 19277010 19277119 19277009 19277132 23159967    +        0.89   15.2   3.1  -
SUPER_2              -          TR                   -               66     127 18101713 18101769 18101686 18101783 46502781    +         1.1   14.9   0.4  -
SUPER_5              -          TR                   -               52     125 12618198 12618272 12618167 12618300 27378441    +         1.4   14.5   0.3  -
SUPER_5              -          TR                   -               25     118 19280787 19280684 19280801 19280683 27378441    -         1.4   14.5   2.0  -
SUPER_7              -          TR                   -               98     163  1879043  1878976  1879063  1878968 23573786    -         1.4   14.5   0.2  -
SUPER_8              -          TR                   -               68     131 10888299 10888360 10888279 10888380 23159967    +         1.4   14.5   0.3  -
SUPER_8              -          TR                   -               68     131 10897721 10897782 10897701 10897802 23159967    +         1.4   14.5   0.3  -
SUPER_1              -          TR                   -               22     130  8106509  8106649  8106498  8106667 47471227    +         1.6   14.3   0.4  -
SUPER_3              -          TR                   -               26     141 18424626 18424763 18424606 18424789 45432518    +         2.5   13.7   1.1  -
SUPER_9              -          TR                   -                6     121 19673537 19673649 19673533 19673669 22038702    +         3.2   13.4   3.9  -
SUPER_4              -          TR                   -               68     141 26784154 26784088 26784184 26784070 27619532    -         3.2   13.4   0.6  -
SUPER_3              -          TR                   -               73     141 44954559 44954628 44954538 44954648 45432518    +         3.4   13.3   1.4  -
SUPER_11             -          TR                   -               81     157  7284338  7284253  7284359  7284234 17450463    -           4   13.0   0.8  -
SUPER_3              -          TR                   -               76     178  3028627  3028534  3028647  3028512 45432518    -         4.1   13.0   0.1  -
SUPER_8              -          TR                   -                6     134 17437777 17437636 17437778 17437629 23159967    -         4.3   12.9   1.2  -
SUPER_1              -          TR                   -               57     161 39583314 39583414 39583293 39583418 47471227    +         5.2   12.7   0.5  -
SUPER_3              -          TR                   -               27     126 15795179 15795282 15795165 15795302 45432518    +         5.3   12.6   3.4  -
SUPER_8              -          TR                   -               81     133 10914177 10914227 10914157 10914253 23159967    +         5.6   12.6   0.0  -
SUPER_8              -          TR                   -               81     133 10943956 10944006 10943936 10944032 23159967    +         5.6   12.6   0.0  -
SUPER_4              -          TR                   -              103     155 18056376 18056429 18056356 18056446 27619532    +         5.6   12.6   2.3  -
SUPER_4              -          TR                   -               97     138 17179850 17179892 17179814 17179915 27619532    +         6.1   12.4   0.1  -
SUPER_7              -          TR                   -              144     204 20858259 20858197 20858281 20858186 23573786    -         6.2   12.4   3.1  -
SUPER_1              -          TR                   -               88     189 46486482 46486348 46486504 46486337 47471227    -         6.3   12.4   1.7  -
SUPER_4              -          TR                   -              137     180  4489746  4489703  4489766  4489697 27619532    -         6.4   12.4   1.1  -
SUPER_2              -          TR                   -              130     180 23436775 23436826 23436767 23436835 46502781    +         6.6   12.3   2.5  -
SUPER_6              -          TR                   -               24     141 18349496 18349359 18349511 18349339 24562814    -         7.2   12.2   7.5  -
SUPER_6              -          TR                   -               24     218 10422770 10422946 10422750 10422968 24562814    +         7.6   12.1   3.7  -
SUPER_3              -          TR                   -               68     130 32283674 32283756 32283641 32283776 45432518    +           8   12.1   0.1  -
SUPER_3              -          TR                   -               35     142 18424840 18424737 18424860 18424723 45432518    -         8.4   12.0   3.4  -
SUPER_1              -          TR                   -               83     141 12626403 12626350 12626426 12626330 47471227    -         9.3   11.8   0.4  -
SUPER_10             -          TR                   -               24     130  5541335  5541429  5541321  5541454 19715216    +         9.8   11.8   3.5  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Straminergon_stramineum/assembly/curated/cbStrStra4.1/cbStrStra4.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Straminergon_stramineum.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Straminergon_stramineum/assembly/curated/cbStrStra4.1/cbStrStra4.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:14:46 2025
# [ok]
