# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                3     312 335531239 335531572 335531237 335531577 841368522    +     5.5e-40  149.0   1.7  -
SUPER_13             -          TR                   -               33     166 484651501 484651648 484651486 484651651 545352555    +       0.002   29.0   5.9  -
SUPER_2              -          TR                   -               17     136 223058232 223058110 223058238 223058090 841368522    -       0.016   26.0   6.5  -
SUPER_10             -          TR                   -               22     137  79438736  79438617  79438746  79438597 650134427    -       0.021   25.7   6.0  -
SUPER_6              -          TR                   -               40     141 235621995 235621896 235622015 235621851 693266847    -       0.022   25.6   3.6  -
SUPER_4              -          TR                   -               32     137 195757098 195756951 195757116 195756931 766078222    -        0.12   23.2   0.4  -
SUPER_2              -          TR                   -               36     141 751364414 751364272 751364432 751364261 841368522    -        0.13   23.1   3.7  -
SUPER_4              -          TR                   -               24     134 606474810 606474698 606474823 606474675 766078222    -        0.16   22.7   8.7  -
SUPER_8              -          TR                   -               31     141 284721789 284721909 284721770 284721937 654671025    +        0.17   22.6   6.6  -
SUPER_3              -          TR                   -                9     129 751628157 751628022 751628158 751628001 772393794    -        0.32   21.8   1.6  -
SUPER_4              -          TR                   -               24     141 650949572 650949458 650949589 650949440 766078222    -        0.44   21.3   7.8  -
SUPER_7              -          TR                   -               76     168 661125396 661125510 661125371 661125513 690056233    +         0.7   20.6   0.0  -
SUPER_12             -          TR                   -               40     157  91545190  91545332  91545168  91545344 547487370    +        0.71   20.6   4.3  -
SUPER_3              -          TR                   -               34     141 205343481 205343333 205343499 205343309 772393794    -        0.77   20.5   4.7  -
SUPER_16             -          TR                   -               34     142 405079640 405079802 405079622 405079818 487455108    +        0.89   20.3   3.7  -
SUPER_5              -          TR                   -               33     137 352725041 352725142 352725025 352725163 735900830    +        0.91   20.3   7.3  -
SUPER_7              -          TR                   -                3     141 496527506 496527638 496527505 496527658 690056233    +         1.2   19.9   3.7  -
SUPER_13             -          TR                   -               33     159  43662268  43662112  43662287  43662093 545352555    -         1.2   19.9   6.1  -
SUPER_4              -          TR                   -               79     161 580350636 580350532 580350656 580350525 766078222    -         1.2   19.9   0.9  -
SUPER_6              -          TR                   -               25     141  29748464  29748575  29748447  29748595 693266847    +         1.3   19.7   6.8  -
SUPER_11             -          TR                   -                6     156 178656301 178656167 178656303 178656148 643737533    -         1.4   19.6   4.8  -
SUPER_2              -          TR                   -               59     141 595899170 595899036 595899197 595899012 841368522    -         1.4   19.6   3.0  -
SUPER_6              -          TR                   -               76     161 463655368 463655262 463655388 463655256 693266847    -         1.6   19.5   1.7  -
SUPER_16             -          TR                   -               27     138  20617072  20617178  20617057  20617198 487455108    +         1.6   19.4   2.2  -
SUPER_6              -          TR                   -               51     161 433989020 433989109 433988985 433989121 693266847    +         1.8   19.3   5.3  -
SUPER_5              -          TR                   -               28     122 516803817 516803920 516803800 516803943 735900830    +           2   19.2   0.4  -
SUPER_6              -          TR                   -               36     140 617760197 617760297 617760181 617760318 693266847    +         2.2   19.0   4.2  -
SUPER_5              -          TR                   -              109     196 350072646 350072558 350072665 350072557 735900830    -         2.2   19.0   3.5  -
SUPER_6              -          TR                   -               27     159 208283672 208283546 208283689 208283524 693266847    -         2.5   18.8   2.5  -
SUPER_18             -          TR                   -               33     125 392092789 392092889 392092775 392092911 426775217    +         2.6   18.8   1.2  -
SUPER_4              -          TR                   -               67     162 150524233 150524147 150524259 150524138 766078222    -         2.7   18.7   0.9  -
SUPER_3              -          TR                   -               15     130 648312810 648312940 648312803 648312960 772393794    +         2.9   18.6   1.2  -
SUPER_2              -          TR                   -               21     141 428793370 428793528 428793359 428793548 841368522    +         3.1   18.5   5.6  -
SUPER_2              -          TR                   -               24     136 214366450 214366330 214366462 214366309 841368522    -         3.3   18.4   1.8  -
SUPER_14_unloc_2     -          TR                   -               26     141   3232800   3232964   3232780   3232984   5675970    +         3.3   18.4   3.6  -
SUPER_12             -          TR                   -               33     128   8052227   8052118   8052246   8052096 547487370    -         3.5   18.4   0.5  -
SUPER_2              -          TR                   -               38     141 722605833 722605935 722605812 722605955 841368522    +         3.5   18.3   4.6  -
SUPER_16             -          TR                   -              103     170 160607925 160607857 160607941 160607857 487455108    -         3.6   18.3   0.0  -
SUPER_3              -          TR                   -               20     141 284130183 284130342 284130175 284130369 772393794    +         3.6   18.3   6.5  -
