# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_12             -          TR                   -                1     316  7304731  7304410  7304731  7304409 26070989    -     8.9e-38  137.2   1.6  -
SUPER_12             -          TR                   -                1     163  7300634  7300480  7300634  7300479 26070989    -     1.3e-11   51.4   2.8  -
SUPER_8              -          TR                   -               35     181 17361020 17360878 17361042 17360867 36081761    -     4.2e-05   29.9   0.8  -
SUPER_12             -          TR                   -              239     316  7300477  7300402  7300483  7300401 26070989    -       0.004   23.4   3.1  -
SUPER_9              -          TR                   -               21     130 22328422 22328539 22328411 22328559 35848505    +       0.055   19.7   8.4  -
SUPER_8              -          TR                   -               67     124 29606670 29606725 29606644 29606745 36081761    +        0.21   17.8   1.1  -
SUPER_12             -          TR                   -                5     141  9202614  9202762  9202614  9202779 26070989    +        0.26   17.5   4.7  -
SUPER_12             -          TR                   -               67     124 20922239 20922291 20922211 20922311 26070989    +        0.35   17.1   2.3  -
SUPER_1              -          TR                   -               68     124 16298309 16298359 16298284 16298379 55881636    +        0.65   16.2   2.4  -
SUPER_6              -          TR                   -               68     124 22029247 22029197 22029272 22029177 37596142    -         0.7   16.1   2.4  -
SUPER_2              -          TR                   -               61     121 19312371 19312421 19312344 19312441 50322347    +        0.72   16.1   3.5  -
SUPER_7              -          TR                   -               24     125  6530190  6530361  6530172  6530377 36853746    +        0.83   15.8   0.0  -
SUPER_11             -          TR                   -                2      63  2963627  2963566  2963628  2963542 26924738    -        0.87   15.8   2.8  -
SUPER_9              -          TR                   -               36     124  3803154  3803066  3803174  3803046 35848505    -         0.9   15.7   4.7  -
SUPER_5              -          TR                   -               22     135 21709494 21709580 21709476 21709599 41478038    +         1.3   15.3   0.0  -
SUPER_3              -          TR                   -                1      78 40061742 40061667 40061742 40061650 44192852    -           2   14.6   3.2  -
SUPER_1              -          TR                   -               34     116 44956819 44956738 44956835 44956719 55881636    -         2.9   14.1   0.0  -
SUPER_4              -          TR                   -               73     141 25777829 25777776 25777854 25777746 43074758    -         3.3   13.9   2.6  -
HAP1_SCAFFOLD_247    -          TR                   -               24     126     3555     3655     3540     3676    46613    +         3.9   13.7   4.9  -
SUPER_4              -          TR                   -               68     141 25782297 25782239 25782322 25782212 43074758    -         4.1   13.6   3.1  -
SUPER_8              -          TR                   -                1      75  9559517  9559593  9559517  9559596 36081761    +         4.5   13.5   2.2  -
SUPER_6              -          TR                   -              141     175 11492103 11492074 11492122 11492054 37596142    -         4.7   13.4   3.0  -
SUPER_2              -          TR                   -              169     208  8347547  8347587  8347527  8347608 50322347    +         4.8   13.4   2.2  -
SUPER_1              -          TR                   -                1      78 16974193 16974104 16974193 16974078 55881636    -         5.7   13.1   1.6  -
SUPER_7              -          TR                   -                1      77  4818984  4819072  4818984  4819092 36853746    +         6.8   12.9   3.2  -
SUPER_11             -          TR                   -                2      58  2965335  2965279  2965336  2965268 26924738    -         7.2   12.8   3.5  -
SUPER_7              -          TR                   -               34     122 31701540 31701431 31701560 31701413 36853746    -         7.2   12.8   0.5  -
HAP1_SCAFFOLD_113    -          TR                   -               24     126    50490    50390    50504    50369    78971    -         7.3   12.8   4.6  -
HAP1_SCAFFOLD_32     -          TR                   -               24     126   227815   227915   227801   227936   318266    +         7.3   12.8   4.6  -
HAP1_SCAFFOLD_32     -          TR                   -               24     126   239181   239281   239167   239302   318266    +         7.3   12.8   4.6  -
HAP1_SCAFFOLD_36     -          TR                   -               24     126   134902   135002   134888   135023   270377    +         7.3   12.8   4.6  -
HAP1_SCAFFOLD_487    -          TR                   -               24     126    13298    13198    13312    13177    32167    -         7.3   12.8   4.6  -
HAP1_SCAFFOLD_56     -          TR                   -               24     126   140326   140226   140340   140205   169366    -         7.3   12.8   4.6  -
SUPER_3              -          TR                   -              124     196 27057429 27057509 27057407 27057514 44192852    +         7.4   12.7   3.9  -
SUPER_7              -          TR                   -               63     141    17262    17366    17238    17386 36853746    +         7.6   12.7   1.4  -
SUPER_9              -          TR                   -               74     128  1159432  1159371  1159452  1159357 35848505    -         7.6   12.7   0.7  -
