# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     317 216468736 216468384 216468736 216468384 455969974    -     8.2e-22   88.0   5.0  -
SUPER_7              -          TR                   -               38     313 215567592 215567912 215567572 215567914 455969974    +     9.9e-09   45.1   3.6  -
SUPER_7              -          TR                   -               68     313 216007507 216007796 216007453 216007798 455969974    +     3.6e-08   43.2   6.0  -
SUPER_7              -          TR                   -               47     314 215784563 215784889 215784536 215784890 455969974    +     6.5e-08   42.4   7.3  -
SUPER_7              -          TR                   -               35     313 215743631 215743955 215743609 215743957 455969974    +       2e-06   37.5   5.0  -
SUPER_7              -          TR                   -               38     313 215661844 215662164 215661824 215662166 455969974    +     2.9e-05   33.7   4.7  -
SUPER_7              -          TR                   -               49     314 215894400 215894724 215894375 215894725 455969974    +     0.00033   30.2   9.6  -
SUPER_7              -          TR                   -               38     313 215666449 215666774 215666429 215666776 455969974    +     0.00039   30.0   3.8  -
SUPER_5              -          TR                   -               20     164  92953024  92952886  92953035  92952883 509053465    -         0.1   22.1   9.7  -
SUPER_6              -          TR                   -              188     316 206975495 206975627 206975482 206975629 492350466    +        0.35   20.3   0.4  -
SUPER_6              -          TR                   -              188     316 206996220 206996352 206996207 206996354 492350466    +        0.35   20.3   0.4  -
SUPER_5              -          TR                   -               28     131 262947272 262947134 262947287 262947094 509053465    -        0.48   19.8   4.7  -
SUPER_6              -          TR                   -              188     316 206954882 206955014 206954868 206955016 492350466    +         1.8   17.9   0.4  -
SUPER_8              -          TR                   -                2      65 287983382 287983443 287983381 287983454 420003348    +         2.2   17.7   1.4  -
SUPER_7              -          TR                   -               37     123 368661968 368662051 368661948 368662072 455969974    +         2.3   17.6   3.0  -
SUPER_7              -          TR                   -               34     123 368783591 368783675 368783570 368783696 455969974    +         2.4   17.5   4.6  -
SUPER_5              -          TR                   -               24     176   8643979   8644128   8643965   8644142 509053465    +         2.5   17.5   3.7  -
SUPER_2              -          TR                   -                1     138 495363869 495363746 495363869 495363726 542286052    -           3   17.2   3.1  -
SUPER_1              -          TR                   -               29     177 545612030 545612183 545612016 545612193 598855352    +         3.8   16.9   2.6  -
HAP1_SCAFFOLD_126    -          TR                   -                1     136    465346    465491    465346    465511    467640    +           4   16.8   1.4  -
HAP1_SCAFFOLD_147    -          TR                   -                1     136    290181    290326    290181    290346    348143    +           4   16.8   1.4  -
SUPER_1              -          TR                   -               73     131 556190297 556190350 556190274 556190390 598855352    +           5   16.5   3.3  -
SUPER_3              -          TR                   -               35     179 331086325 331086169 331086346 331086152 526817480    -           7   16.0   1.3  -
SUPER_8              -          TR                   -               68     133  10567844  10567779  10567864  10567758 420003348    -         7.3   16.0   3.9  -
SUPER_4              -          TR                   -                2      84 104926527 104926648 104926526 104926668 514749423    +         7.9   15.8   2.5  -
SUPER_3              -          TR                   -               33     162  57254686  57254855  57254666  57254863 526817480    +         8.3   15.8   8.1  -
SUPER_7              -          TR                   -               68     162  21733876  21733972  21733834  21733974 455969974    +         8.5   15.7   3.2  -
SUPER_2              -          TR                   -               70     125 519432389 519432446 519432367 519432471 542286052    +         8.9   15.7   2.7  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Tanacetum_vulgare/assembly/curated/daTanVulg1.1/daTanVulg1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Tanacetum_vulgare.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Tanacetum_vulgare/assembly/curated/daTanVulg1.1/daTanVulg1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:32:05 2024
# [ok]
