# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          TR                   -               79     250 16338891 16338713 16338919 16338685 21039217    -        0.01   21.5   0.5  -
SUPER_8              -          TR                   -               72     210  7699578  7699701  7699556  7699722 21222536    +       0.025   20.2   0.0  -
SUPER_7              -          TR                   -               68     138 17192373 17192298 17192396 17192278 22192926    -         0.3   16.7   1.1  -
SUPER_7              -          TR                   -              148     192 19348666 19348617 19348686 19348612 22192926    -        0.43   16.1   1.8  -
SUPER_7              -          TR                   -               73     177 15192539 15192431 15192564 15192425 22192926    -        0.64   15.6   0.5  -
SUPER_5              -          TR                   -               67     124  5916285  5916234  5916308  5916214 24993490    -        0.65   15.6   0.5  -
SUPER_9              -          TR                   -              149     191  6609494  6609535  6609471  6609556 21039217    +        0.65   15.5   2.2  -
SUPER_6              -          TR                   -               65     133    34440    34368    34460    34338 22345806    -        0.67   15.5   0.0  -
SUPER_1              -          TR                   -               67     140  7430248  7430164  7430272  7430146 46335192    -        0.68   15.5   0.3  -
SUPER_4              -          TR                   -              136     180 21254663 21254706 21254645 21254712 25769256    +        0.77   15.3   1.6  -
SUPER_8              -          TR                   -               68     141 10851273 10851340 10851253 10851372 21222536    +        0.89   15.1   1.3  -
SUPER_2              -          TR                   -               68     161 18786803 18786903 18786771 18786921 42055580    +         1.2   14.7   1.5  -
SUPER_4              -          TR                   -               27     129  5885731  5885826  5885721  5885847 25769256    +         1.5   14.4   0.9  -
SUPER_3              -          TR                   -               71     133 30463987 30463924 30464018 30463904 41732155    -         1.6   14.3   0.2  -
SUPER_5              -          TR                   -               76     141 12141153 12141241 12141131 12141261 24993490    +         1.7   14.2   1.4  -
SUPER_10             -          TR                   -               25     150  4566457  4566580  4566444  4566594 20739590    +         1.8   14.1   3.8  -
SUPER_10             -          TR                   -               67     132  8844825  8844749  8844848  8844726 20739590    -         2.5   13.6   1.3  -
SUPER_3              -          TR                   -               73     133 30458847 30458908 30458824 30458916 41732155    +         2.8   13.5   0.1  -
SUPER_6              -          TR                   -               71     132 14087715 14087777 14087684 14087797 22345806    +           3   13.4   0.0  -
SUPER_8              -          TR                   -               70     130 10698271 10698333 10698249 10698358 21222536    +           3   13.4   0.2  -
SUPER_8              -          TR                   -               70     131 10817897 10817965 10817875 10817989 21222536    +         4.2   12.9   0.0  -
SUPER_2              -          TR                   -               73     133 10993625 10993684 10993593 10993692 42055580    +         4.3   12.9   0.0  -
SUPER_2              -          TR                   -               73     133 10996437 10996378 10996469 10996370 42055580    -         4.3   12.9   0.0  -
SUPER_5              -          TR                   -              105     156 14014569 14014521 14014589 14014514 24993490    -         4.3   12.9   0.6  -
SUPER_3              -          TR                   -               33     134 39417803 39417899 39417782 39417920 41732155    +         4.4   12.8   5.6  -
SUPER_6              -          TR                   -               42     133  3278147  3278048  3278173  3278040 22345806    -         4.9   12.7   3.0  -
SUPER_6              -          TR                   -               64     122  6936008  6935944  6936048  6935924 22345806    -           6   12.4   2.1  -
SUPER_5              -          TR                   -              107     164 17571783 17571733 17571802 17571722 24993490    -           6   12.4   1.5  -
SUPER_2              -          TR                   -               98     142 15355243 15355318 15355223 15355337 42055580    +         6.2   12.3   1.6  -
SUPER_9              -          TR                   -               68     124 13474002 13473943 13474022 13473923 21039217    -         6.3   12.3   0.7  -
SUPER_11             -          TR                   -               74     133  3118568  3118628  3118547  3118631 17869388    +         6.5   12.3   0.0  -
SUPER_1              -          TR                   -               28     133  8656853  8656964  8656833  8656981 46335192    +         6.5   12.3   1.6  -
SUPER_1              -          TR                   -               28     133  8659653  8659542  8659673  8659525 46335192    -         6.5   12.3   1.6  -
SUPER_8              -          TR                   -               19     141 21032452 21032590 21032439 21032610 21222536    +         6.9   12.2   6.6  -
SUPER_4              -          TR                   -              102     162  2208736  2208661  2208770  2208659 25769256    -         6.9   12.2   3.9  -
SUPER_11             -          TR                   -               73     133  3120444  3120383  3120466  3120379 17869388    -         7.2   12.1   0.0  -
SUPER_8              -          TR                   -               81     141 10666000 10666049 10665979 10666069 21222536    +         7.7   12.0   0.0  -
SUPER_3              -          TR                   -               71     160 21625737 21625649 21625788 21625633 41732155    -         8.3   11.9   4.0  -
SUPER_10             -          TR                   -               68     123  7005071  7005136  7005042  7005162 20739590    +         8.7   11.9   0.5  -
SUPER_8              -          TR                   -               70     161  3501281  3501368  3501262  3501372 21222536    +         9.2   11.8   2.0  -
SUPER_1              -          TR                   -              167     203 12530684 12530648 12530705 12530628 46335192    -         9.5   11.7   1.8  -
SUPER_3              -          TR                   -               28     132 24574746 24574659 24574760 24574639 41732155    -         9.7   11.7   1.5  -
SUPER_2              -          TR                   -              108     142 13139308 13139270 13139321 13139250 42055580    -         9.7   11.7   0.7  -
SUPER_10             -          TR                   -               68     124  7169593  7169535  7169628  7169513 20739590    -         9.8   11.7   0.6  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Pseudotaxiphyllum_elegans/assembly/curated/cbPseEleg4.1/cbPseEleg4.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Pseudotaxiphyllum_elegans.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Pseudotaxiphyllum_elegans/assembly/curated/cbPseEleg4.1/cbPseEleg4.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:20:03 2025
# [ok]
