# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_14             -          TR                   -                1     314  3291177  3290850  3291177  3290847 51913999    -       8e-37  134.9   5.7  -
SUPER_14             -          TR                   -                1     316  3254376  3254703  3254376  3254706 51913999    +       4e-34  126.1   6.1  -
SUPER_4              -          TR                   -                2     315 65087088 65086768 65087089 65086763 65391032    -     1.2e-29  111.4   1.8  -
SUPER_4              -          TR                   -                2     315 65099169 65098849 65099170 65098844 65391032    -     1.2e-29  111.4   1.8  -
SUPER_14             -          TR                   -                1     316  3256808  3257124  3256808  3257128 51913999    +     2.7e-26  100.4   7.8  -
SUPER_14             -          TR                   -                1     315  3209493  3209174  3209493  3209172 51913999    -     6.3e-26   99.2   5.8  -
SUPER_4              -          TR                   -                1     315 65251376 65251079 65251376 65251076 65391032    -     7.8e-25   95.6   2.1  -
SUPER_2              -          TR                   -                2     312 67625026 67625383 67625025 67625385 70876221    +     3.1e-18   73.9   2.6  -
SUPER_9              -          TR                   -                2     312 53209474 53209791 53209473 53209794 60231580    +     6.9e-18   72.8   2.7  -
SUPER_2              -          TR                   -                4     314 67627184 67627542 67627183 67627543 70876221    +     6.9e-17   69.5   4.8  -
SUPER_14             -          TR                   -              145     313  3213307  3213148  3213328  3213146 51913999    -     3.7e-15   63.8   1.9  -
SUPER_8              -          TR                   -               91     314 48939982 48939765 48940002 48939762 61527627    -       5e-15   63.4   3.1  -
SUPER_14             -          TR                   -              151     314  4675139  4674903  4675144  4674900 51913999    -     2.1e-11   51.5   5.1  -
SUPER_2              -          TR                   -                2     312 67628875 67629234 67628874 67629236 70876221    +     2.8e-10   47.8   7.6  -
SUPER_7              -          TR                   -               91     315 60902548 60902315 60902553 60902313 61704864    -     1.1e-09   45.9   3.8  -
SUPER_5              -          TR                   -               34     224  9567369  9567172  9567388  9567153 66822030    -     2.2e-08   41.6   8.7  -
