# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_13             -          TR                   -                1     313  9346617  9346307  9346617  9346305 32985215    -     1.4e-41  149.9   0.7  -
SUPER_1              -          TR                   -               34     165  4586066  4585915  4586092  4585911 64748220    -        0.05   20.1   0.6  -
SUPER_8              -          TR                   -                9     156 11223975 11223835 11223978 11223816 35520055    -        0.32   17.4   2.4  -
SUPER_5              -          TR                   -               26     148 29077066 29076951 29077084 29076931 42409405    -        0.33   17.4   3.4  -
SUPER_9              -          TR                   -                2      92  5994589  5994474  5994590  5994449 34704365    -        0.55   16.7   6.0  -
SUPER_12             -          TR                   -              220     314 28791013 28791108 28791001 28791112 33405154    +        0.63   16.5   0.5  -
SUPER_8              -          TR                   -               54     141 29830091 29830189 29830068 29830207 35520055    +        0.72   16.3   0.6  -
SUPER_4              -          TR                   -               24     165 30101665 30101853 30101652 30101856 44399210    +        0.91   15.9   0.0  -
SUPER_5              -          TR                   -               19     162 11376244 11376402 11376227 11376420 42409405    +         1.1   15.7   1.0  -
SUPER_6              -          TR                   -               29     157 20278406 20278287 20278427 20278267 40156598    -         1.2   15.5   2.7  -
SUPER_4              -          TR                   -               25     122 19699841 19699963 19699829 19699999 44399210    +         1.5   15.3   0.5  -
SUPER_3              -          TR                   -               68     130 46407801 46407860 46407774 46407880 52809252    +         2.4   14.6   0.0  -
SUPER_8              -          TR                   -               10     156  2048192  2048063  2048193  2048042 35520055    -         2.5   14.5   6.7  -
SUPER_6              -          TR                   -                2     141   632713   632553   632714   632533 40156598    -         2.7   14.4   8.0  -
SUPER_11             -          TR                   -               25     157  1175124  1175004  1175139  1174985 33716773    -         2.9   14.3   5.1  -
SUPER_7              -          TR                   -               24     141 20462812 20462923 20462797 20462951 35936868    +         3.1   14.2   6.8  -
SUPER_3              -          TR                   -               70     130 46374167 46374224 46374138 46374239 52809252    +         3.7   13.9   0.0  -
SUPER_1              -          TR                   -               39     140  6302643  6302552  6302650  6302536 64748220    -         3.8   13.9   1.3  -
SUPER_1              -          TR                   -               77     141 42710470 42710529 42710451 42710549 64748220    +         3.9   13.9   1.3  -
SUPER_3              -          TR                   -                2      84 16199932 16200022 16199931 16200042 52809252    +         4.1   13.8   4.9  -
SUPER_10             -          TR                   -               24     125 13871908 13872012 13871895 13872032 34366503    +         4.3   13.7   0.4  -
SUPER_12             -          TR                   -                9      88  9348297  9348372  9348295  9348427 33405154    +         4.5   13.7   0.6  -
SUPER_3              -          TR                   -               94     141 29266752 29266804 29266731 29266824 52809252    +         4.8   13.6   2.0  -
SUPER_1              -          TR                   -               19     122 18693184 18693328 18693166 18693348 64748220    +         4.9   13.6   2.5  -
scaffold_88          -          TR                   -                9     162   137719   137853   137718   137867   146881    +         5.4   13.4   4.6  -
SUPER_10             -          TR                   -               44     141  4674101  4673987  4674122  4673967 34366503    -         5.5   13.4   2.0  -
SUPER_6              -          TR                   -               18     141 22916384 22916536 22916375 22916556 40156598    +         6.5   13.1   5.6  -
SUPER_1              -          TR                   -              102     141 46479399 46479337 46479415 46479317 64748220    -         6.8   13.1   1.2  -
SUPER_7              -          TR                   -               68     129  8002560  8002615  8002537  8002635 35936868    +         6.9   13.1   3.4  -
SUPER_5              -          TR                   -               24     150 26803151 26803035 26803166 26803016 42409405    -         7.1   13.0   4.3  -
SUPER_1              -          TR                   -               31     155 59059697 59059578 59059719 59059558 64748220    -         7.5   12.9   3.7  -
SUPER_1              -          TR                   -                3     126 37790915 37790784 37790917 37790764 64748220    -         7.5   12.9   1.8  -
SUPER_11             -          TR                   -               16     165  2411187  2411036  2411195  2411035 33716773    -         7.6   12.9   3.1  -
SUPER_5              -          TR                   -               35     156 17077590 17077469 17077611 17077450 42409405    -         8.8   12.7   4.0  -
scaffold_346         -          TR                   -               69     124     2627     2576     2648     2555    14624    -           9   12.7   0.0  -
SUPER_7              -          TR                   -               12      92 25783864 25783943 25783861 25783992 35936868    +         9.7   12.6   1.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Acer_campestre/assembly/curated/drAceCamp1.1/drAceCamp1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Acer_campestre.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Acer_campestre/assembly/curated/drAceCamp1.1/drAceCamp1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 09:39:09 2024
# [ok]
