# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_20             -          TR                   -                2     314 37837706 37838065 37837705 37838066 42231871    +     2.4e-09   45.6   1.1  -
SUPER_11             -          TR                   -                2     314  4825112  4824753  4825113  4824752 60299674    -     5.5e-08   41.1   1.2  -
SUPER_2              -          TR                   -                2     313 81519017 81519374 81519016 81519376 86136469    +     1.6e-07   39.5   1.1  -
SUPER_7              -          TR                   -               24     122 45857569 45857468 45857582 45857450 78656221    -         0.2   19.6   1.4  -
SUPER_9              -          TR                   -              160     225 47963351 47963434 47963348 47963455 72948113    +        0.24   19.3   0.5  -
SUPER_7              -          TR                   -               24     127 18000491 18000388 18000505 18000367 78656221    -        0.26   19.2   2.2  -
SUPER_11             -          TR                   -                1     196 57671457 57671680 57671457 57671686 60299674    +        0.28   19.1   2.7  -
SUPER_11             -          TR                   -               32     123 33669672 33669757 33669656 33669777 60299674    +        0.31   19.0   1.3  -
SUPER_23             -          TR                   -              142     194  5907607  5907666  5907587  5907671 39868957    +        0.34   18.8   2.8  -
SUPER_8              -          TR                   -               27     125 32598142 32598044 32598158 32598024 77470921    -        0.58   18.1   2.5  -
SUPER_9              -          TR                   -               24     124 22120687 22120584 22120701 22120564 72948113    -        0.63   18.0   4.6  -
SUPER_7              -          TR                   -               68     139  9594975  9594904  9594995  9594884 78656221    -        0.82   17.6   3.0  -
SUPER_8              -          TR                   -               23     123 42049724 42049624 42049737 42049604 77470921    -        0.83   17.5   2.8  -
SUPER_8              -          TR                   -               24     123 44052358 44052457 44052344 44052478 77470921    +        0.93   17.4   3.0  -
SUPER_7              -          TR                   -               23     122 43761087 43760988 43761100 43760967 78656221    -        0.97   17.3   2.2  -
SUPER_7              -          TR                   -               24     122  5264123  5264022  5264137  5264002 78656221    -        0.98   17.3   2.0  -
SUPER_5              -          TR                   -               23     122 55164156 55164057 55164169 55164036 79373951    -         1.1   17.2   2.8  -
SUPER_20             -          TR                   -                1     101 16782315 16782222 16782315 16782209 42231871    -         1.3   16.9   1.4  -
SUPER_14             -          TR                   -               23     123 21293796 21293702 21293808 21293682 54618454    -         1.5   16.8   2.5  -
SUPER_7              -          TR                   -               22     123 53058480 53058379 53058491 53058358 78656221    -         1.5   16.8   3.2  -
SUPER_9              -          TR                   -               23     124 25198513 25198611 25198499 25198630 72948113    +         1.5   16.7   5.4  -
SUPER_14             -          TR                   -               23     123 20459640 20459734 20459628 20459754 54618454    +         1.5   16.7   2.5  -
SUPER_15             -          TR                   -               23     123 40172316 40172410 40172304 40172430 53276161    +         1.5   16.7   2.5  -
SUPER_23             -          TR                   -               23     123 22181211 22181305 22181199 22181325 39868957    +         1.5   16.7   2.5  -
SUPER_2              -          TR                   -                1     108 24788344 24788244 24788344 24788232 86136469    -         1.5   16.7   1.8  -
SUPER_7              -          TR                   -               24     123  4648980  4648881  4648994  4648861 78656221    -         1.5   16.7   2.9  -
SUPER_2              -          TR                   -               23     122 16892581 16892680 16892568 16892701 86136469    +         1.6   16.7   2.9  -
SUPER_25             -          TR                   -                1     102 15940746 15940840 15940746 15940852 37473313    +         1.6   16.6   1.6  -
SUPER_12             -          TR                   -               24     123 31973340 31973247 31973354 31973227 56099407    -         1.7   16.5   1.6  -
SUPER_19             -          TR                   -               23     123  4058951  4058856  4058963  4058836 44098982    -         1.8   16.5   2.7  -
SUPER_15             -          TR                   -                2     100 21457112 21457203 21457111 21457216 53276161    +           2   16.3   0.6  -
SUPER_9              -          TR                   -               24     123 29860778 29860679 29860792 29860658 72948113    -         2.2   16.1   4.1  -
SUPER_5              -          TR                   -               23     123 46078160 46078066 46078171 46078046 79373951    -         2.3   16.1   3.4  -
SUPER_9              -          TR                   -               23     123 31396964 31396870 31396975 31396850 72948113    -         2.4   16.1   2.3  -
