# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     314  21906719  21906383  21906720  21906380 103978708    -       6e-15   63.4   9.3  -
SUPER_1              -          TR                   -                2     313  21924497  21924155  21924498  21924152 103978708    -     3.3e-11   51.1  10.3  -
SUPER_1              -          TR                   -               24     313  21931822  21931505  21931835  21931501 103978708    -     8.7e-10   46.4  10.7  -
SUPER_2              -          TR                   -                3     133  75846783  75846910  75846781  75846930  98171090    +        0.01   23.2   5.6  -
SUPER_3              -          TR                   -               58     131  64164206  64164132  64164225  64164109  82125979    -        0.16   19.3   1.1  -
SUPER_14             -          TR                   -                1      84  46607017  46606924  46607017  46606907  55919310    -        0.56   17.5   1.5  -
SUPER_1              -          TR                   -                2      99  57524396  57524270  57524397  57524252 103978708    -        0.78   17.1   5.8  -
SUPER_14             -          TR                   -                1      67  38173609  38173674  38173609  38173694  55919310    +         0.9   16.9   2.5  -
SUPER_8              -          TR                   -                1      63  65925679  65925619  65925679  65925598  73179655    -           1   16.7   2.6  -
SUPER_10             -          TR                   -                1      83   8074864   8074775   8074864   8074755  68040799    -         1.1   16.6   1.7  -
SUPER_2              -          TR                   -               94     156  85322287  85322352  85322275  85322362  98171090    +         1.2   16.4   0.0  -
SUPER_1              -          TR                   -                1      64  23776170  23776109  23776170  23776089 103978708    -         1.5   16.2   1.8  -
SUPER_13             -          TR                   -                1      63  18714639  18714579  18714639  18714558  61530503    -         1.7   16.0   2.5  -
SUPER_10             -          TR                   -                1      63  31495172  31495112  31495172  31495092  68040799    -         1.8   15.9   2.9  -
SUPER_1              -          TR                   -                1      63  21163143  21163203  21163143  21163223 103978708    +           2   15.7   1.6  -
SUPER_2              -          TR                   -                2      84  15653421  15653305  15653422  15653285  98171090    -         2.1   15.6   5.6  -
SUPER_9              -          TR                   -                1      64  61765418  61765479  61765418  61765500  71182937    +         2.2   15.6   1.7  -
SUPER_12             -          TR                   -                1      63  19277584  19277644  19277584  19277664  63053922    +         2.2   15.6   2.2  -
SUPER_3              -          TR                   -                1      63  76170989  76171049  76170989  76171070  82125979    +         2.4   15.5   2.1  -
SUPER_4              -          TR                   -                1      63  46994388  46994328  46994388  46994307  81782804    -         2.5   15.4   1.0  -
SUPER_14             -          TR                   -                1      63  15813513  15813573  15813513  15813594  55919310    +         2.6   15.4   1.7  -
SUPER_10             -          TR                   -                1      64   9087724   9087663   9087724   9087642  68040799    -         2.7   15.3   1.4  -
SUPER_5              -          TR                   -                1      68   6502987   6503055   6502987   6503065  79508639    +         2.8   15.3   0.8  -
SUPER_14             -          TR                   -                1      62  11636986  11637045  11636986  11637066  55919310    +         2.8   15.3   1.1  -
SUPER_4              -          TR                   -                1      63  57633714  57633774  57633714  57633794  81782804    +         2.8   15.2   2.6  -
SUPER_3              -          TR                   -                1      79  54368226  54368150  54368226  54368130  82125979    -         2.9   15.2   6.3  -
SUPER_12             -          TR                   -                1      63   5933988   5934048   5933988   5934069  63053922    +           3   15.2   1.5  -
SUPER_9              -          TR                   -                1      63  13256326  13256266  13256326  13256245  71182937    -           3   15.2   0.8  -
SUPER_10             -          TR                   -                1      64  25013568  25013629  25013568  25013649  68040799    +           3   15.1   1.0  -
SUPER_2              -          TR                   -                1      63   5588534   5588594   5588534   5588615  98171090    +         3.1   15.1   0.8  -
SUPER_12             -          TR                   -                1      62  45241727  45241668  45241727  45241648  63053922    -         3.1   15.1   2.0  -
SUPER_8              -          TR                   -                1      63   2291662   2291722   2291662   2291734  73179655    +         3.2   15.1   2.0  -
SUPER_4              -          TR                   -                1      63  46994672  46994612  46994672  46994591  81782804    -         3.2   15.1   1.2  -
SUPER_1              -          TR                   -                1      63  93425800  93425860  93425800  93425881 103978708    +         3.2   15.0   1.6  -
SUPER_10             -          TR                   -                1      63   9087441   9087381   9087441   9087360  68040799    -         3.2   15.0   1.6  -
SUPER_2              -          TR                   -                1      63  40973160  40973220  40973160  40973241  98171090    +         3.2   15.0   1.6  -
SUPER_2              -          TR                   -                1      63  40973443  40973503  40973443  40973524  98171090    +         3.2   15.0   1.6  -
SUPER_7              -          TR                   -                1      63  10204956  10204896  10204956  10204875  74789679    -         3.2   15.0   1.6  -
SUPER_1              -          TR                   -                6     107  42525506  42525612  42525502  42525632 103978708    +         3.3   15.0   5.3  -
SUPER_10             -          TR                   -                1      68  21414934  21414850  21414934  21414830  68040799    -         3.3   15.0   1.2  -
SUPER_1              -          TR                   -                1      63  59075115  59075175  59075115  59075189 103978708    +         3.4   15.0   3.9  -
