# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_16             -          TR                   -                1     145 11441772 11441915 11441772 11441928 43138621    +     7.7e-07   36.7   3.1  -
SUPER_16             -          TR                   -              198     313 11441968 11442087 11441966 11442090 43138621    +     1.3e-06   36.0   1.9  -
SUPER_19             -          TR                   -              198     313 10069324 10069443 10069322 10069446 39368463    +       4e-06   34.3   1.8  -
SUPER_15             -          TR                   -                1     144 13144719 13144861 13144719 13144875 43803867    +     6.9e-06   33.5   3.0  -
SUPER_19             -          TR                   -                1     145 10069128 10069271 10069128 10069285 39368463    +     1.1e-05   32.8   2.3  -
SUPER_15             -          TR                   -              198     316 13144915 13145039 13144913 13145041 43803867    +     5.4e-05   30.6   3.2  -
SUPER_10             -          TR                   -               27     192    97157    97331    97142    97335 46135232    +       0.014   22.7   2.2  -
SUPER_21             -          TR                   -               78     196 27887463 27887334 27887484 27887333 36203932    -        0.03   21.6   3.6  -
SUPER_4              -          TR                   -                2     155 15196855 15197021 15196854 15197037 50196956    +       0.082   20.2   0.4  -
SUPER_1              -          TR                   -               25     163 24674732 24674906 24674712 24674911 54376782    +        0.13   19.5   5.5  -
SUPER_20             -          TR                   -               64     141 25159054 25159131 25159024 25159151 36440794    +        0.21   18.8   1.6  -
SUPER_6              -          TR                   -               24     127 41529788 41529904 41529773 41529924 48496988    +        0.28   18.4   3.8  -
SUPER_11             -          TR                   -               80     166 15721544 15721430 15721580 15721429 46091054    -         0.4   17.9   0.6  -
SUPER_4              -          TR                   -               66     166 31842921 31842794 31842944 31842792 50196956    -        0.46   17.7   1.1  -
SUPER_3              -          TR                   -               31     142  7600011  7599902  7600029  7599868 51001446    -        0.51   17.6   3.2  -
SUPER_14             -          TR                   -               26     162  6163512  6163671  6163498  6163676 44650447    +        0.63   17.3   5.2  -
SUPER_8              -          TR                   -               13     152 25811126 25810967 25811132 25810948 48168718    -        0.63   17.3   0.6  -
SUPER_9              -          TR                   -               76     142 41924490 41924401 41924511 41924376 46193940    -         0.7   17.1   0.6  -
SUPER_11             -          TR                   -              102     168 10962429 10962348 10962490 10962347 46091054    -         0.8   16.9   0.0  -
SUPER_9              -          TR                   -              149     186 42956305 42956271 42956325 42956266 46193940    -         1.1   16.5   2.7  -
SUPER_4              -          TR                   -               38     139 39685794 39685691 39685805 39685669 50196956    -         1.2   16.4   2.5  -
SUPER_1              -          TR                   -               36     166 41884431 41884259 41884450 41884258 54376782    -         1.2   16.3   3.2  -
SUPER_13             -          TR                   -               36     162 15268922 15268755 15268940 15268750 44718338    -         1.3   16.3   2.4  -
SUPER_19             -          TR                   -               73     195 25259552 25259412 25259575 25259410 39368463    -         1.4   16.1   2.8  -
SUPER_1              -          TR                   -               28     166 48968112 48967944 48968128 48967943 54376782    -         1.5   16.1   4.1  -
SUPER_3              -          TR                   -               38     164 46475634 46475466 46475651 46475463 51001446    -         1.6   16.0   3.1  -
SUPER_8              -          TR                   -               73     157 46386072 46385987 46386094 46385969 48168718    -         1.8   15.8   2.4  -
SUPER_14             -          TR                   -               29     163 17556832 17556675 17556843 17556671 44650447    -         1.8   15.8   3.5  -
SUPER_13             -          TR                   -               36     157 36384005 36384167 36383984 36384177 44718338    +         1.9   15.7   4.1  -
SUPER_8              -          TR                   -               24     165 47616284 47616118 47616302 47616117 48168718    -         1.9   15.7   4.0  -
SUPER_12             -          TR                   -               32     141 18895028 18895146 18895006 18895195 45089002    +           2   15.6   5.1  -
SUPER_8              -          TR                   -               38     161 25296695 25296848 25296676 25296854 48168718    +           2   15.6   5.6  -
SUPER_12             -          TR                   -               38     166 16773994 16773860 16774013 16773859 45089002    -         2.1   15.6   2.4  -
SUPER_13             -          TR                   -               36     163 19876532 19876375 19876550 19876371 44718338    -         2.1   15.6   4.1  -
SUPER_8              -          TR                   -               73     141 25006208 25006148 25006233 25006128 48168718    -         2.1   15.6   1.3  -
SUPER_10             -          TR                   -               31     140 38065513 38065637 38065496 38065658 46135232    +         2.1   15.6   2.8  -
SUPER_12             -          TR                   -               73     166  1962923  1962786  1962948  1962785 45089002    -         2.2   15.5   0.5  -
SUPER_3              -          TR                   -               38     163 31261268 31261434 31261250 31261440 51001446    +         2.2   15.5   4.2  -
SUPER_6              -          TR                   -               33     165  2929043  2928869  2929061  2928868 48496988    -         2.3   15.4   3.5  -
SUPER_7              -          TR                   -               68     166  9722642  9722748  9722611  9722750 48275513    +         2.3   15.4   2.8  -
SUPER_9              -          TR                   -               67     163 13846783 13846661 13846838 13846657 46193940    -         2.3   15.4   3.9  -
SUPER_4              -          TR                   -               28     135 15198291 15198392 15198273 15198417 50196956    +         2.3   15.4   2.2  -
SUPER_2              -          TR                   -               73     155 48006040 48006123 48006019 48006144 51781902    +         2.4   15.3   1.6  -
SUPER_9              -          TR                   -               41     163 15150964 15150821 15150986 15150817 46193940    -         2.5   15.3   6.3  -
SUPER_8              -          TR                   -               35     163 44609669 44609838 44609652 44609842 48168718    +         2.6   15.3   2.1  -
SUPER_13             -          TR                   -               55     164  7838072  7838234  7838037  7838237 44718338    +         2.6   15.3   3.5  -
SUPER_14             -          TR                   -               37     166 19098043 19098214 19098025 19098214 44650447    +         2.6   15.2   3.4  -
SUPER_16             -          TR                   -               76     154 12649450 12649363 12649471 12649356 43138621    -         2.8   15.2   0.3  -
SUPER_11             -          TR                   -               24     135 18270326 18270204 18270336 18270181 46091054    -         2.8   15.2   4.3  -
SUPER_11             -          TR                   -               24     135 18315704 18315582 18315714 18315559 46091054    -         2.8   15.2   4.3  -
SUPER_18             -          TR                   -               72     139 14243580 14243639 14243535 14243661 41252398    +         2.9   15.1   1.3  -
SUPER_20             -          TR                   -                4     146 24731051 24730913 24731051 24730900 36440794    -         2.9   15.1   1.8  -
SUPER_2              -          TR                   -               67     137 33423690 33423596 33423726 33423572 51781902    -           3   15.0   3.2  -
SUPER_4              -          TR                   -               24     162 32350079 32349916 32350102 32349911 50196956    -           3   15.0   3.6  -
SUPER_11             -          TR                   -               74     163 10539334 10539435 10539285 10539439 46091054    +         3.1   15.0   1.0  -
SUPER_11             -          TR                   -               36     143 19856556 19856704 19856539 19856728 46091054    +         3.1   15.0   1.8  -
SUPER_7              -          TR                   -               73     141 16137433 16137493 16137409 16137523 48275513    +         3.1   15.0   2.0  -
SUPER_4              -          TR                   -               37     166 13418493 13418324 13418515 13418324 50196956    -         3.2   14.9   5.1  -
SUPER_13             -          TR                   -               33     142 10152213 10152077 10152230 10152043 44718338    -         3.2   14.9   2.1  -
SUPER_13             -          TR                   -               33     142 10223052 10222916 10223069 10222882 44718338    -         3.2   14.9   2.1  -
SUPER_20             -          TR                   -               25     140  5275033  5275144  5275008  5275195 36440794    +         3.3   14.9   4.8  -
SUPER_1              -          TR                   -               37     166 13772566 13772415 13772584 13772414 54376782    -         3.3   14.9   1.9  -
SUPER_20             -          TR                   -               73     141  8669959  8669899  8669982  8669855 36440794    -         3.4   14.9   2.2  -
SUPER_5              -          TR                   -               73     141 44523434 44523494 44523413 44523531 48762594    +         3.4   14.9   2.6  -
SUPER_9              -          TR                   -               25     140 35234337 35234226 35234363 35234175 46193940    -         3.4   14.9   4.6  -
SUPER_5              -          TR                   -               75     133 11479888 11479837 11479913 11479811 48762594    -         3.4   14.9   1.3  -
SUPER_2              -          TR                   -               35     142 48571242 48571376 48571224 48571410 51781902    +         3.6   14.8   2.3  -
SUPER_10             -          TR                   -               36     161 39953110 39952955 39953127 39952948 46135232    -         3.7   14.8   4.3  -
SUPER_4              -          TR                   -               27     162 10444903 10445075 10444886 10445080 50196956    +         3.8   14.7   6.2  -
SUPER_4              -          TR                   -               27     162 11901017 11900845 11901034 11900840 50196956    -         3.8   14.7   6.2  -
SUPER_3              -          TR                   -               70     164 32837615 32837524 32837634 32837521 51001446    -         3.8   14.7   0.5  -
SUPER_20             -          TR                   -               36     163 29773386 29773554 29773368 29773558 36440794    +         3.8   14.7   2.4  -
SUPER_7              -          TR                   -               24     163  3836448  3836271  3836467  3836267 48275513    -           4   14.6   5.1  -
SUPER_10             -          TR                   -               30     163 39374172 39374323 39374152 39374327 46135232    +           4   14.6   6.3  -
SUPER_10             -          TR                   -               71     166 17982719 17982597 17982742 17982596 46135232    -         4.1   14.6   0.8  -
SUPER_4              -          TR                   -               75     157 18553492 18553574 18553470 18553578 50196956    +         4.3   14.5   2.8  -
SUPER_3              -          TR                   -               38     162   868038   867878   868057   867873 51001446    -         4.3   14.5   1.9  -
SUPER_8              -          TR                   -               67     140 43266466 43266536 43266425 43266567 48168718    +         4.3   14.5   2.0  -
SUPER_15             -          TR                   -               34     166 32461838 32461668 32461856 32461668 43803867    -         4.3   14.5   5.6  -
SUPER_16             -          TR                   -               52     162 29416978 29417141 29416946 29417146 43138621    +         4.4   14.5   4.1  -
SUPER_16             -          TR                   -               37     162 36879715 36879554 36879733 36879549 43138621    -         4.5   14.5   2.7  -
SUPER_19             -          TR                   -               36     140  7263601  7263701  7263585  7263722 39368463    +         4.6   14.4   0.7  -
SUPER_5              -          TR                   -               29     160 28726640 28726785 28726628 28726792 48762594    +         4.7   14.4   2.6  -
SUPER_10             -          TR                   -               36     162 42794513 42794680 42794494 42794685 46135232    +         4.7   14.4   3.3  -
SUPER_21             -          TR                   -               80     164 13215630 13215544 13215655 13215541 36203932    -         4.8   14.4   3.8  -
SUPER_14             -          TR                   -               75     142  8367819  8367731  8367839  8367693 44650447    -         4.8   14.4   0.3  -
SUPER_14             -          TR                   -               37     162 43576443 43576277 43576462 43576272 44650447    -         4.9   14.4   3.1  -
SUPER_12             -          TR                   -               41     162 17652628 17652801 17652606 17652806 45089002    +           5   14.3   3.5  -
SUPER_1              -          TR                   -               49     141 14214991 14214899 14215040 14214879 54376782    -         5.2   14.2   1.7  -
SUPER_3              -          TR                   -               75     130  5981383  5981323  5981410  5981303 51001446    -         5.3   14.2   2.3  -
SUPER_5              -          TR                   -               73     141  7094676  7094736  7094655  7094781 48762594    +         5.4   14.2   1.8  -
SUPER_8              -          TR                   -               24     156  8921627  8921456  8921642  8921445 48168718    -         5.4   14.2   4.1  -
SUPER_12             -          TR                   -               36     139 13042866 13042751 13042887 13042713 45089002    -         5.4   14.2   5.9  -
SUPER_5              -          TR                   -               77     141  9372167  9372223  9372143  9372266 48762594    +         5.4   14.2   2.0  -
SUPER_4              -          TR                   -               73     140  8340014  8340073  8339989  8340094 50196956    +         5.4   14.2   1.2  -
SUPER_1              -          TR                   -               73     139 22891923 22891981 22891901 22892003 54376782    +         5.5   14.2   1.0  -
SUPER_14             -          TR                   -               93     164 30452249 30452158 30452288 30452155 44650447    -         5.5   14.2   1.8  -
SUPER_4              -          TR                   -               25     163 37242401 37242578 37242385 37242582 50196956    +         5.5   14.2   3.6  -
SUPER_17             -          TR                   -               74     163 39642428 39642339 39642467 39642335 42622266    -         5.5   14.2   1.1  -
