# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_11             -          TR                   -                1     313 37691739 37692089 37691739 37692093 41783748    +     1.8e-11   52.3   2.5  -
SUPER_21             -          TR                   -                1     314  3922359  3921999  3922359  3921998 35854153    -     1.9e-10   48.9   0.5  -
SUPER_24             -          TR                   -                1     313 31496397 31496750 31496397 31496751 35287489    +     5.5e-10   47.4   2.3  -
SUPER_17             -          TR                   -                1     314 35439710 35439353 35439710 35439352 39086067    -     2.5e-09   45.2   1.2  -
SUPER_10             -          TR                   -                1      78 40392148 40392230 40392148 40392252 41834518    +           1   16.9   0.8  -
SUPER_17             -          TR                   -                1     102  7593028  7592936  7593028  7592916 39086067    -         1.1   16.8   0.4  -
SUPER_7              -          TR                   -                1      79 22380816 22380898 22380816 22380918 44038364    +         1.2   16.7   1.4  -
SUPER_2              -          TR                   -                1      92  9228193  9228277  9228193  9228297 47516062    +         1.3   16.6   1.1  -
SUPER_4              -          TR                   -                1      84 44118121 44118038 44118121 44118018 47161169    -         1.7   16.2   0.2  -
SUPER_5              -          TR                   -                1      95   112760   112847   112760   112867 45470154    +         1.8   16.1   2.1  -
SUPER_17             -          TR                   -                1      84 24555337 24555254 24555337 24555234 39086067    -         1.9   16.0   0.2  -
SUPER_8              -          TR                   -               59     126 26093340 26093260 26093374 26093244 43530078    -           2   16.0   1.4  -
SUPER_9              -          TR                   -                1      84 19725794 19725875 19725794 19725890 42805803    +         2.2   15.8   2.5  -
SUPER_16             -          TR                   -                1      87 36172453 36172368 36172453 36172348 40068378    -         2.2   15.8   1.5  -
SUPER_3              -          TR                   -              170     207 39342712 39342751 39342709 39342763 47414433    +         2.4   15.7   3.2  -
SUPER_11             -          TR                   -                1      76 10417604 10417524 10417604 10417501 41783748    -         2.5   15.6   1.3  -
SUPER_9              -          TR                   -                1      79 39751286 39751208 39751286 39751187 42805803    -         2.5   15.6   0.5  -
SUPER_16             -          TR                   -                1      84  6277544  6277461  6277544  6277441 40068378    -         2.6   15.6   0.4  -
SUPER_21             -          TR                   -                1      84  7293558  7293641  7293558  7293661 35854153    +         2.7   15.5   0.5  -
SUPER_1              -          TR                   -                1      84 35724266 35724183 35724266 35724163 49433742    -         2.8   15.5   1.1  -
SUPER_3              -          TR                   -                1      84 37292181 37292098 37292181 37292078 47414433    -           3   15.4   0.6  -
SUPER_26             -          TR                   -                1      84  1251568  1251485  1251568  1251465 34735361    -           3   15.4   0.5  -
SUPER_13             -          TR                   -               72     141 37135184 37135112 37135205 37135091 40747432    -         3.2   15.3   2.5  -
SUPER_11             -          TR                   -                1      92  3694808  3694891  3694808  3694911 41783748    +         3.2   15.3   0.7  -
SUPER_13             -          TR                   -                1      96 22108503 22108412 22108503 22108395 40747432    -         3.4   15.2   0.4  -
SUPER_4              -          TR                   -               24     125   130594   130677   130586   130700 47161169    +         3.4   15.2   2.0  -
SUPER_25             -          TR                   -                1      84  1047186  1047269  1047186  1047289 35093777    +         3.5   15.2   0.6  -
SUPER_22             -          TR                   -                1      84 23644797 23644714 23644797 23644694 35692652    -         3.6   15.1   0.4  -
SUPER_1              -          TR                   -                1      91  2307362  2307280  2307362  2307259 49433742    -         3.7   15.1   1.7  -
SUPER_2              -          TR                   -                1      84 32847212 32847295 32847212 32847315 47516062    +         3.8   15.1   0.3  -
SUPER_4              -          TR                   -                1      84 12876864 12876781 12876864 12876761 47161169    -         3.9   15.0   0.9  -
