# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     312  78040073  78040384  78040073  78040400 106473473    +       4e-23   90.5   2.9  -
SUPER_11             -          TR                   -              148     313  25214629  25214802  25214608  25214806  84455685    +     1.2e-07   39.7   5.0  -
SUPER_7              -          TR                   -               21     120   5133002   5133098   5132985   5133118  89131704    +       0.074   20.7   3.1  -
SUPER_7              -          TR                   -               24     120   6065420   6065321   6065440   6065321  89131704    -        0.18   19.4   3.5  -
SUPER_14             -          TR                   -               29     120  47023538  47023630  47023521  47023650  64781882    +         0.3   18.7   4.3  -
SUPER_11             -          TR                   -               23     120  81987822  81987914  81987806  81987934  84455685    +        0.76   17.4   4.2  -
SUPER_9              -          TR                   -                1     117   8938144   8938022   8938144   8937999  86173779    -         1.1   16.9   1.2  -
SUPER_2              -          TR                   -               67     132   3719473   3719405   3719495   3719386 106473473    -         1.5   16.4   0.3  -
SUPER_11             -          TR                   -               46     120  55196077  55196011  55196089  55196011  84455685    -         2.1   15.9   2.7  -
SUPER_5              -          TR                   -               35     129  89952950  89952854  89952969  89952834  98164957    -         2.3   15.8   2.8  -
SUPER_7              -          TR                   -                2      84  57804350  57804263  57804351  57804243  89131704    -         2.5   15.7   1.1  -
SUPER_3              -          TR                   -              164     246   9711892   9711795   9711898   9711775 106090730    -         2.6   15.6   1.0  -
SUPER_1              -          TR                   -               91     190  85715958  85716064  85715920  85716071 116141747    +         2.8   15.5   6.0  -
SUPER_3              -          TR                   -                5     141  35141685  35141543  35141685  35141518 106090730    -         2.9   15.5   2.5  -
SUPER_13             -          TR                   -                1      99  79190157  79190267  79190157  79190284  79668399    +         3.1   15.4   3.0  -
SUPER_1              -          TR                   -              103     193 102145482 102145582 102145462 102145589 116141747    +         3.8   15.1   7.6  -
SUPER_14             -          TR                   -               21     120  47471230  47471337  47471224  47471357  64781882    +         3.9   15.0   5.0  -
SUPER_1              -          TR                   -               68     120  92347669  92347622  92347688  92347602 116141747    -           5   14.7   3.1  -
SUPER_4              -          TR                   -               54     122  21307836  21307758  21307857  21307736 101736302    -         5.2   14.7   3.0  -
SUPER_9              -          TR                   -               90     191  14795876  14795981  14795854  14795994  86173779    +           6   14.4   4.1  -
SUPER_4              -          TR                   -               68     166  35575152  35575059  35575172  35575058 101736302    -         6.2   14.4   1.3  -
SUPER_14             -          TR                   -              119     194  53205007  53205074  53205004  53205079  64781882    +         6.3   14.4   2.5  -
SUPER_7              -          TR                   -               49     120   4501287   4501354   4501245   4501374  89131704    +         6.5   14.3   4.5  -
SUPER_13             -          TR                   -                3     107  69058573  69058682  69058571  69058689  79668399    +         6.6   14.3   2.0  -
SUPER_8              -          TR                   -                1      83  54556279  54556191  54556279  54556175  88013799    -         7.3   14.2   1.7  -
SUPER_8              -          TR                   -                1      83  54628450  54628362  54628450  54628346  88013799    -         7.3   14.2   1.7  -
SUPER_9              -          TR                   -               67     141  29545009  29544934  29545036  29544916  86173779    -         7.7   14.1   1.6  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Berberis_vulgaris/assembly/curated/dmBerVulg1.1/dmBerVulg1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Berberis_vulgaris.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Berberis_vulgaris/assembly/curated/dmBerVulg1.1/dmBerVulg1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 09:48:27 2024
# [ok]
