# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     312 43315390 43315707 43315390 43315710 51914697    +     1.6e-36  132.9   4.1  -
SUPER_12             -          TR                   -                2      98 11683885 11683986 11683884 11684006 27662139    +        0.26   17.4   0.3  -
SUPER_11             -          TR                   -                2     137 26514141 26514291 26514140 26514298 29300358    +        0.39   16.8   1.6  -
SUPER_11             -          TR                   -               75     158 14481636 14481724 14481613 14481726 29300358    +         0.5   16.4   3.0  -
SUPER_2              -          TR                   -                2     134 32055613 32055800 32055612 32055811 49773282    +        0.76   15.8   0.0  -
SUPER_8              -          TR                   -              142     211 31214139 31214203 31214119 31214223 32653870    +        0.86   15.7   1.8  -
SUPER_8              -          TR                   -                1      67 32293770 32293706 32293770 32293682 32653870    -         1.3   15.1   1.8  -
SUPER_11             -          TR                   -                2      98 10612503 10612604 10612502 10612624 29300358    +         2.1   14.4   0.5  -
SUPER_2              -          TR                   -                1      64  6415600  6415661  6415600  6415677 49773282    +         2.4   14.2   1.9  -
SUPER_4              -          TR                   -               93     157  1923656  1923720  1923634  1923723 37672839    +         2.5   14.2   2.2  -
SUPER_3              -          TR                   -                1      53 31309591 31309541 31309591 31309521 40004151    -         2.5   14.1   2.0  -
HAP1_SCAFFOLD_494    -          TR                   -                2      84    10815    10904    10814    10926    40565    +         2.8   14.0   0.1  -
SUPER_5              -          TR                   -                1      66 10660894 10660957 10660894 10660969 35626754    +         3.2   13.8   1.2  -
SUPER_11             -          TR                   -                1      64 27134133 27134194 27134133 27134208 29300358    +         3.3   13.8   2.0  -
SUPER_3              -          TR                   -               65     130 35198057 35197993 35198083 35197973 40004151    -         3.4   13.7   1.0  -
SUPER_10             -          TR                   -                1      53 15256418 15256368 15256418 15256345 32213580    -         3.6   13.6   1.6  -
SUPER_7              -          TR                   -               57     154  5549210  5549320  5549184  5549342 32920631    +           4   13.5   3.4  -
SUPER_1              -          TR                   -                1      53 51473167 51473117 51473167 51473094 51914697    -         4.3   13.4   1.8  -
SUPER_12             -          TR                   -              141     199  8197312  8197247  8197331  8197234 27662139    -         5.8   12.9   5.3  -
SUPER_4              -          TR                   -                2      55 32666339 32666390 32666338 32666414 37672839    +         6.3   12.8   1.4  -
SUPER_5              -          TR                   -               31     131 21842085 21842213 21842070 21842235 35626754    +         7.8   12.5   2.4  -
SUPER_6              -          TR                   -                2      61 19589982 19590041 19589981 19590064 34908660    +           8   12.5   1.6  -
SUPER_10             -          TR                   -                1      54 15256104 15256053 15256104 15256036 32213580    -         8.9   12.3   1.9  -
SUPER_1              -          TR                   -               43     139 49217939 49218036 49217919 49218057 51914697    +         9.3   12.3   2.8  -
SUPER_4              -          TR                   -                1      50 27643247 27643294 27643247 27643313 37672839    +         9.4   12.3   2.7  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Erica_ciliaris/assembly/curated/ddEriCili1.1/ddEriCili1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Erica_ciliaris.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Erica_ciliaris/assembly/curated/ddEriCili1.1/ddEriCili1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:21:52 2025
# [ok]
