# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     317 34035859 34035534 34035859 34035533 34471192    -       1e-36  134.2   0.9  -
SUPER_9              -          TR                   -                1     289   596142   595846   596142   595826 32763864    -     3.6e-24   93.0   3.1  -
SUPER_10             -          TR                   -               69     316 23252017 23252266 23251996 23252270 32598947    +     2.6e-17   70.5   1.0  -
SUPER_4              -          TR                   -              146     302 19607959 19608125 19607939 19608140 36716491    +     8.1e-12   52.5   1.7  -
SUPER_5              -          TR                   -              134     307 19170079 19170218 19170064 19170238 36698371    +     8.7e-06   32.7   3.7  -
SUPER_2              -          TR                   -                1     129  3425789  3425662  3425789  3425642 41564658    -      0.0021   24.9   2.7  -
SUPER_5              -          TR                   -               24     164 19164125 19164244 19164113 19164259 36698371    +      0.0031   24.3   0.7  -
SUPER_2              -          TR                   -                1     130  9304238  9304110  9304238  9304091 41564658    -      0.0076   23.0   5.3  -
SUPER_4              -          TR                   -                1     130  7072408  7072280  7072408  7072261 36716491    -       0.011   22.6   4.8  -
SUPER_3              -          TR                   -                1     141 15131492 15131634 15131492 15131654 40647029    +       0.012   22.4   4.1  -
SUPER_12             -          TR                   -                1     130  4450357  4450485  4450357  4450505 30902655    +       0.023   21.5   3.2  -
SUPER_1              -          TR                   -                1     130 34647329 34647201 34647329 34647181 43119555    -       0.023   21.5   5.7  -
SUPER_7              -          TR                   -                1     130 20124414 20124286 20124414 20124267 34471192    -       0.023   21.5   4.3  -
SUPER_8              -          TR                   -                1     130 29870349 29870477 29870349 29870495 33237232    +       0.028   21.2   3.9  -
SUPER_6              -          TR                   -                1     130  1291809  1291937  1291809  1291957 36222535    +       0.029   21.1   4.4  -
SUPER_10             -          TR                   -                1     130 16305331 16305203 16305331 16305184 32598947    -       0.029   21.1   4.0  -
SUPER_4              -          TR                   -                1     130 29188707 29188579 29188707 29188559 36716491    -       0.029   21.1   4.7  -
SUPER_2              -          TR                   -                1     130 35727014 35727142 35727014 35727161 41564658    +        0.03   21.1   4.1  -
SUPER_7              -          TR                   -                1     130 17808379 17808507 17808379 17808527 34471192    +       0.032   21.0   4.3  -
SUPER_1              -          TR                   -                1     130 34647673 34647801 34647673 34647820 43119555    +       0.039   20.7   3.9  -
SUPER_12             -          TR                   -                1     130  7663812  7663940  7663812  7663959 30902655    +       0.039   20.7   3.9  -
SUPER_18             -          TR                   -                1     130 22750209 22750337 22750209 22750356 28811491    +       0.039   20.7   3.9  -
SUPER_3              -          TR                   -                1     130 31408579 31408451 31408579 31408432 40647029    -       0.039   20.7   3.9  -
SUPER_6              -          TR                   -                1     130 34944566 34944438 34944566 34944419 36222535    -       0.039   20.7   3.9  -
SUPER_7              -          TR                   -                1     130 13707560 13707688 13707560 13707707 34471192    +       0.039   20.7   3.9  -
SUPER_14             -          TR                   -                1     130  5507227  5507099  5507227  5507079 29871775    -        0.04   20.7   4.8  -
SUPER_9              -          TR                   -                1     130 17454817 17454689 17454817 17454670 32763864    -       0.042   20.6   3.3  -
SUPER_18             -          TR                   -                1     130   282515   282387   282515   282368 28811491    -       0.043   20.6   4.0  -
SUPER_15             -          TR                   -                1     129 28032307 28032434 28032307 28032454 29787639    +       0.044   20.5   4.6  -
SUPER_10             -          TR                   -                1     130  7248714  7248842  7248714  7248861 32598947    +       0.045   20.5   4.8  -
SUPER_10             -          TR                   -                1     130  8706822  8706950  8706822  8706969 32598947    +       0.049   20.4   5.5  -
SUPER_21             -          TR                   -                1     130 17586597 17586725 17586597 17586745 24798554    +        0.05   20.4   5.2  -
SUPER_5              -          TR                   -                1     130 28797794 28797666 28797794 28797646 36698371    -       0.055   20.2   3.1  -
SUPER_16             -          TR                   -                1     130 14144769 14144641 14144769 14144622 29461676    -       0.057   20.2   4.3  -
SUPER_16             -          TR                   -                1     130 11587407 11587534 11587407 11587553 29461676    +       0.058   20.2   4.0  -
SUPER_20             -          TR                   -                1     130 21384513 21384385 21384513 21384366 25484558    -       0.065   20.0   5.0  -
SUPER_5              -          TR                   -                1     130   379489   379361   379489   379342 36698371    -       0.072   19.8   4.9  -
SUPER_21             -          TR                   -                1     128 17586003 17585876 17586003 17585856 24798554    -       0.081   19.7   5.9  -
SUPER_9              -          TR                   -                1     130  4363857  4363985  4363857  4364004 32763864    +       0.092   19.5   4.4  -
SUPER_4              -          TR                   -                1     130 35697830 35697702 35697830 35697682 36716491    -       0.094   19.5   3.5  -
SUPER_13             -          TR                   -                1     130 24385554 24385427 24385554 24385408 30777803    -         0.1   19.3   4.8  -
SUPER_12             -          TR                   -                1     130  3806148  3806276  3806148  3806296 30902655    +        0.11   19.3   4.7  -
SUPER_13             -          TR                   -                1     130 22988110 22987982 22988110 22987962 30777803    -        0.11   19.3   3.4  -
SUPER_17             -          TR                   -                1     130  3651571  3651443  3651571  3651424 28938560    -        0.11   19.3   5.2  -
SUPER_1              -          TR                   -                1     130 27306856 27306728 27306856 27306708 43119555    -        0.11   19.2   5.5  -
SUPER_1              -          TR                   -                1     130 22441840 22441712 22441840 22441692 43119555    -        0.11   19.2   5.0  -
SUPER_7              -          TR                   -                1     130 25128279 25128407 25128279 25128427 34471192    +        0.11   19.2   4.6  -
SUPER_1              -          TR                   -                1     130  8909763  8909635  8909763  8909616 43119555    -        0.12   19.1   6.1  -
SUPER_7              -          TR                   -                1     130 18948671 18948543 18948671 18948524 34471192    -        0.13   19.0   4.3  -
SUPER_1              -          TR                   -                1     130 13944365 13944238 13944365 13944219 43119555    -        0.13   19.0   5.3  -
SUPER_1              -          TR                   -                1     130 26627616 26627744 26627616 26627762 43119555    +        0.14   18.9   5.8  -
SUPER_9              -          TR                   -                1     130  4363737  4363609  4363737  4363590 32763864    -        0.14   18.9   3.9  -
SUPER_6              -          TR                   -                1     130 21047236 21047364 21047236 21047384 36222535    +        0.14   18.8   4.6  -
SUPER_18             -          TR                   -                1     130 24963859 24963987 24963859 24964006 28811491    +        0.15   18.8   4.7  -
SUPER_18             -          TR                   -                1     130 24963661 24963533 24963661 24963514 28811491    -        0.15   18.8   4.7  -
SUPER_4              -          TR                   -                1     130 29167609 29167481 29167609 29167462 36716491    -        0.15   18.8   4.7  -
SUPER_11             -          TR                   -                1     130 28293875 28293747 28293875 28293728 31000098    -        0.15   18.8   4.4  -
SUPER_19             -          TR                   -                1     129 13348827 13348700 13348827 13348680 26427056    -        0.16   18.7   4.7  -
SUPER_1              -          TR                   -                1     130  8910321  8910449  8910321  8910468 43119555    +        0.16   18.7   4.7  -
SUPER_5              -          TR                   -                1     130 16844158 16844030 16844158 16844011 36698371    -        0.16   18.7   4.7  -
SUPER_7              -          TR                   -                1     130   202749   202877   202749   202897 34471192    +        0.16   18.7   5.0  -
SUPER_13             -          TR                   -                1     129 25194303 25194176 25194303 25194155 30777803    -        0.17   18.6   4.7  -
SUPER_11             -          TR                   -                1     130 12525158 12525286 12525158 12525305 31000098    +        0.17   18.6   3.7  -
SUPER_4              -          TR                   -                1     129 11905921 11906048 11905921 11906068 36716491    +        0.17   18.6   4.3  -
SUPER_4              -          TR                   -                1     129 29188955 29189082 29188955 29189102 36716491    +        0.19   18.5   3.9  -
SUPER_9              -          TR                   -                1     130  4153593  4153465  4153593  4153446 32763864    -        0.19   18.5   4.4  -
SUPER_12             -          TR                   -                1     130  4449953  4449825  4449953  4449806 30902655    -         0.2   18.4   4.0  -
SUPER_8              -          TR                   -                1     129 18027920 18028047 18027920 18028067 33237232    +        0.21   18.3   5.2  -
SUPER_2              -          TR                   -                1     125 31848603 31848726 31848603 31848747 41564658    +        0.21   18.3   4.1  -
SUPER_11             -          TR                   -                1     128 14160594 14160720 14160594 14160740 31000098    +        0.22   18.3   4.4  -
SUPER_9              -          TR                   -                1     129   733530   733657   733530   733677 32763864    +        0.22   18.2   4.7  -
SUPER_18             -          TR                   -                1     130 18410323 18410195 18410323 18410176 28811491    -        0.23   18.2   4.4  -
SUPER_12             -          TR                   -                1     130  7663448  7663320  7663448  7663300 30902655    -        0.23   18.2   4.9  -
SUPER_5              -          TR                   -                1     101 11618938 11618841 11618938 11618815 36698371    -        0.24   18.1   5.4  -
SUPER_1              -          TR                   -                1     130 13944897 13945025 13944897 13945044 43119555    +        0.24   18.1   5.2  -
SUPER_16             -          TR                   -                1     129 24827264 24827390 24827264 24827410 29461676    +        0.25   18.1   5.4  -
SUPER_4              -          TR                   -                1     137 23186344 23186486 23186344 23186506 36716491    +        0.27   17.9   6.4  -
SUPER_7              -          TR                   -                1     130 18949243 18949371 18949243 18949389 34471192    +         0.3   17.8   3.6  -
SUPER_2              -          TR                   -               68     125 13014310 13014248 13014346 13014228 41564658    -        0.34   17.6   1.3  -
SUPER_7              -          TR                   -                1     129 18091097 18090970 18091097 18090950 34471192    -        0.35   17.6   5.3  -
SUPER_12             -          TR                   -                1     130  2571295  2571423  2571295  2571442 30902655    +        0.36   17.6   3.8  -
SUPER_7              -          TR                   -                1     128 10211728 10211600 10211728 10211580 34471192    -        0.36   17.5   6.0  -
SUPER_5              -          TR                   -                1     121 31792780 31792661 31792780 31792639 36698371    -        0.37   17.5   5.6  -
SUPER_1              -          TR                   -                1     129    74185    74312    74185    74332 43119555    +        0.38   17.5   4.7  -
SUPER_12             -          TR                   -                1     126 23686375 23686250 23686375 23686231 30902655    -        0.38   17.4   5.8  -
SUPER_2              -          TR                   -                1     130  7957679  7957551  7957679  7957532 41564658    -        0.41   17.4   5.1  -
SUPER_9              -          TR                   -                1     130 18260473 18260601 18260473 18260619 32763864    +        0.42   17.3   5.0  -
SUPER_10             -          TR                   -                1     129 25459631 25459504 25459631 25459484 32598947    -        0.43   17.3   4.4  -
SUPER_6              -          TR                   -                1     128   407449   407323   407449   407303 36222535    -        0.46   17.2   4.8  -
SUPER_1              -          TR                   -                3     130 26626829 26626703 26626831 26626684 43119555    -        0.47   17.2   6.4  -
SUPER_6              -          TR                   -                1     129 22802258 22802385 22802258 22802404 36222535    +        0.49   17.1   5.6  -
SUPER_15             -          TR                   -                1     128 22374854 22374728 22374854 22374708 29787639    -        0.53   17.0   4.9  -
SUPER_9              -          TR                   -                1     127 17278534 17278659 17278534 17278679 32763864    +        0.55   16.9   4.8  -
SUPER_6              -          TR                   -                1     124   407763   407885   407763   407906 36222535    +        0.56   16.9   4.3  -
SUPER_3              -          TR                   -                1     129 16236833 16236706 16236833 16236688 40647029    -        0.57   16.9   3.9  -
SUPER_12             -          TR                   -               22     174 10731945 10731773 10731955 10731768 30902655    -        0.58   16.9   2.6  -
SUPER_5              -          TR                   -                1     126 28550841 28550717 28550841 28550697 36698371    -         0.6   16.8   2.4  -
SUPER_13             -          TR                   -                1      96 16551386 16551477 16551386 16551500 30777803    +         0.6   16.8   6.1  -
SUPER_4              -          TR                   -                1     129 20782780 20782907 20782780 20782926 36716491    +        0.61   16.8   4.3  -
SUPER_11             -          TR                   -                1     130 28294350 28294478 28294350 28294496 31000098    +        0.64   16.7   6.2  -
SUPER_21             -          TR                   -                1     129 11480021 11479894 11480021 11479875 24798554    -        0.65   16.7   5.2  -
SUPER_13             -          TR                   -                1      97  2425448  2425540  2425448  2425564 30777803    +        0.71   16.6   5.3  -
SUPER_20             -          TR                   -                1     126 17434300 17434176 17434300 17434156 25484558    -        0.72   16.6   4.7  -
SUPER_15             -          TR                   -                1     122 26264795 26264915 26264795 26264936 29787639    +        0.73   16.5   4.1  -
SUPER_15             -          TR                   -                1     128 24737398 24737524 24737398 24737544 29787639    +        0.74   16.5   5.1  -
SUPER_6              -          TR                   -                1     129 34944876 34945003 34944876 34945022 36222535    +        0.74   16.5   5.7  -
SUPER_15             -          TR                   -                2     130 23144763 23144890 23144762 23144909 29787639    +        0.75   16.5   4.4  -
SUPER_10             -          TR                   -                1     122 29237307 29237187 29237307 29237165 32598947    -        0.76   16.5   4.3  -
SUPER_21             -          TR                   -                1     122  2013938  2014058  2013938  2014080 24798554    +        0.76   16.5   4.3  -
SUPER_20             -          TR                   -              103     204 21161596 21161687 21161574 21161707 25484558    +         0.8   16.4   0.4  -
SUPER_5              -          TR                   -                1     123 20227511 20227390 20227511 20227369 36698371    -        0.83   16.4   6.0  -
SUPER_9              -          TR                   -                1     129  4154050  4154196  4154050  4154215 32763864    +        0.83   16.4   5.3  -
