# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     316 51198888 51199216 51198888 51199220 59034732    +     8.3e-35  127.2   1.0  -
SUPER_2              -          TR                   -               68     308 72398473 72398684 72398453 72398695 72780665    +     4.2e-11   49.4   2.9  -
SUPER_6              -          TR                   -               24     141  9976838  9976718  9976850  9976698 54899299    -        0.45   16.5   2.8  -
SUPER_4              -          TR                   -               15     127 28641272 28641162 28641277 28641142 58176182    -        0.55   16.2   3.0  -
SUPER_5              -          TR                   -              155     205 25618193 25618243 25618173 25618263 56393972    +         0.9   15.5   1.7  -
SUPER_2              -          TR                   -               60     142 48643609 48643523 48643626 48643505 72780665    -         1.9   14.5   0.0  -
SUPER_5              -          TR                   -              108     172 25585825 25585898 25585805 25585898 56393972    +         2.6   14.0   1.4  -
SUPER_5              -          TR                   -               69     131  4228442  4228355  4228463  4228335 56393972    -         2.6   14.0   4.7  -
SUPER_3              -          TR                   -               60     122 52443493 52443558 52443467 52443578 59034732    +         2.9   13.9   0.0  -
SUPER_1              -          TR                   -               69     141 14691792 14691919 14691770 14691938 72975089    +         3.3   13.7   3.8  -
SUPER_6              -          TR                   -               33     122  4764550  4764640  4764531  4764660 54899299    +         4.3   13.3   4.7  -
SUPER_7              -          TR                   -              185     298  2011900  2012032  2011880  2012034 41385338    +         4.3   13.3   1.7  -
SUPER_2              -          TR                   -              169     205 41190395 41190437 41190375 41190465 72780665    +         5.4   13.0   0.1  -
SUPER_2              -          TR                   -              102     128 66848474 66848434 66848556 66848414 72780665    -         5.5   12.9   1.0  -
SUPER_2              -          TR                   -              169     210 70065131 70065178 70065110 70065201 72780665    +         5.5   12.9   0.0  -
SUPER_1              -          TR                   -               73     124 56044983 56044942 56045003 56044921 72975089    -         5.9   12.8   1.9  -
SUPER_2              -          TR                   -               67     126 33463067 33463123 33463047 33463145 72780665    +         6.4   12.7   4.2  -
SUPER_3              -          TR                   -               69     119 30941711 30941757 30941673 30941777 59034732    +         6.8   12.6   0.0  -
SUPER_7              -          TR                   -               68     158 26949584 26949679 26949554 26949690 41385338    +         6.9   12.6   0.0  -
SUPER_4              -          TR                   -               24     122  2837130  2837006  2837141  2836981 58176182    -         7.2   12.6   2.5  -
SUPER_6              -          TR                   -               67     121  6473351  6473273  6473400  6473249 54899299    -         7.2   12.6   2.0  -
SUPER_2              -          TR                   -              103     148 55728280 55728338 55728268 55728352 72780665    +         7.8   12.5   0.2  -
SUPER_3              -          TR                   -               29     126 21494567 21494665 21494552 21494684 59034732    +         8.6   12.3   2.9  -
SUPER_5              -          TR                   -               29     134 16038492 16038371 16038513 16038351 56393972    -         8.7   12.3   3.0  -
SUPER_2              -          TR                   -              169     205 41211116 41211158 41211095 41211179 72780665    +         8.8   12.3   0.6  -
SUPER_6              -          TR                   -              225     289  2796573  2796635  2796552  2796642 54899299    +         8.9   12.3   3.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Rosa_rugosa/assembly/curated/drRosRugo1.1/drRosRugo1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Rosa_rugosa.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Rosa_rugosa/assembly/curated/drRosRugo1.1/drRosRugo1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:57:33 2024
# [ok]
