# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -               89     247  5828465  5828634  5828429  5828667 25674959    +     0.00037   26.4   0.9  -
SUPER_5              -          TR                   -               64     128 15433560 15433633 15433521 15433650 30606726    +       0.032   20.1   0.6  -
SUPER_9              -          TR                   -              107     181 11092051 11091966 11092072 11091954 24905588    -       0.035   20.0   6.7  -
SUPER_1              -          TR                   -               24     139 24429525 24429376 24429538 24429355 54234270    -        0.21   17.4   0.8  -
SUPER_6              -          TR                   -               52     131 12347927 12347844 12347947 12347823 29096482    -        0.25   17.1   0.9  -
SUPER_5              -          TR                   -               76     142 15808500 15808410 15808521 15808395 30606726    -        0.68   15.7   1.0  -
SUPER_2              -          TR                   -              110     163    10016    10074     9995    10076 47856142    +         1.4   14.7   0.8  -
SUPER_2              -          TR                   -              110     163    23329    23387    23308    23389 47856142    +         1.4   14.7   0.8  -
SUPER_3              -          TR                   -              110     163 47350042 47349984 47350063 47349982 47362259    -         1.4   14.7   0.8  -
SUPER_3              -          TR                   -               26     121 17576454 17576544 17576440 17576564 47362259    +         1.6   14.5   3.7  -
SUPER_1              -          TR                   -                1     165 34013980 34013823 34013980 34013816 54234270    -         1.6   14.5   7.5  -
SUPER_2              -          TR                   -              109     163     6694     6753     6675     6755 47856142    +         1.8   14.4   1.0  -
SUPER_2              -          TR                   -              109     163    13347    13406    13328    13408 47856142    +         1.8   14.4   1.0  -
SUPER_2              -          TR                   -              109     163    16679    16738    16660    16740 47856142    +         1.8   14.4   1.0  -
SUPER_2              -          TR                   -              109     163    20011    20070    19992    20072 47856142    +         1.8   14.4   1.0  -
SUPER_3              -          TR                   -              109     163 47353360 47353301 47353379 47353299 47362259    -         1.8   14.4   1.0  -
SUPER_3              -          TR                   -              109     163 47356692 47356633 47356711 47356631 47362259    -         1.8   14.4   1.0  -
SUPER_3              -          TR                   -              109     163 47360024 47359965 47360043 47359963 47362259    -         1.8   14.4   1.0  -
SUPER_2              -          TR                   -              108     163     3359     3420     3341     3423 47856142    +         1.9   14.3   1.0  -
SUPER_2              -          TR                   -              161     201 42102912 42102880 42102914 42102860 47856142    -           2   14.2   0.6  -
SUPER_2              -          TR                   -              109     163       22       82        2       85 47856142    +         2.2   14.1   1.3  -
SUPER_8              -          TR                   -               24     124  7905086  7905225  7905075  7905245 25674959    +         2.3   14.0   1.0  -
SUPER_8              -          TR                   -                5     193 15410560 15410387 15410562 15410383 25674959    -         3.7   13.3   4.0  -
SUPER_11             -          TR                   -               68     129 17448667 17448737 17448642 17448756 17500334    +         3.9   13.2   0.0  -
SUPER_4              -          TR                   -               90     166 14399370 14399455 14399350 14399458 32540268    +         3.9   13.2   0.0  -
SUPER_4              -          TR                   -              136     180  5444856  5444813  5444874  5444807 32540268    -         5.5   12.7   1.6  -
SUPER_5              -          TR                   -              182     217 24418857 24418893 24418852 24418913 30606726    +         5.5   12.7   1.5  -
SUPER_2              -          TR                   -               24     130 44546357 44546492 44546345 44546513 47856142    +         5.7   12.7   1.0  -
SUPER_9              -          TR                   -              104     157 13564790 13564840 13564769 13564843 24905588    +         5.8   12.7   1.2  -
SUPER_1              -          TR                   -               91     157 24985109 24985176 24985098 24985196 54234270    +         5.9   12.7   0.6  -
SUPER_9              -          TR                   -              104     161 23242532 23242466 23242553 23242461 24905588    -         6.2   12.6   0.0  -
SUPER_8              -          TR                   -              105     161 17946588 17946518 17946610 17946515 25674959    -         6.3   12.5   2.2  -
SUPER_7              -          TR                   -               68     141 13647691 13647566 13647713 13647546 28767333    -         7.1   12.4   0.3  -
SUPER_6              -          TR                   -               73     130 14774205 14774149 14774224 14774123 29096482    -         7.2   12.4   0.7  -
SUPER_5              -          TR                   -               68     137 10891277 10891208 10891297 10891192 30606726    -         7.2   12.4   0.6  -
SUPER_1              -          TR                   -              108     165 28329046 28328988 28329069 28328976 54234270    -         7.7   12.3   1.0  -
SUPER_1              -          TR                   -               80     129 46954078 46954034 46954110 46954013 54234270    -         8.2   12.2   0.4  -
SUPER_3              -          TR                   -               67     142 33922232 33922140 33922252 33922120 47362259    -         9.1   12.0   4.5  -
SUPER_3              -          TR                   -               91     162 30409206 30409278 30409201 30409282 47362259    +         9.8   11.9   4.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Thuidium_tamariscinum/assembly/curated/cbThuTama2.2/cbThuTama2.2.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Thuidium_tamariscinum.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Thuidium_tamariscinum/assembly/curated/cbThuTama2.2/cbThuTama2.2.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:22 2025
# [ok]
