# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     314 30783918 30783605 30783918 30783602 56395634    -     8.5e-29  107.7   6.3  -
SUPER_2              -          TR                   -                1     205 41088267 41088471 41088267 41088491 68169433    +     4.3e-12   52.9  10.9  -
SUPER_8              -          TR                   -                1      96 55637212 55637300 55637212 55637319 55713820    +        0.21   17.8   1.5  -
SUPER_1              -          TR                   -                1      96 36736158 36736070 36736158 36736050 69955839    -        0.27   17.5   0.8  -
SUPER_3              -          TR                   -                1     130 48164165 48164022 48164165 48164002 60741410    -        0.29   17.3   1.0  -
SUPER_1              -          TR                   -                1     102 52078006 52078100 52078006 52078117 69955839    +        0.36   17.0   1.3  -
SUPER_5              -          TR                   -                1      92  6576138  6576054  6576138  6576034 56747999    -        0.48   16.6   1.3  -
SUPER_3              -          TR                   -                1     133   417712   417575   417712   417555 60741410    -        0.59   16.4   2.3  -
SUPER_7              -          TR                   -                1      95   110494   110407   110494   110386 55796532    -        0.67   16.2   2.2  -
SUPER_3              -          TR                   -                1      96 44440322 44440234 44440322 44440216 60741410    -         0.7   16.1   2.1  -
SUPER_4              -          TR                   -                1      84 58956246 58956165 58956246 58956145 58995023    -        0.83   15.9   2.2  -
SUPER_5              -          TR                   -                1      90 23163990 23163908 23163990 23163886 56747999    -        0.91   15.7   1.1  -
SUPER_1              -          TR                   -                1      96 14035276 14035188 14035276 14035168 69955839    -           1   15.6   0.0  -
SUPER_3              -          TR                   -                1      95 58279208 58279295 58279208 58279317 60741410    +           1   15.6   2.2  -
SUPER_1              -          TR                   -                1      97 14035759 14035670 14035759 14035650 69955839    -         1.1   15.5   0.0  -
SUPER_4              -          TR                   -               19     141 22834966 22834788 22834983 22834768 58995023    -         1.2   15.3   2.0  -
SUPER_3              -          TR                   -                1      97  6250707  6250801  6250707  6250814 60741410    +         1.2   15.3   2.3  -
SUPER_2              -          TR                   -                1     101  8848056  8848149  8848056  8848169 68169433    +         1.4   15.1   0.0  -
SUPER_2              -          TR                   -               30     132 18219275 18219177 18219295 18219157 68169433    -         1.5   15.0   0.4  -
SUPER_5              -          TR                   -                1      96 56620474 56620562 56620474 56620581 56747999    +         1.5   15.0   0.4  -
SUPER_8              -          TR                   -                1      60  8708343  8708400  8708343  8708420 55713820    +         1.8   14.8   2.5  -
SUPER_3              -          TR                   -                2      81  6466307  6466384  6466306  6466407 60741410    +         1.9   14.7   1.8  -
SUPER_3              -          TR                   -                1      95 45171315 45171228 45171315 45171208 60741410    -         2.3   14.4   2.0  -
SUPER_5              -          TR                   -                1      95 56677365 56677452 56677365 56677473 56747999    +         2.3   14.4   2.1  -
SUPER_4              -          TR                   -                1      90 52369292 52369209 52369292 52369184 58995023    -         2.5   14.3   2.4  -
SUPER_7              -          TR                   -                1      95 38487911 38487824 38487911 38487804 55796532    -         2.5   14.3   2.1  -
