# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     316 65087047 65086719 65087047 65086718 96966633    -     3.7e-38  139.1   2.6  -
SUPER_10             -          TR                   -              176     314 14577773 14577936 14577752 14577938 50644021    +     3.1e-11   50.8   1.6  -
SUPER_10             -          TR                   -              171     315 14490828 14490996 14490807 14490998 50644021    +     2.5e-10   47.8   1.8  -
SUPER_2              -          TR                   -               36     132 57432697 57432594 57432715 57432580 92064775    -       0.028   21.3   0.0  -
SUPER_9              -          TR                   -               24     127 41402168 41402080 41402180 41402057 52418925    -       0.033   21.1   0.4  -
SUPER_12             -          TR                   -               68     127  1945457  1945511  1945437  1945530 39618600    +         0.2   18.6   1.0  -
SUPER_12             -          TR                   -               68     156 31463297 31463164 31463317 31463161 39618600    -        0.32   17.9   7.4  -
SUPER_6              -          TR                   -               19     156  9051697  9051901  9051689  9051914 62609241    +        0.91   16.4   6.2  -
SUPER_2              -          TR                   -               69     163 43690325 43690421 43690304 43690430 92064775    +         1.2   16.0   7.3  -
SUPER_9              -          TR                   -               68     163  1999568  1999471  1999588  1999469 52418925    -         1.6   15.6   4.2  -
SUPER_1              -          TR                   -              153     192 20549214 20549172 20549234 20549151 96966633    -         1.6   15.6   3.1  -
SUPER_1              -          TR                   -              106     165 16885065 16885008 16885087 16885007 96966633    -         1.8   15.4   3.7  -
SUPER_7              -          TR                   -               67     131 34826157 34826077 34826197 34826052 57826242    -         1.9   15.4   0.5  -
SUPER_11             -          TR                   -                1      66  8516801  8516736  8516801  8516702 44740276    -           2   15.3   2.4  -
SUPER_2              -          TR                   -              218     317 84133402 84133307 84133423 84133307 92064775    -         2.1   15.2   1.6  -
SUPER_3              -          TR                   -                1      59 28557282 28557340 28557282 28557361 89257974    +         2.6   14.9   2.0  -
SUPER_9              -          TR                   -                1      62 26259333 26259272 26259333 26259252 52418925    -         2.7   14.9   1.2  -
SUPER_4              -          TR                   -               61     162 26261161 26261059 26261182 26261056 67544580    -         2.7   14.8   4.3  -
SUPER_5              -          TR                   -                1      62 39641333 39641272 39641333 39641252 67471959    -         2.8   14.8   1.3  -
SUPER_3              -          TR                   -                1      61 30487251 30487191 30487251 30487170 89257974    -           3   14.7   1.5  -
SUPER_1              -          TR                   -               71     162 52777244 52777337 52777223 52777339 96966633    +           3   14.7   7.0  -
SUPER_1              -          TR                   -                1      62 37885207 37885268 37885207 37885289 96966633    +           3   14.7   1.7  -
SUPER_3              -          TR                   -                1      61 30487528 30487468 30487528 30487447 89257974    -         3.2   14.6   1.5  -
SUPER_6              -          TR                   -               24     130 52673948 52673836 52673967 52673811 62609241    -         3.3   14.6   6.9  -
SUPER_3              -          TR                   -               68     162 48922405 48922500 48922385 48922511 89257974    +         3.3   14.5   4.1  -
SUPER_5              -          TR                   -                1      60 10421522 10421463 10421522 10421441 67471959    -         3.5   14.5   2.7  -
SUPER_3              -          TR                   -              107     165 53819248 53819309 53819228 53819322 89257974    +         3.6   14.4   4.0  -
SUPER_1              -          TR                   -               20     159 35060023 35059872 35060031 35059865 96966633    -         3.6   14.4   5.6  -
SUPER_11             -          TR                   -              159     192 38307925 38307891 38307926 38307878 44740276    -         3.8   14.4   3.9  -
SUPER_12             -          TR                   -               68     133  1717311  1717251  1717327  1717237 39618600    -         3.8   14.4   0.0  -
SUPER_6              -          TR                   -                1      62 17929039 17929100 17929039 17929120 62609241    +         4.1   14.3   2.3  -
SUPER_1              -          TR                   -                1      59 39453103 39453045 39453103 39453024 96966633    -         4.2   14.2   1.5  -
SUPER_1              -          TR                   -                1      56 37566446 37566391 37566446 37566371 96966633    -         4.2   14.2   3.4  -
SUPER_2              -          TR                   -               68     163 31989341 31989244 31989361 31989243 92064775    -         4.3   14.2   6.6  -
SUPER_1              -          TR                   -                1      62 38004556 38004495 38004556 38004472 96966633    -         4.5   14.1   1.8  -
SUPER_2              -          TR                   -                1      62 56138531 56138470 56138531 56138450 92064775    -         4.5   14.1   3.2  -
SUPER_3              -          TR                   -              107     165 53787951 53788012 53787931 53788018 89257974    +         4.7   14.1   3.8  -
SUPER_12             -          TR                   -              103     157 11815957 11815884 11816027 11815875 39618600    -         4.8   14.0   0.4  -
SUPER_6              -          TR                   -               23     158  9665897  9666085  9665880  9666105 62609241    +         4.9   14.0   5.8  -
SUPER_8              -          TR                   -                1      62 10895565 10895626 10895565 10895646 54588929    +         5.1   13.9   1.7  -
SUPER_2              -          TR                   -                1      59 82589180 82589122 82589180 82589100 92064775    -         5.1   13.9   1.6  -
SUPER_7              -          TR                   -                1      61  1118960  1119020  1118960  1119035 57826242    +         5.2   13.9   0.7  -
SUPER_9              -          TR                   -               19     135 10935330 10935449 10935322 10935469 52418925    +         5.4   13.9   3.4  -
SUPER_1              -          TR                   -                1      56 70664677 70664732 70664677 70664752 96966633    +         5.4   13.9   2.3  -
SUPER_9              -          TR                   -                1      62 19074741 19074680 19074741 19074660 52418925    -         5.4   13.8   3.0  -
SUPER_6              -          TR                   -               68     163 41479505 41479602 41479485 41479611 62609241    +         5.5   13.8   5.1  -
SUPER_9              -          TR                   -               68     163  1715534  1715437  1715554  1715434 52418925    -         5.5   13.8   3.7  -
SUPER_11             -          TR                   -               69     134 16435535 16435452 16435556 16435444 44740276    -         6.1   13.7   2.0  -
SUPER_11             -          TR                   -                1      56 15860087 15860032 15860087 15860010 44740276    -         6.2   13.7   3.8  -
SUPER_6              -          TR                   -               68     163 54481512 54481417 54481532 54481406 62609241    -         6.2   13.7   5.8  -
SUPER_9              -          TR                   -                1      57 17805981 17806037 17805981 17806058 52418925    +         6.7   13.6   2.3  -
SUPER_6              -          TR                   -               71     163 31243456 31243362 31243477 31243358 62609241    -         6.9   13.5   4.1  -
SUPER_12             -          TR                   -               28     130 19621666 19621764 19621646 19621784 39618600    +         7.1   13.5   2.7  -
SUPER_8              -          TR                   -                1      62 42585012 42584951 42585012 42584929 54588929    -         7.2   13.5   1.2  -
SUPER_6              -          TR                   -                1      63 30296208 30296270 30296208 30296291 62609241    +         7.2   13.4   2.0  -
SUPER_3              -          TR                   -                1      65 79255226 79255162 79255226 79255140 89257974    -         7.3   13.4   1.9  -
SUPER_5              -          TR                   -                1      62 41644984 41644923 41644984 41644901 67471959    -         7.5   13.4   2.4  -
SUPER_9              -          TR                   -               96     165 16347149 16347219 16347113 16347223 52418925    +         7.6   13.4   3.6  -
SUPER_11             -          TR                   -                1      62  1835988  1835927  1835988  1835904 44740276    -         8.6   13.2   0.9  -
SUPER_4              -          TR                   -                1      62 30375387 30375448 30375387 30375469 67544580    +         8.7   13.2   0.8  -
SUPER_9              -          TR                   -               59     163 25115518 25115624 25115504 25115633 52418925    +         8.8   13.2   4.2  -
SUPER_6              -          TR                   -              103     161 17367817 17367750 17367847 17367730 62609241    -         8.9   13.1   2.6  -
SUPER_2              -          TR                   -                1      62 10558525 10558464 10558525 10558444 92064775    -         9.1   13.1   0.8  -
SUPER_1              -          TR                   -               11     140 78233236 78233063 78233240 78233043 96966633    -         9.1   13.1   2.2  -
SUPER_2              -          TR                   -                1      63 15671391 15671453 15671391 15671474 92064775    +         9.2   13.1   1.0  -
