# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     316  32044969  32045289  32044969  32045291 122951862    +       1e-13   60.0   6.4  -
SUPER_11             -          TR                   -                1     316  25176102  25175781  25176102  25175780 104755190    -     8.5e-12   53.8   7.3  -
SUPER_5              -          TR                   -                1     316    574460    574140    574460    574139 132473839    -     6.8e-08   40.9   9.0  -
SUPER_12             -          TR                   -               51     129  96024788  96024690  96024801  96024670 102549248    -        0.13   20.4   3.9  -
SUPER_2              -          TR                   -               28     127 152039451 152039314 152039472 152039294 167548718    -        0.41   18.7   0.0  -
SUPER_9              -          TR                   -                2     191  56689505  56689673  56689504  56689697 113251537    +        0.68   18.0  12.4  -
SUPER_13             -          TR                   -                1     102  14552093  14552212  14552093  14552232 100792453    +        0.78   17.8   3.4  -
SUPER_8              -          TR                   -                1     121  58553531  58553386  58553531  58553366 113432642    -         1.3   17.0   9.9  -
SUPER_1              -          TR                   -                1     102 181539987 181540106 181539987 181540126 189972641    +         1.4   17.0   2.5  -
SUPER_10             -          TR                   -                1      92  38044396  38044504  38044396  38044523 111652857    +           2   16.5   4.3  -
SUPER_7              -          TR                   -              180     244 102056155 102056213 102056148 102056233 122951862    +         2.1   16.4   0.0  -
SUPER_13             -          TR                   -                1     102  65869270  65869151  65869270  65869131 100792453    -         2.5   16.1   3.6  -
SUPER_13             -          TR                   -              173     245  36479338  36479401  36479334  36479421 100792453    +         2.7   16.0   0.5  -
SUPER_10             -          TR                   -               27     130 103395706 103395548 103395726 103395523 111652857    -         2.7   16.0   0.3  -
SUPER_12             -          TR                   -                1     102  40187592  40187474  40187592  40187454 102549248    -         2.9   15.9   3.5  -
SUPER_8              -          TR                   -                1      92  69693992  69693883  69693992  69693863 113432642    -         3.1   15.8   5.4  -
SUPER_5              -          TR                   -                1      96  90591641  90591754  90591641  90591775 132473839    +         3.1   15.8   3.3  -
SUPER_1              -          TR                   -                1     103   4928361   4928472   4928361   4928488 189972641    +         3.4   15.7   4.4  -
SUPER_4              -          TR                   -                1     102 130422839 130422958 130422839 130422978 133235729    +         3.6   15.6   3.7  -
SUPER_12             -          TR                   -                1     102  36395671  36395790  36395671  36395810 102549248    +         3.6   15.6   3.9  -
SUPER_1              -          TR                   -                1     104 181222689 181222810 181222689 181222824 189972641    +         3.6   15.6   3.9  -
SUPER_8              -          TR                   -                1     102   3716493   3716374   3716493   3716354 113432642    -         3.7   15.5   4.0  -
SUPER_5              -          TR                   -                1      92  80514274  80514165  80514274  80514144 132473839    -           4   15.4   2.7  -
SUPER_4              -          TR                   -               24     128 100994502 100994602 100994486 100994622 133235729    +           4   15.4   1.0  -
SUPER_4              -          TR                   -                7     315  53212492  53212181  53212498  53212177 133235729    -         4.2   15.4   9.6  -
SUPER_11             -          TR                   -                1      93  29985063  29985173  29985063  29985193 104755190    +         4.8   15.2   3.8  -
SUPER_8              -          TR                   -                1     102  94915771  94915652  94915771  94915632 113432642    -           5   15.1   2.8  -
SUPER_2              -          TR                   -                1      93 145281602 145281492 145281602 145281476 167548718    -         5.1   15.1   3.9  -
SUPER_10             -          TR                   -                1      93 105539809 105539919 105539809 105539938 111652857    +         5.9   14.9   2.6  -
SUPER_6              -          TR                   -                1     102 113604164 113604283 113604164 113604303 123111817    +         6.1   14.8   4.2  -
SUPER_2              -          TR                   -              174     245  12401542  12401479  12401562  12401458 167548718    -         6.1   14.8   0.1  -
SUPER_6              -          TR                   -                1     102 109967117 109967236 109967117 109967256 123111817    +         6.2   14.8   4.2  -
SUPER_2              -          TR                   -                1      93 121828631 121828522 121828631 121828505 167548718    -         6.4   14.8   3.6  -
SUPER_9              -          TR                   -                1      94  34333923  34334034  34333923  34334048 113251537    +         6.6   14.7   4.6  -
SUPER_12             -          TR                   -                1     102  40186729  40186610  40186729  40186590 102549248    -         6.7   14.7   4.4  -
HAP1_SCAFFOLD_227    -          TR                   -                1      93     11503     11399     11503     11391    102784    -         6.9   14.7   3.4  -
SUPER_5              -          TR                   -                1      93  18825044  18825148  18825044  18825156 132473839    +         6.9   14.7   3.4  -
SUPER_5              -          TR                   -                2     102  52216514  52216630  52216513  52216650 132473839    +         7.1   14.6   4.3  -
SUPER_1              -          TR                   -                1      94  29364359  29364261  29364359  29364240 189972641    -         7.5   14.6   1.8  -
SUPER_2              -          TR                   -                1      90    566108    566001    566108    565981 167548718    -         7.7   14.5   3.1  -
SUPER_12             -          TR                   -                1      92  42069418  42069527  42069418  42069547 102549248    +         8.1   14.4   5.1  -
SUPER_10             -          TR                   -                1      87  34131226  34131122  34131226  34131101 111652857    -         8.3   14.4   2.4  -
SUPER_9              -          TR                   -                1     102  18778726  18778845  18778726  18778863 113251537    +         8.3   14.4   3.6  -
SUPER_12             -          TR                   -                1      93  30177794  30177684  30177794  30177671 102549248    -         8.7   14.3   2.8  -
SUPER_5              -          TR                   -                1      92 130938136 130938027 130938136 130938007 132473839    -         8.8   14.3   3.2  -
