# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -               56     204  1245374  1245229  1245392  1245209 29480763    -     1.5e-06   34.3   0.1  -
SUPER_11             -          TR                   -               11     141 10492244 10492139 10492248 10492120 17155466    -       0.014   21.3   4.8  -
SUPER_11             -          TR                   -               64     141  4199077  4199178  4199065  4199190 17155466    +       0.017   21.0   0.0  -
SUPER_17             -          TR                   -               67     140  3685089  3685187  3685058  3685207 15260138    +       0.017   21.0   5.5  -
SUPER_4              -          TR                   -               49     140 21877648 21877752 21877627 21877773 22500085    +       0.046   19.6   3.9  -
SUPER_2              -          TR                   -               29     140  1141387  1141497  1141369  1141518 27700774    +       0.063   19.2   3.3  -
SUPER_3              -          TR                   -               38     129  9739048  9739195  9739027  9739216 22516997    +       0.071   19.0   1.7  -
SUPER_17             -          TR                   -               68     129 13532741 13532687 13532761 13532666 15260138    -       0.075   18.9   0.4  -
SUPER_5              -          TR                   -               67     148  9322469  9322376  9322486  9322357 21324516    -        0.16   17.8   1.1  -
SUPER_1              -          TR                   -               60     129 25008493 25008428 25008510 25008408 29480763    -        0.17   17.7   1.2  -
SUPER_3              -          TR                   -               68     181  2232169  2232039  2232189  2232023 22516997    -        0.18   17.7   5.7  -
SUPER_11             -          TR                   -               76     163 13183296 13183402 13183276 13183407 17155466    +        0.19   17.6   0.7  -
SUPER_7              -          TR                   -               68     142  9013415  9013504  9013395  9013524 20859359    +        0.22   17.4   0.9  -
SUPER_17             -          TR                   -                6     139 10879603 10879780 10879603 10879797 15260138    +        0.22   17.4   1.7  -
SUPER_5              -          TR                   -               35     127  9652063  9651974  9652084  9651952 21324516    -        0.23   17.3   3.6  -
SUPER_5              -          TR                   -               39     196 11918762 11918597 11918780 11918583 21324516    -        0.25   17.2   4.4  -
SUPER_10             -          TR                   -               77     141  9883569  9883491  9883606  9883471 17240202    -        0.28   17.0   2.8  -
SUPER_7              -          TR                   -               68     138 13656994 13656923 13657019 13656905 20859359    -        0.29   17.0   5.3  -
SUPER_20             -          TR                   -               16     141  3568663  3568517  3568669  3568497  4429418    -        0.32   16.8   1.8  -
SUPER_6              -          TR                   -               72     163 16306090 16306016 16306114 16306009 20919378    -        0.33   16.8   1.4  -
SUPER_5              -          TR                   -              111     171  6751521  6751577  6751501  6751577 21324516    +        0.39   16.6   0.5  -
SUPER_2              -          TR                   -               51     164  9310454  9310313  9310477  9310310 27700774    -        0.48   16.3   1.1  -
