# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     315 258582220 258581919 258582220 258581917 336370409    -     3.3e-35  130.8   1.7  -
SUPER_3              -          TR                   -                2     130 296079375 296079218 296079376 296079210 325032989    -       0.013   23.9   3.7  -
SUPER_3              -          TR                   -                1     118  25305879  25305757  25305879  25305737 325032989    -         0.2   20.0   3.6  -
SUPER_7              -          TR                   -                2     132 191737452 191737602 191737451 191737628 238105007    +        0.38   19.1   4.0  -
SUPER_7              -          TR                   -                2     107 233822327 233822233 233822328 233822217 238105007    -        0.71   18.1   3.2  -
SUPER_3              -          TR                   -                2     122  96981345  96981490  96981344  96981511 325032989    +           1   17.6   4.6  -
SUPER_4              -          TR                   -                2     120  80381302  80381438  80381301  80381456 276710281    +         1.1   17.5   2.1  -
SUPER_5              -          TR                   -                1      68 110238741 110238665 110238741 110238635 269739533    -         1.7   16.9   4.0  -
SUPER_5              -          TR                   -                2     111  60518315  60518413  60518314  60518418 269739533    +         1.9   16.8   2.2  -
SUPER_5              -          TR                   -                1      58  56988609  56988664  56988609  56988676 269739533    +           2   16.7   2.6  -
SUPER_7              -          TR                   -                2     116  46400775  46400658  46400776  46400638 238105007    -         2.2   16.5   4.7  -
SUPER_6              -          TR                   -               78     142 203184674 203184748 203184651 203184764 262929978    +           3   16.1   1.7  -
SUPER_7              -          TR                   -                2     112 203786365 203786464 203786364 203786469 238105007    +         3.7   15.8   1.7  -
SUPER_6              -          TR                   -                2     114 251780248 251780361 251780247 251780363 262929978    +         3.9   15.7   2.0  -
SUPER_5              -          TR                   -                2     121  33469415  33469523  33469414  33469543 269739533    +           4   15.7   2.3  -
SUPER_1              -          TR                   -                1      75 274290881 274290805 274290881 274290802 340858906    -         4.2   15.6   1.8  -
SUPER_7              -          TR                   -                2     162  12759933  12759779  12759934  12759759 238105007    -         4.3   15.6   7.3  -
SUPER_7              -          TR                   -                2     162  12804656  12804502  12804657  12804482 238105007    -         4.3   15.6   7.3  -
SUPER_7              -          TR                   -                2     162  12837815  12837969  12837814  12837989 238105007    +         4.6   15.5   7.3  -
SUPER_5              -          TR                   -                2     101  44412700  44412608  44412701  44412593 269739533    -         4.7   15.5   2.1  -
SUPER_3              -          TR                   -                2      98 266449407 266449496 266449406 266449513 325032989    +         4.8   15.4   2.9  -
SUPER_4              -          TR                   -                2     102  92537056  92536963  92537057  92536943 276710281    -         4.9   15.4   2.3  -
SUPER_2              -          TR                   -                2     107 304338977 304338883 304338978 304338864 336370409    -         5.3   15.3   3.2  -
SUPER_3              -          TR                   -                2     127 282635317 282635472 282635316 282635491 325032989    +         5.4   15.2   4.8  -
SUPER_2              -          TR                   -                2     111  85101276  85101374  85101275  85101379 336370409    +         5.8   15.2   1.8  -
SUPER_6              -          TR                   -                2     102  73206303  73206396  73206302  73206410 262929978    +         5.9   15.1   1.7  -
SUPER_4              -          TR                   -                2     103  93942206  93942096  93942207  93942050 276710281    -           6   15.1   5.9  -
SUPER_3              -          TR                   -                1     118  25211084  25210963  25211084  25210956 325032989    -         6.1   15.1   3.4  -
SUPER_4              -          TR                   -                2     102   5757214   5757120   5757215   5757100 276710281    -         6.3   15.0   2.8  -
SUPER_4              -          TR                   -                2      93 200312155 200312071 200312156 200312051 276710281    -         6.5   15.0   3.7  -
SUPER_3              -          TR                   -                2     108 171771021 171770926 171771022 171770914 325032989    -           7   14.9   1.7  -
SUPER_4              -          TR                   -                2     141 112783797 112783933 112783796 112783953 276710281    +           7   14.9   2.6  -
SUPER_5              -          TR                   -              165     209  77621141  77621104  77621144  77621084 269739533    -           7   14.9   2.0  -
SUPER_2              -          TR                   -                2     101 112252958 112253050 112252957 112253070 336370409    +         7.2   14.8   1.7  -
SUPER_2              -          TR                   -                2     102 169113191 169113284 169113190 169113304 336370409    +         7.6   14.8   2.1  -
SUPER_3              -          TR                   -                2     102  12274873  12274966  12274872  12274986 325032989    +         8.9   14.5   2.9  -
HAP1_SCAFFOLD_55     -          TR                   -                2     102     21378     21285     21379     21275    118774    -         9.2   14.5   2.8  -
HAP1_SCAFFOLD_55     -          TR                   -                2     102     29671     29578     29672     29568    118774    -         9.2   14.5   2.8  -
HAP1_SCAFFOLD_55     -          TR                   -                2     102     60822     60729     60823     60719    118774    -         9.2   14.5   2.8  -
HAP1_SCAFFOLD_55     -          TR                   -                2     102     91050     90957     91051     90947    118774    -         9.2   14.5   2.8  -
HAP1_SCAFFOLD_55     -          TR                   -                2     102    112675    112582    112676    112572    118774    -         9.2   14.5   2.8  -
SUPER_2              -          TR                   -                2     102 328065591 328065498 328065592 328065488 336370409    -         9.2   14.5   2.8  -
