# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_10             -          TR                   -                1     315 29941591 29941925 29941591 29941926 33902592    +     1.6e-25   97.1   1.1  -
SUPER_3              -          TR                   -                1     315 27880843 27881132 27880843 27881133 47606123    +     2.2e-19   77.0   1.6  -
SUPER_1              -          TR                   -                1     312 35009141 35009399 35009141 35009401 63050874    +     5.2e-15   62.6   1.5  -
SUPER_4              -          TR                   -                3     312 27541041 27540742 27541043 27540739 45368571    -     5.6e-15   62.5   0.4  -
SUPER_6              -          TR                   -               22     226 33542512 33542751 33542493 33542769 40273085    +     1.8e-09   44.4   2.6  -
SUPER_4              -          TR                   -                8     311 27547476 27547180 27547477 27547177 45368571    -     9.6e-09   42.0   8.0  -
SUPER_2              -          TR                   -                1     312 47819017 47819307 47819017 47819310 55297252    +       1e-06   35.4   2.5  -
SUPER_9              -          TR                   -               15     312 16098294 16098572 16098286 16098574 36871188    +     0.00017   28.1   6.0  -
SUPER_1              -          TR                   -                1     127 34642874 34642741 34642874 34642736 63050874    -     0.00076   26.0   3.1  -
SUPER_6              -          TR                   -                1     144 30679308 30679449 30679308 30679460 40273085    +        0.22   17.9   5.1  -
SUPER_6              -          TR                   -               32     122  6484587  6484691  6484569  6484714 40273085    +        0.24   17.7   1.9  -
SUPER_6              -          TR                   -                1      84 15467854 15467941 15467854 15467968 40273085    +        0.51   16.7   5.7  -
SUPER_8              -          TR                   -               68     142 10745172 10745252 10745143 10745272 38289604    +        0.61   16.4   2.7  -
SUPER_4              -          TR                   -                1     124 34290795 34290932 34290795 34290952 45368571    +        0.95   15.8   2.7  -
SUPER_2              -          TR                   -                1      75  8058198  8058118  8058198  8058097 55297252    -        0.98   15.8   2.7  -
SUPER_1              -          TR                   -                1      57 28110714 28110660 28110714 28110631 63050874    -         1.3   15.4   0.4  -
SUPER_3              -          TR                   -               81     142 40548574 40548632 40548553 40548649 47606123    +         1.4   15.3   3.8  -
SUPER_4              -          TR                   -                1      84 24516222 24516143 24516222 24516123 45368571    -         1.5   15.1   2.4  -
SUPER_10             -          TR                   -                1      84 21397725 21397799 21397725 21397817 33902592    +         1.9   14.8   5.2  -
SUPER_7              -          TR                   -               62     124 18841483 18841421 18841501 18841401 38373839    -         2.5   14.4   3.7  -
SUPER_2              -          TR                   -                1     118 13565990 13566148 13565990 13566149 55297252    +         2.5   14.4   1.9  -
