# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     317 33881326 33881677 33881326 33881677 37616038    +     9.2e-13   54.6   1.1  -
SUPER_2              -          TR                   -               23     154  7675499  7675366  7675518  7675347 38802094    -       0.017   20.9   1.8  -
SUPER_9              -          TR                   -               18     177 23037749 23037553 23037756 23037553 34010882    -       0.022   20.5   4.0  -
SUPER_5              -          TR                   -               17     138 30035178 30035326 30035161 30035358 38292802    +        0.03   20.1   3.8  -
SUPER_2              -          TR                   -               16     143 10305438 10305290 10305457 10305256 38802094    -       0.033   20.0   1.7  -
SUPER_8              -          TR                   -               25     141 16466322 16466170 16466333 16466146 37372707    -       0.034   19.9   1.9  -
SUPER_6              -          TR                   -               19     132  3131302  3131426  3131286  3131455 38206809    +       0.038   19.8   1.2  -
SUPER_8              -          TR                   -               17     141  9999438  9999310  9999456  9999285 37372707    -       0.067   19.0   1.3  -
SUPER_7              -          TR                   -               25     168 37532091 37532268 37532077 37532271 37616038    +       0.093   18.5   4.2  -
SUPER_8              -          TR                   -               15     141 14662788 14662920 14662768 14662940 37372707    +       0.093   18.5   2.5  -
SUPER_3              -          TR                   -               18     132 23321105 23320964 23321123 23320943 38800005    -        0.12   18.2   1.2  -
SUPER_6              -          TR                   -               24     168  7356083  7356263  7356066  7356267 38206809    +        0.15   17.9   3.3  -
SUPER_4              -          TR                   -               20     173  4854953  4854761  4854972  4854758 38595236    -        0.16   17.7   2.3  -
SUPER_3              -          TR                   -               17     131 27701201 27701083 27701207 27701066 38800005    -        0.19   17.5   5.0  -
SUPER_9              -          TR                   -               22     159  7720024  7720156  7720014  7720176 34010882    +        0.33   16.7   3.2  -
SUPER_5              -          TR                   -               24     141  5161209  5161055  5161229  5161035 38292802    -        0.34   16.6   0.9  -
SUPER_3              -          TR                   -               19     135 27851084 27850941 27851104 27850915 38800005    -        0.38   16.5   3.0  -
SUPER_8              -          TR                   -               37     149 37362309 37362432 37362291 37362451 37372707    +        0.41   16.4   1.7  -
SUPER_6              -          TR                   -               22     141  2899915  2900047  2899902  2900065 38206809    +        0.44   16.3   3.8  -
