# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     220  6559558  6559325  6559558  6559313 41759552    -     2.8e-12   53.5   2.0  -
SUPER_4              -          TR                   -               21     126  9312262  9312346  9312252  9312368 40763998    +        0.49   16.6   1.9  -
SUPER_10             -          TR                   -                2      84 21660389 21660303 21660390 21660279 31317704    -        0.63   16.3   1.6  -
SUPER_4              -          TR                   -               68     123 23132858 23132795 23132878 23132772 40763998    -        0.76   16.0   0.1  -
SUPER_5              -          TR                   -                2     121 32140804 32140693 32140805 32140673 40250806    -         1.4   15.1   4.6  -
SUPER_2              -          TR                   -                2      93 27236607 27236527 27236608 27236512 46770931    -         1.9   14.7   1.2  -
SUPER_3              -          TR                   -                1     102  2990617  2990497  2990617  2990486 41759552    -         2.5   14.3   0.8  -
SUPER_4              -          TR                   -               72     141  3748554  3748495  3748575  3748475 40763998    -         3.1   14.0   3.8  -
SUPER_11             -          TR                   -               68     142 24476034 24476111 24476005 24476135 28590408    +         3.4   13.9   0.2  -
SUPER_3              -          TR                   -               16     126 38474988 38475095 38474979 38475115 41759552    +         3.6   13.8   1.3  -
SUPER_1              -          TR                   -                1     121 39534808 39534692 39534808 39534672 48130578    -         3.8   13.7   4.2  -
SUPER_7              -          TR                   -                1     102 23672935 23673034 23672935 23673054 38157836    +         4.1   13.6   1.5  -
SUPER_1              -          TR                   -              106     157 38706683 38706735 38706663 38706755 48130578    +         4.2   13.6   0.0  -
SUPER_12             -          TR                   -               98     197 15760649 15760525 15760663 15760520 28129111    -         4.3   13.5   4.8  -
SUPER_1              -          TR                   -                1     122 23443663 23443538 23443663 23443518 48130578    -         5.1   13.3   3.2  -
SUPER_13             -          TR                   -               75     141 22278299 22278244 22278323 22278224 27663608    -         5.1   13.3   1.9  -
SUPER_8              -          TR                   -                2      68  1814397  1814476  1814396  1814519 37156567    +         5.7   13.2   1.0  -
SUPER_4              -          TR                   -                1     118  8421913  8422026  8421913  8422041 40763998    +         5.7   13.1   4.8  -
SUPER_3              -          TR                   -                1      68 20712638 20712565 20712638 20712527 41759552    -           6   13.1   0.8  -
SUPER_5              -          TR                   -                2      76 33784561 33784639 33784560 33784662 40250806    +         6.4   13.0   0.3  -
SUPER_9              -          TR                   -               29     131 31435727 31435634 31435747 31435614 36523452    -         6.4   13.0   1.7  -
SUPER_1              -          TR                   -                1      83 40092289 40092377 40092289 40092404 48130578    +         6.6   12.9   1.3  -
SUPER_7              -          TR                   -                2      80  5699091  5699170  5699090  5699189 38157836    +         7.1   12.8   2.0  -
SUPER_8              -          TR                   -              142     191 35472520 35472565 35472493 35472587 37156567    +         7.1   12.8   1.3  -
SUPER_12             -          TR                   -               69     141 15104337 15104397 15104316 15104417 28129111    +         7.2   12.8   2.9  -
SUPER_1              -          TR                   -               55     120  2439726  2439800  2439714  2439803 48130578    +         7.3   12.8   2.1  -
SUPER_13             -          TR                   -               75     141 27319789 27319844 27319768 27319864 27663608    +         7.3   12.8   3.2  -
SUPER_3              -          TR                   -               68     156 14915930 14915842 14915950 14915838 41759552    -         8.1   12.6   1.1  -
SUPER_4              -          TR                   -               81     141 29529298 29529353 29529273 29529373 40763998    +         9.1   12.5   4.0  -
SUPER_7              -          TR                   -               62     141 22034854 22034790 22034893 22034770 38157836    -         9.9   12.4   8.8  -
SUPER_12             -          TR                   -               67     141  5047831  5047904  5047790  5047924 28129111    +          10   12.3   5.4  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Geranium_rotundifolium/assembly/curated/drGerRotu1.1/drGerRotu1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Geranium_rotundifolium.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Geranium_rotundifolium/assembly/curated/drGerRotu1.1/drGerRotu1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:14:35 2025
# [ok]
