# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SCAFFOLD_2           -          TR                   -                1     316 26049022 26048683 26049022 26048682 49032750    -     1.3e-40  146.8   1.3  -
SCAFFOLD_5           -          TR                   -                1     313 25465685 25466012 25465685 25466016 41566541    +     4.5e-37  135.1   5.3  -
SCAFFOLD_12          -          TR                   -                2     120  2728117  2728012  2728118  2727992 28614768    -       0.072   19.6   7.5  -
SCAFFOLD_14          -          TR                   -                2      84 22582413 22582496 22582412 22582516 27649352    +        0.69   16.4   3.7  -
SCAFFOLD_2           -          TR                   -              178     264 30868641 30868538 30868645 30868521 49032750    -        0.88   16.0   0.7  -
SCAFFOLD_13          -          TR                   -                1     102  5607415  5607509  5607415  5607523 27651291    +         1.2   15.5   3.5  -
SCAFFOLD_15          -          TR                   -                1     102  5084412  5084506  5084412  5084516 24297116    +         1.2   15.5   2.4  -
SCAFFOLD_15          -          TR                   -                1     102  5354086  5354180  5354086  5354190 24297116    +         1.2   15.5   2.4  -
SCAFFOLD_13          -          TR                   -                1     102  6322967  6322873  6322967  6322857 27651291    -         1.6   15.1   4.3  -
SCAFFOLD_15          -          TR                   -              131     187  2690196  2690256  2690176  2690260 24297116    +         2.1   14.8   1.7  -
SCAFFOLD_4           -          TR                   -                1     102  7925277  7925371  7925277  7925391 42030668    +         3.5   14.1   3.0  -
SCAFFOLD_15          -          TR                   -                1     102  1200280  1200186  1200280  1200178 24297116    -         3.5   14.0   3.5  -
SCAFFOLD_3           -          TR                   -                1     101 27138119 27138212 27138119 27138227 47109169    +         4.1   13.8   2.9  -
SCAFFOLD_9           -          TR                   -                2      82 26650489 26650567 26650488 26650588 32364165    +         4.1   13.8   5.1  -
SCAFFOLD_8           -          TR                   -                1      61 30570008 30570068 30570008 30570086 34215099    +         4.8   13.6   2.5  -
SCAFFOLD_15          -          TR                   -                2     102  1200557  1200464  1200558  1200444 24297116    -         4.9   13.6   4.2  -
SCAFFOLD_70          -          TR                   -                1     102    36587    36493    36587    36479    57050    -           5   13.5   2.4  -
SCAFFOLD_9           -          TR                   -                1     102  8811417  8811511  8811417  8811525 32364165    +           5   13.5   2.4  -
SCAFFOLD_9           -          TR                   -                1     102  8797273  8797367  8797273  8797380 32364165    +         5.1   13.5   2.4  -
SCAFFOLD_9           -          TR                   -                1     100 10710299 10710207 10710299 10710191 32364165    -         5.4   13.4   3.6  -
SCAFFOLD_4           -          TR                   -                1     102  5246185  5246279  5246185  5246290 42030668    +         5.4   13.4   5.3  -
SCAFFOLD_7           -          TR                   -              144     227 12863902 12863825 12863924 12863816 35724655    -         5.8   13.3   7.3  -
SCAFFOLD_1           -          TR                   -                2     102 45894787 45894694 45894788 45894674 75148402    -           7   13.1   4.1  -
SCAFFOLD_13          -          TR                   -                1     102  5766561  5766655  5766561  5766671 27651291    +         7.3   13.0   1.6  -
SCAFFOLD_13          -          TR                   -                1      68  6676947  6676882  6676947  6676854 27651291    -         7.5   13.0   2.5  -
SCAFFOLD_5           -          TR                   -                1      92  5537058  5536974  5537058  5536953 41566541    -         7.5   13.0   2.8  -
SCAFFOLD_13          -          TR                   -                1     102  5766840  5766934  5766840  5766945 27651291    +         7.8   12.9   1.6  -
SCAFFOLD_14          -          TR                   -                1     118 13154128 13154247 13154128 13154267 27649352    +         7.8   12.9   4.6  -
SCAFFOLD_9           -          TR                   -                1     102 10875442 10875348 10875442 10875328 32364165    -         7.8   12.9   3.9  -
SCAFFOLD_4           -          TR                   -                2     102 29523132 29523225 29523131 29523242 42030668    +         8.3   12.8   4.0  -
SCAFFOLD_8           -          TR                   -                1     102 23971244 23971338 23971244 23971358 34215099    +         8.5   12.8   4.1  -
SCAFFOLD_4           -          TR                   -                1     102  5855005  5854911  5855005  5854901 42030668    -         8.5   12.8   4.4  -
SCAFFOLD_7           -          TR                   -                1     102 29696758 29696852 29696758 29696872 35724655    +           9   12.7   3.7  -
SCAFFOLD_4           -          TR                   -                1     100 11102705 11102797 11102705 11102814 42030668    +         9.3   12.7   4.5  -
SCAFFOLD_12          -          TR                   -                1     102  5678621  5678527  5678621  5678507 28614768    -         9.4   12.6   2.9  -
SCAFFOLD_10          -          TR                   -              107     141  2569939  2569905  2569963  2569885 31606849    -         9.6   12.6   0.2  -
SCAFFOLD_3           -          TR                   -                2      58 10999246 10999300 10999245 10999314 47109169    +          10   12.6   3.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Arabis_hirsuta/assembly/curated/ddAraHirs1.1/ddAraHirs1.hap2.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Arabis_hirsuta.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Arabis_hirsuta/assembly/curated/ddAraHirs1.1/ddAraHirs1.hap2.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 09:44:40 2024
# [ok]
