# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     316 29450535 29450196 29450535 29450195 52655645    -     1.3e-40  146.8   1.3  -
SUPER_3              -          TR                   -                1     313 28424872 28425199 28424872 28425203 44670892    +     4.5e-37  135.1   5.3  -
SUPER_14             -          TR                   -                2     120  2033541  2033436  2033542  2033416 28059941    -       0.073   19.6   7.5  -
SUPER_13             -          TR                   -                2      84 24298402 24298485 24298401 24298505 29383396    +         0.7   16.4   3.7  -
SUPER_1              -          TR                   -              178     264 34300481 34300378 34300485 34300361 52655645    -        0.89   16.0   0.7  -
SUPER_15             -          TR                   -                1     102  5624800  5624894  5624800  5624908 28012946    +         1.2   15.5   3.5  -
SUPER_16             -          TR                   -                1     102  5092454  5092548  5092454  5092558 24370881    +         1.2   15.5   2.4  -
SUPER_16             -          TR                   -                1     102  5362128  5362222  5362128  5362232 24370881    +         1.2   15.5   2.4  -
SUPER_15             -          TR                   -                1     102  6340352  6340258  6340352  6340242 28012946    -         1.6   15.1   4.3  -
SUPER_16             -          TR                   -              131     187  2698238  2698298  2698218  2698302 24370881    +         2.1   14.8   1.7  -
SUPER_9              -          TR                   -                1     102 23975790 23975696 23975790 23975676 33100058    -         2.1   14.8   3.3  -
SUPER_5              -          TR                   -                1     102 34219464 34219370 34219464 34219350 42359782    -         3.5   14.1   3.0  -
SUPER_16             -          TR                   -                1     102  1208322  1208228  1208322  1208220 24370881    -         3.6   14.0   3.5  -
SUPER_2              -          TR                   -                1     101  2219752  2219845  2219752  2219860 47528267    +         4.1   13.8   2.9  -
SUPER_10             -          TR                   -                2      82  5723598  5723520  5723599  5723499 32974354    -         4.1   13.8   5.1  -
SUPER_6              -          TR                   -                1      61 35255355 35255415 35255355 35255433 38924775    +         4.9   13.6   2.5  -
SUPER_16             -          TR                   -                2     102  1208599  1208506  1208600  1208486 24370881    -         4.9   13.6   4.2  -
SUPER_10             -          TR                   -                1     102 23892390 23892296 23892390 23892282 32974354    -           5   13.5   2.4  -
SUPER_10             -          TR                   -                1     102 23920286 23920192 23920286 23920178 32974354    -           5   13.5   2.4  -
SUPER_10             -          TR                   -                1     102 23934430 23934336 23934430 23934323 32974354    -         5.1   13.5   2.4  -
SUPER_10             -          TR                   -                1     100 21740355 21740447 21740355 21740463 32974354    +         5.4   13.4   3.6  -
SUPER_5              -          TR                   -                1     102 37121906 37121812 37121906 37121801 42359782    -         5.5   13.4   5.3  -
SUPER_8              -          TR                   -              144     227 13329649 13329572 13329671 13329563 36496327    -         5.9   13.3   7.3  -
SUPER_9              -          TR                   -                2     102 29403479 29403572 29403478 29403592 33100058    +         7.1   13.1   4.1  -
SUPER_15             -          TR                   -                1     102  5783946  5784040  5783946  5784056 28012946    +         7.4   13.0   1.6  -
SUPER_15             -          TR                   -                1      68  6714384  6714319  6714384  6714291 28012946    -         7.6   13.0   2.5  -
SUPER_3              -          TR                   -                1      92  5587043  5586959  5587043  5586938 44670892    -         7.6   13.0   2.8  -
SUPER_15             -          TR                   -                1     102  5784225  5784319  5784225  5784330 28012946    +         7.8   12.9   1.6  -
SUPER_13             -          TR                   -                1     118 13844453 13844572 13844453 13844592 29383396    +         7.9   12.9   4.6  -
SUPER_10             -          TR                   -                1     102 21575212 21575306 21575212 21575326 32974354    +         7.9   12.9   3.9  -
SUPER_5              -          TR                   -                2     102 12515421 12515328 12515422 12515311 42359782    -         8.4   12.8   4.0  -
SUPER_6              -          TR                   -                1     102 28505387 28505481 28505387 28505501 38924775    +         8.5   12.8   4.1  -
SUPER_5              -          TR                   -                1     102 36513086 36513180 36513086 36513190 42359782    +         8.6   12.8   4.4  -
SUPER_8              -          TR                   -                1     102 30336257 30336351 30336257 30336371 36496327    +           9   12.7   3.7  -
SUPER_5              -          TR                   -                1     100 31037655 31037563 31037655 31037546 42359782    -         9.4   12.7   4.5  -
SUPER_14             -          TR                   -                1     102  5001734  5001640  5001734  5001620 28059941    -         9.5   12.6   2.9  -
SUPER_11             -          TR                   -              107     141 30108325 30108359 30108301 30108379 32678263    +         9.7   12.6   0.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Arabis_hirsuta/assembly/curated/ddAraHirs1.1/ddAraHirs1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Arabis_hirsuta.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Arabis_hirsuta/assembly/curated/ddAraHirs1.1/ddAraHirs1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:16:48 2025
# [ok]
