# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_18             -          TR                   -                1     315  70768294  70768636  70768294  70768638  87366180    +     1.1e-17   73.7   8.0  -
SUPER_7              -          TR                   -               97     213  93360996  93360867  93361017  93360841  96449094    -     0.00093   28.0   1.7  -
SUPER_6              -          TR                   -               15     137  79338069  79337922  79338076  79337901  96793570    -        0.18   20.5   3.4  -
SUPER_16             -          TR                   -                1      91  16736406  16736282  16736406  16736265  89618159    -        0.88   18.3   3.6  -
SUPER_29             -          TR                   -                1     102  10081294  10081164  10081294  10081156  67798847    -         0.9   18.2   4.0  -
SUPER_4              -          TR                   -               37     122  36487258  36487375  36487235  36487399  98743807    +         1.5   17.5   0.0  -
SUPER_23             -          TR                   -                1      97  40362689  40362815  40362689  40362828  85104815    +         1.6   17.5   3.4  -
SUPER_13             -          TR                   -               54     122  68542616  68542718  68542586  68542742  90357017    +         1.7   17.3   0.0  -
SUPER_11             -          TR                   -               83     174  36494077  36493991  36494080  36493976  92116791    -         1.8   17.2   3.7  -
SUPER_13             -          TR                   -               50     122  68505953  68506057  68505927  68506080  90357017    +         1.9   17.2   0.0  -
SUPER_17             -          TR                   -                2     101   4609049   4609173   4609048   4609187  88339015    +         2.2   17.0   3.3  -
SUPER_6              -          TR                   -              106     180  71702348  71702440  71702326  71702453  96793570    +         2.7   16.7   3.4  -
SUPER_16             -          TR                   -              153     199  80851111  80851156  80851091  80851176  89618159    +         2.9   16.6   4.6  -
SUPER_7              -          TR                   -                1      99  65829359  65829233  65829359  65829216  96449094    -         3.2   16.4   2.9  -
SUPER_4              -          TR                   -              103     156  70849027  70849082  70849007  70849092  98743807    +         3.5   16.3   1.6  -
SUPER_6              -          TR                   -               24     122  71313242  71313153  71313264  71313118  96793570    -         4.6   15.9   0.8  -
SUPER_19             -          TR                   -                1      95  63482946  63483071  63482946  63483091  87214835    +         5.6   15.6   2.4  -
SUPER_20             -          TR                   -               60     122  58824394  58824486  58824364  58824506  86960997    +         5.7   15.6   0.0  -
SUPER_27             -          TR                   -                1      96  72047745  72047863  72047745  72047877  75093681    +           6   15.5   3.2  -
SUPER_17             -          TR                   -                1      84  83755059  83754982  83755059  83754964  88339015    -         6.3   15.5   1.1  -
SUPER_27             -          TR                   -                1      84  52963033  52963119  52963033  52963139  75093681    +         6.8   15.4   0.5  -
SUPER_19             -          TR                   -                2      54   5272049   5271999   5272050   5271979  87214835    -         7.5   15.2   3.4  -
SUPER_2              -          TR                   -               73     141  47502942  47502879  47502969  47502865 109920024    -         7.9   15.1   6.5  -
SUPER_10             -          TR                   -               26     163  87988732  87988869  87988719  87988873  93408969    +         8.8   15.0   1.1  -
SUPER_26             -          TR                   -                1      93  23743548  23743668  23743548  23743685  75969980    +         8.8   15.0   3.8  -
SUPER_13             -          TR                   -               59     122  68714321  68714411  68714292  68714437  90357017    +         9.4   14.9   0.0  -
SUPER_23             -          TR                   -                1      99   8022411   8022538   8022411   8022549  85104815    +          10   14.8   3.5  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Petasites_hybridus/assembly/curated/daPetHybr1.1/daPetHybr1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Petasites_hybridus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Petasites_hybridus/assembly/curated/daPetHybr1.1/daPetHybr1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:21:40 2025
# [ok]
