# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          TR                   -                2     313 30142689 30143006 30142688 30143010 46881964    +     3.5e-37  136.4  10.2  -
SUPER_14             -          TR                   -               27     162 26951371 26951511 26951351 26951513 43595230    +        0.14   19.5   6.3  -
SUPER_14             -          TR                   -                2     102 22339366 22339241 22339367 22339228 43595230    -        0.26   18.7   0.0  -
SUPER_14             -          TR                   -                2     102 22338910 22338785 22338911 22338765 43595230    -        0.26   18.7   0.0  -
SUPER_9              -          TR                   -                1     102 15708446 15708572 15708446 15708592 46881964    +        0.43   17.9   0.0  -
SUPER_18             -          TR                   -               24     162 27283232 27283377 27283216 27283379 42303350    +        0.48   17.8   2.1  -
SUPER_11             -          TR                   -                1     102  2752965  2752839  2752965  2752819 45559375    -        0.54   17.6   0.3  -
SUPER_13             -          TR                   -                2     102 41214536 41214412 41214537 41214395 45315339    -        0.78   17.1   0.0  -
SUPER_6              -          TR                   -               33     130 12185253 12185162 12185273 12185142 49391202    -        0.87   16.9   1.1  -
SUPER_1              -          TR                   -               19     162 50389091 50389244 50389082 50389246 66812549    +        0.88   16.9   1.2  -
SUPER_3              -          TR                   -               19     162 10350821 10350667 10350834 10350665 52761089    -         0.9   16.9   1.3  -
SUPER_13             -          TR                   -                2     102 24076768 24076893 24076767 24076909 45315339    +           1   16.7   0.0  -
SUPER_1              -          TR                   -                6     139 46201058 46201192 46201058 46201213 66812549    +         1.1   16.6   4.3  -
SUPER_5              -          TR                   -                2     103 27441772 27441900 27441771 27441912 50642844    +         1.4   16.3   1.6  -
SUPER_9              -          TR                   -                2      77 19684791 19684685 19684792 19684666 46881964    -         1.5   16.2   0.0  -
SUPER_2              -          TR                   -               24     130 27479136 27479028 27479151 27479008 58369626    -         1.5   16.1   0.3  -
SUPER_7              -          TR                   -                1     102 23822776 23822902 23822776 23822917 49185239    +         1.6   16.1   0.2  -
SUPER_9              -          TR                   -                2     102  4803050  4803174  4803049  4803194 46881964    +         1.7   16.0   1.0  -
SUPER_7              -          TR                   -               24     122  8409734  8409609  8409746  8409580 49185239    -         1.9   15.8   0.8  -
SUPER_16             -          TR                   -                2     102 20913620 20913496 20913621 20913483 42768831    -         2.2   15.6   0.0  -
SUPER_5              -          TR                   -                2     102 27442341 27442466 27442340 27442485 50642844    +         2.2   15.6   2.5  -
SUPER_9              -          TR                   -              105     171  1926160  1926092  1926180  1926092 46881964    -         2.2   15.6   0.4  -
SUPER_20             -          TR                   -                1     102 36352262 36352136 36352262 36352120 41251740    -         2.3   15.6   0.7  -
SUPER_11             -          TR                   -                1     102 37990994 37990892 37990994 37990878 45559375    -         2.5   15.4   0.5  -
SUPER_1              -          TR                   -                1      98 56916962 56917084 56916962 56917099 66812549    +         2.9   15.2   1.2  -
SUPER_6              -          TR                   -                1     102 36950497 36950622 36950497 36950636 49391202    +         3.2   15.1   0.2  -
SUPER_7              -          TR                   -               33     128 33258755 33258636 33258776 33258616 49185239    -         3.3   15.0   5.2  -
SUPER_4              -          TR                   -               81     194  9381294  9381150  9381314  9381141 52511285    -         3.3   15.0   0.4  -
SUPER_15             -          TR                   -                2     102 32336937 32337062 32336936 32337078 43165139    +         3.4   15.0   0.0  -
SUPER_13             -          TR                   -                2     102  8214116  8213991  8214117  8213974 45315339    -         3.5   15.0   0.5  -
SUPER_15             -          TR                   -                2     101 19580435 19580313 19580436 19580299 43165139    -         3.6   14.9   0.4  -
SUPER_13             -          TR                   -                2      96 27327516 27327604 27327515 27327625 45315339    +         3.8   14.8   9.1  -
SUPER_12             -          TR                   -               18     129 27273217 27273080 27273227 27273053 45393363    -         3.8   14.8   2.7  -
SUPER_4              -          TR                   -                2      98  5705475  5705596  5705474  5705611 52511285    +         3.9   14.8   0.7  -
SUPER_15             -          TR                   -               20     131 18165257 18165369 18165247 18165390 43165139    +         3.9   14.8   1.5  -
SUPER_2              -          TR                   -               27     130 31712716 31712615 31712735 31712593 58369626    -         4.2   14.7   1.3  -
SUPER_4              -          TR                   -               24     150 29080741 29080624 29080760 29080612 52511285    -         4.3   14.7   0.4  -
SUPER_2              -          TR                   -                1      98 33958455 33958336 33958455 33958312 58369626    -         6.3   14.1   0.1  -
SUPER_4              -          TR                   -                2     102 32432091 32432216 32432090 32432228 52511285    +         6.3   14.1   0.5  -
SUPER_16             -          TR                   -               25     120 20550011 20550120 20550001 20550140 42768831    +         6.7   14.0   4.1  -
SUPER_2              -          TR                   -                2     102  4758157  4758032  4758158  4758020 58369626    -         7.3   13.9   0.7  -
SUPER_15             -          TR                   -                2     102 19580866 19580742 19580867 19580730 43165139    -         7.4   13.9   0.9  -
SUPER_7              -          TR                   -               17     163 13521537 13521717 13521530 13521721 49185239    +         8.3   13.7   0.9  -
SUPER_17             -          TR                   -               20     102 32348560 32348642 32348548 32348662 42379091    +         8.7   13.7   1.6  -
SUPER_6              -          TR                   -                1     102 36950949 36951074 36950949 36951088 49391202    +         8.9   13.6   0.9  -
SUPER_2              -          TR                   -               68     137 38847801 38847877 38847781 38847894 58369626    +           9   13.6   0.4  -
SUPER_1              -          TR                   -               26     141 63029074 63029206 63029057 63029226 66812549    +         9.5   13.5   5.6  -
SUPER_19             -          TR                   -               39     162 16090351 16090226 16090377 16090220 41274700    -         9.8   13.5   4.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Syringa_vulgaris/assembly/curated/daSyrVulg1.1/daSyrVulg1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Syringa_vulgaris.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Syringa_vulgaris/assembly/curated/daSyrVulg1.1/daSyrVulg1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:18:55 2025
# [ok]
