# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                3     316 14903679 14904009 14903677 14904010 42203413    +     1.4e-35  129.7   1.5  -
SUPER_7              -          TR                   -               76     316 14800090 14800316 14800064 14800317 42203413    +     3.3e-24   92.4   1.7  -
SUPER_1              -          TR                   -                2      82 60442892 60442792 60442893 60442772 74032577    -        0.21   17.6   2.8  -
SUPER_4              -          TR                   -                2      89 22073879 22073986 22073878 22073997 56394074    +        0.51   16.3   1.2  -
SUPER_2              -          TR                   -                2      68 23276159 23276232 23276158 23276263 62452616    +        0.55   16.2   1.6  -
SUPER_5              -          TR                   -                2      93 11157735 11157624 11157736 11157617 50244433    -        0.71   15.8   1.5  -
SUPER_6              -          TR                   -               20     127 32144166 32144270 32144151 32144291 46001673    +        0.74   15.7   7.8  -
SUPER_6              -          TR                   -                2      95 30750935 30751033 30750934 30751040 46001673    +        0.85   15.5   2.5  -
SUPER_3              -          TR                   -                2      91 26412063 26412175 26412062 26412187 59496027    +        0.87   15.5   3.3  -
SUPER_7              -          TR                   -               88     156 32705169 32705099 32705189 32705095 42203413    -         1.1   15.2   0.8  -
SUPER_1              -          TR                   -                2      68 59449624 59449549 59449625 59449522 74032577    -         1.1   15.2   3.4  -
SUPER_1              -          TR                   -               49     141 13845343 13845425 13845311 13845444 74032577    +         1.1   15.2   2.1  -
SUPER_4              -          TR                   -                2     117 16627232 16627348 16627231 16627350 56394074    +         1.2   15.1   0.2  -
SUPER_3              -          TR                   -                2     125 20258653 20258769 20258652 20258790 59496027    +         1.3   14.9   3.7  -
SUPER_5              -          TR                   -                2      93 11158044 11157935 11158045 11157925 50244433    -         1.4   14.9   3.2  -
SUPER_4              -          TR                   -                2      80 55829280 55829380 55829279 55829399 56394074    +         1.8   14.4   1.9  -
SUPER_4              -          TR                   -                2      84 22071874 22071785 22071875 22071765 56394074    -         1.9   14.4   2.2  -
SUPER_4              -          TR                   -                2      98 40958867 40958764 40958868 40958748 56394074    -           2   14.4   0.4  -
SUPER_1              -          TR                   -              116     175 50499000 50498935 50499020 50498929 74032577    -           2   14.3   2.8  -
SUPER_6              -          TR                   -                2      67 11697181 11697244 11697180 11697287 46001673    +           2   14.3   2.4  -
SUPER_6              -          TR                   -                2      68  9612956  9613029  9612955  9613058 46001673    +         2.2   14.2   1.4  -
SUPER_2              -          TR                   -                2      60 39056509 39056565 39056508 39056591 62452616    +         2.2   14.2   0.7  -
