# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                2     317 37360021 37360371 37360020 37360371 38876907    +     5.7e-25   94.8   0.5  -
SUPER_8              -          TR                   -                2     166 25856776 25856952 25856775 25856954 36702323    +     5.1e-09   42.4   1.3  -
SUPER_9              -          TR                   -                2      95 22280840 22280748 22280841 22280728 34915827    -        0.18   17.7   2.5  -
SUPER_5              -          TR                   -                2      96 15238154 15238058 15238155 15238037 38876907    -        0.24   17.2   1.5  -
SUPER_2              -          TR                   -               38     122 38604271 38604357 38604251 38604384 42047542    +        0.24   17.2   0.3  -
SUPER_8              -          TR                   -               38     122 26753695 26753781 26753675 26753808 36702323    +        0.24   17.2   0.3  -
SUPER_1              -          TR                   -                1     102 23150211 23150311 23150211 23150331 43059367    +        0.55   16.1   4.1  -
SUPER_5              -          TR                   -                2      93 15215583 15215491 15215584 15215470 38876907    -        0.59   16.0   1.3  -
SUPER_5              -          TR                   -                2      86 15225949 15225863 15225950 15225843 38876907    -        0.62   15.9   2.0  -
SUPER_4              -          TR                   -               38     122 36575806 36575892 36575786 36575914 40022870    +         0.8   15.5   0.6  -
SUPER_2              -          TR                   -                1     102 12670263 12670363 12670263 12670383 42047542    +         0.9   15.4   2.8  -
SUPER_5              -          TR                   -                1      95  5834040  5833933  5834040  5833897 38876907    -         0.9   15.4   1.5  -
SUPER_8              -          TR                   -                1     116  1011202  1011313  1011202  1011333 36702323    +         1.1   15.1   0.5  -
SUPER_4              -          TR                   -                4      90  5393344  5393259  5393346  5393238 40022870    -         1.1   15.1   2.3  -
SUPER_4              -          TR                   -                1     119  6470833  6470947  6470833  6470967 40022870    +         1.1   15.0   2.6  -
SUPER_9              -          TR                   -                1      95 26545283 26545190 26545283 26545170 34915827    -         1.2   15.0   2.0  -
SUPER_3              -          TR                   -                1      97 34738525 34738620 34738525 34738641 41859370    +         1.2   14.9   1.4  -
SUPER_7              -          TR                   -                1     105 33725691 33725588 33725691 33725576 38022960    -         1.3   14.8   1.9  -
SUPER_5              -          TR                   -                1     102 37490049 37490149 37490049 37490167 38876907    +         1.8   14.4   1.9  -
SUPER_2              -          TR                   -                1      97 35839790 35839695 35839790 35839676 42047542    -           2   14.2   2.4  -
SUPER_9              -          TR                   -                1      93 22957343 22957434 22957343 22957454 34915827    +         2.1   14.1   2.2  -
SUPER_2              -          TR                   -               90     142   152558   152612   152533   152630 42047542    +         2.2   14.1   0.2  -
SUPER_1              -          TR                   -                1      92   997235   997325   997235   997345 43059367    +         2.3   14.0   3.4  -
SUPER_4              -          TR                   -                1     100  5071795  5071697  5071795  5071677 40022870    -         2.3   14.0   1.9  -
SUPER_6              -          TR                   -                1      88  7316040  7315954  7316040  7315930 38215967    -         2.5   13.9   4.2  -
SUPER_5              -          TR                   -                1      97 28618745 28618840 28618745 28618858 38876907    +         2.5   13.9   2.5  -
SUPER_1              -          TR                   -                1      96 14211702 14211796 14211702 14211814 43059367    +         2.9   13.7   1.8  -
SUPER_7              -          TR                   -                2      99 24398161 24398257 24398160 24398277 38022960    +           3   13.7   1.6  -
SUPER_4              -          TR                   -                4      88  5389018  5388935  5389020  5388914 40022870    -         3.1   13.6   2.1  -
SUPER_3              -          TR                   -                1      96 30615437 30615531 30615437 30615552 41859370    +         3.3   13.5   1.4  -
SUPER_6              -          TR                   -                1     172  6417837  6417660  6417837  6417656 38215967    -         3.3   13.5   1.9  -
SUPER_4              -          TR                   -                1      96  6470599  6470693  6470599  6470713 40022870    +         3.5   13.4   2.8  -
SUPER_4              -          TR                   -                2     101 34707244 34707146 34707245 34707125 40022870    -         3.6   13.4   2.0  -
SUPER_2              -          TR                   -                1     102  1493108  1493008  1493108  1492988 42047542    -         3.6   13.4   3.2  -
