# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -                1     308 28901114 28900809 28901114 28900797 63352505    -     9.3e-28  104.4   6.8  -
SUPER_4              -          TR                   -                1     213 28896473 28896285 28896473 28896265 63352505    -     3.2e-16   66.5   7.3  -
SUPER_5              -          TR                   -               89     250 58186552 58186726 58186530 58186746 60895178    +     8.7e-08   38.8   9.9  -
SUPER_4              -          TR                   -               59     142 61939525 61939426 61939555 61939406 63352505    -        0.13   18.6   2.6  -
SUPER_6              -          TR                   -               34     130 47118141 47118215 47118121 47118235 59019001    +        0.13   18.6   0.3  -
SUPER_1              -          TR                   -                1     135 20069467 20069618 20069467 20069636 85398858    +        0.17   18.2   1.3  -
SUPER_7              -          TR                   -                1      98 28500206 28500296 28500206 28500315 57030410    +        0.19   18.0   3.5  -
SUPER_6              -          TR                   -                1      96 29320384 29320296 29320384 29320276 59019001    -        0.21   17.9   3.3  -
SUPER_1              -          TR                   -               35     131 12221045 12221151 12221025 12221169 85398858    +        0.35   17.2   2.6  -
SUPER_6              -          TR                   -                1      96  4676765  4676677  4676765  4676655 59019001    -        0.39   17.0   2.4  -
SUPER_3              -          TR                   -                1      97   739521   739432   739521   739411 67841912    -        0.49   16.7   1.3  -
SUPER_3              -          TR                   -                1      98  7167697  7167787  7167697  7167806 67841912    +        0.59   16.4   3.3  -
SUPER_3              -          TR                   -                1      97   739744   739655   739744   739634 67841912    -        0.64   16.3   1.4  -
SUPER_4              -          TR                   -                1      97 62649166 62649255 62649166 62649284 63352505    +        0.66   16.3   2.7  -
SUPER_6              -          TR                   -                1     101 49907323 49907416 49907323 49907431 59019001    +        0.73   16.1   0.8  -
SUPER_7              -          TR                   -                1      96  9478180  9478092  9478180  9478072 57030410    -        0.81   16.0   2.6  -
SUPER_8              -          TR                   -               23     133 34845914 34845800 34845925 34845781 48728384    -        0.93   15.8   0.2  -
SUPER_8              -          TR                   -                1     101  7563622  7563715  7563622  7563734 48728384    +        0.94   15.8   2.8  -
SUPER_8              -          TR                   -                1      96 12355676 12355588 12355676 12355567 48728384    -        0.98   15.7   2.0  -
SUPER_1              -          TR                   -                1      96 61418562 61418474 61418562 61418454 85398858    -           1   15.6   2.0  -
SUPER_5              -          TR                   -                1     101 46542819 46542726 46542819 46542705 60895178    -         1.1   15.5   2.1  -
SUPER_8              -          TR                   -                1      98  7563428  7563518  7563428  7563536 48728384    +         1.2   15.4   3.1  -
SUPER_8              -          TR                   -                1      96 24987305 24987217 24987305 24987197 48728384    -         1.2   15.4   2.1  -
SUPER_6              -          TR                   -                1     102 48852872 48852778 48852872 48852758 59019001    -         1.3   15.3   3.2  -
SUPER_6              -          TR                   -                1     102 50107291 50107192 50107291 50107172 59019001    -         1.3   15.3   2.0  -
SUPER_6              -          TR                   -                1     115 21235430 21235338 21235430 21235312 59019001    -         1.3   15.3   1.9  -
SUPER_8              -          TR                   -                1      96 11410668 11410580 11410668 11410559 48728384    -         1.4   15.1   1.9  -
SUPER_7              -          TR                   -                1      95 56935546 56935633 56935546 56935653 57030410    +         1.5   15.1   2.4  -
SUPER_2              -          TR                   -                1      96 19138437 19138525 19138437 19138545 69388287    +         1.6   15.0   0.5  -
SUPER_3              -          TR                   -                1      95 61879080 61878993 61879080 61878972 67841912    -         1.6   15.0   2.4  -
SUPER_1              -          TR                   -                1      95 81038334 81038421 81038334 81038442 85398858    +         1.6   15.0   2.3  -
SUPER_7              -          TR                   -                1      99  2964658  2964567  2964658  2964547 57030410    -         1.6   15.0   1.6  -
SUPER_3              -          TR                   -                1      97  7500141  7500230  7500141  7500251 67841912    +         1.6   15.0   1.3  -
SUPER_4              -          TR                   -                1      97 52996846 52996935 52996846 52996956 63352505    +         1.6   15.0   1.3  -
SUPER_5              -          TR                   -                1      97 14197672 14197583 14197672 14197562 60895178    -         1.6   15.0   1.3  -
SUPER_8              -          TR                   -                1      97 17238342 17238431 17238342 17238452 48728384    +         1.6   15.0   1.3  -
SUPER_5              -          TR                   -                1      97  1005411  1005500  1005411  1005522 60895178    +         1.6   15.0   1.4  -
SUPER_2              -          TR                   -                1      96 48463028 48463116 48463028 48463136 69388287    +         1.7   14.9   2.6  -
SUPER_3              -          TR                   -                1     100 18625270 18625362 18625270 18625380 67841912    +         1.7   14.9   1.8  -
SUPER_7              -          TR                   -               68     141  9529660  9529543  9529679  9529523 57030410    -         1.7   14.9   5.2  -
SUPER_8              -          TR                   -                1     103  4602287  4602387  4602287  4602398 48728384    +         1.8   14.8   2.9  -
SUPER_7              -          TR                   -                1     101 25236027 25235934 25236027 25235914 57030410    -         1.9   14.8   2.9  -
SUPER_6              -          TR                   -                1      96 17880099 17880011 17880099 17879991 59019001    -         1.9   14.8   1.2  -
SUPER_6              -          TR                   -                1      96 19375880 19375968 19375880 19375989 59019001    +         1.9   14.8   1.1  -
