# target name        accession  query name           accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                2     307  185284103  185283769  185284104  185283760  641863966    -     4.3e-33  125.2   5.8  -
SUPER_2              -          TR                   -               92     213  307772895  307772768  307772915  307772744  739697766    -     1.1e-05   35.2   3.6  -
SUPER_4              -          TR                   -              116     201   74030667   74030551   74030667   74030550  697169871    -     3.2e-05   33.7   2.1  -
SUPER_6              -          TR                   -                1      84  479800198  479800279  479800198  479800299  641863966    +        0.82   19.2   3.4  -
SUPER_2              -          TR                   -                1     118  261432316  261432192  261432316  261432191  739697766    -        0.84   19.2   3.5  -
SUPER_2              -          TR                   -                1     101  278017980  278017881  278017980  278017861  739697766    -        0.86   19.2   3.3  -
SUPER_1              -          TR                   -                1      96  770968393  770968299  770968393  770968274 1034507165    -         1.2   18.7   3.7  -
SUPER_3              -          TR                   -               24     128  308317300  308317408  308317287  308317430  726504577    +         1.3   18.6   2.9  -
SUPER_5              -          TR                   -                1     123   38124475   38124587   38124475   38124608  657249472    +         1.5   18.3   2.0  -
SUPER_5              -          TR                   -                1     102  512614710  512614610  512614710  512614576  657249472    -           2   18.0   3.4  -
SUPER_1              -          TR                   -                1      84  712105334  712105416  712105334  712105442 1034507165    +         2.1   17.9   2.5  -
SUPER_2              -          TR                   -                1     118  226220809  226220933  226220809  226220953  739697766    +         2.4   17.7   2.2  -
SUPER_1              -          TR                   -                1      96  364959110  364959197  364959110  364959217 1034507165    +         2.4   17.7   1.1  -
SUPER_3              -          TR                   -                1     102  710243605  710243513  710243605  710243494  726504577    -         2.9   17.4   3.9  -
SUPER_5              -          TR                   -                1     102  271662980  271663072  271662980  271663092  657249472    +         3.3   17.3   6.0  -
SUPER_7              -          TR                   -               23     129   44812948   44813051   44812935   44813075  540818768    +         3.6   17.1   3.6  -
SUPER_6              -          TR                   -                1      95  165105313  165105220  165105313  165105193  641863966    -         4.2   16.9   2.9  -
SUPER_1              -          TR                   -                1      95  205487596  205487689  205487596  205487710 1034507165    +         4.3   16.9   1.7  -
SUPER_1              -          TR                   -                1      95  205499803  205499896  205499803  205499917 1034507165    +         4.3   16.9   1.7  -
SUPER_1              -          TR                   -                1      95  205525096  205525189  205525096  205525210 1034507165    +         4.3   16.9   1.7  -
SUPER_7              -          TR                   -               30     129  283797044  283797146  283797029  283797166  540818768    +         4.6   16.8   2.6  -
SUPER_6              -          TR                   -                1      95  165105666  165105573  165105666  165105549  641863966    -         4.6   16.8   3.0  -
SUPER_1              -          TR                   -                1     120  907196076  907196219  907196076  907196258 1034507165    +         4.6   16.8   3.0  -
SUPER_1              -          TR                   -                1      94  189658756  189658844  189658756  189658865 1034507165    +         4.9   16.7   4.1  -
SUPER_7              -          TR                   -                1      87  140131474  140131389  140131474  140131363  540818768    -         5.2   16.6   3.0  -
SUPER_1              -          TR                   -                1      97  205359822  205359727  205359822  205359705 1034507165    -         5.2   16.6   1.7  -
SUPER_4              -          TR                   -                1      95  379951073  379950980  379951073  379950958  697169871    -         5.4   16.5   2.9  -
SUPER_2              -          TR                   -                1      95   58186569   58186476   58186569   58186456  739697766    -         5.8   16.5   3.9  -
SUPER_4              -          TR                   -                1     120   72980228   72980095   72980228   72980075  697169871    -         5.9   16.4   6.7  -
SUPER_2              -          TR                   -                1     102  113983063  113982963  113983063  113982943  739697766    -           6   16.4   1.3  -
