# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     314 54791032 54791367 54791031 54791370 71698120    +     6.4e-15   62.6   8.5  -
SUPER_11             -          TR                   -                2     313 12646619 12646955 12646618 12646958 41267899    +     1.1e-10   48.7  13.5  -
SUPER_10             -          TR                   -                1     102 11684676 11684806 11684676 11684820 42185913    +        0.25   18.0   4.9  -
SUPER_2              -          TR                   -                1      92 23118318 23118198 23118318 23118183 61374335    -        0.64   16.6   3.1  -
SUPER_13             -          TR                   -                1      63 38334285 38334345 38334285 38334366 38838322    +         0.8   16.3   1.2  -
SUPER_6              -          TR                   -                1      84 37267724 37267601 37267724 37267583 44241735    -        0.86   16.2   3.9  -
SUPER_4              -          TR                   -                1      63 27812897 27812957 27812897 27812970 47678061    +        0.86   16.2   2.4  -
SUPER_1              -          TR                   -                1      63 14290024 14289964 14290024 14289944 71698120    -        0.92   16.1   2.4  -
SUPER_9              -          TR                   -                2      63  4973088  4973029  4973089  4973009 42428801    -         1.2   15.8   3.5  -
SUPER_6              -          TR                   -                1      65  9562071  9562133  9562071  9562153 44241735    +         1.2   15.7   1.9  -
SUPER_2              -          TR                   -                1      85 26647888 26647772 26647888 26647752 61374335    -         1.4   15.5   3.2  -
SUPER_12             -          TR                   -               71     142 15856947 15857021 15856924 15857041 39256183    +         1.5   15.4   5.0  -
SUPER_3              -          TR                   -                1      63 25542153 25542093 25542153 25542069 49632280    -         1.6   15.3   0.0  -
SUPER_3              -          TR                   -                1      63 11221324 11221384 11221324 11221404 49632280    +         1.7   15.3   2.8  -
SUPER_9              -          TR                   -                1      63  3731984  3732044  3731984  3732064 42428801    +         1.7   15.2   1.4  -
SUPER_8              -          TR                   -                1      63  6591146  6591086  6591146  6591065 43263707    -         1.9   15.1   2.2  -
SUPER_9              -          TR                   -                1      63  3731700  3731760  3731700  3731778 42428801    +         1.9   15.1   1.5  -
SUPER_7              -          TR                   -                1      62 25662323 25662382 25662323 25662403 43620274    +         1.9   15.1   2.6  -
SUPER_7              -          TR                   -                1      63 11438724 11438664 11438724 11438643 43620274    -           2   15.0   1.8  -
SUPER_3              -          TR                   -                1      63 13319379 13319319 13319379 13319307 49632280    -         2.2   14.9   1.8  -
SUPER_3              -          TR                   -                1      62  4507704  4507645  4507704  4507625 49632280    -         2.2   14.9   2.7  -
SUPER_3              -          TR                   -                1      60  5271347  5271404  5271347  5271425 49632280    +         2.2   14.9   2.6  -
SUPER_7              -          TR                   -                1      93 23381228 23381351 23381228 23381360 43620274    +         2.3   14.8   0.8  -
SUPER_5              -          TR                   -                1      63 43415602 43415662 43415602 43415679 44670340    +         2.4   14.8   2.4  -
SUPER_5              -          TR                   -                1      63 19161881 19161821 19161881 19161800 44670340    -         2.5   14.7   1.0  -
SUPER_1              -          TR                   -                1      61 18845407 18845465 18845407 18845477 71698120    +         2.5   14.7   3.2  -
SUPER_4              -          TR                   -                1      62 46034125 46034184 46034125 46034205 47678061    +         2.5   14.7   1.3  -
SUPER_9              -          TR                   -                1      63 19047317 19047257 19047317 19047236 42428801    -         2.7   14.6   1.9  -
SUPER_6              -          TR                   -                1      92 37261715 37261597 37261715 37261577 44241735    -         2.8   14.5   4.6  -
SUPER_5              -          TR                   -               33     131 29973598 29973485 29973615 29973466 44670340    -           3   14.5   0.8  -
SUPER_14             -          TR                   -                1     122 30709318 30709457 30709318 30709477 33112086    +           3   14.5   0.4  -
SUPER_1              -          TR                   -                1      63  3395365  3395305  3395365  3395284 71698120    -           3   14.4   1.0  -
SUPER_1              -          TR                   -                1      63  3395641  3395581  3395641  3395560 71698120    -           3   14.4   1.0  -
SUPER_3              -          TR                   -                1      63  6814443  6814383  6814443  6814362 49632280    -           3   14.4   1.0  -
SUPER_5              -          TR                   -                1      63  7642296  7642236  7642296  7642215 44670340    -           3   14.4   1.0  -
SUPER_10             -          TR                   -                1      63 20148653 20148713 20148653 20148734 42185913    +           3   14.4   1.0  -
SUPER_7              -          TR                   -                1      63 11439143 11439203 11439143 11439224 43620274    +         3.3   14.3   2.3  -
SUPER_4              -          TR                   -                1      63 47337878 47337938 47337878 47337952 47678061    +         3.3   14.3   1.0  -
SUPER_6              -          TR                   -              160     193 14926432 14926466 14926428 14926476 44241735    +         3.4   14.3   5.2  -
