# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                6     313   890448   890762   890444   890763 39543329    +       1e-24   94.7   1.0  -
SUPER_5              -          TR                   -                2     313 75044346 75044661 75044345 75044663 75391096    +     3.4e-19   76.6   2.5  -
SUPER_9              -          TR                   -                1     312   291921   291602   291921   291600 38031428    -     2.2e-17   70.7   0.6  -
SUPER_3              -          TR                   -                1     276 63615532 63615813 63615532 63615833 95764688    +     8.5e-17   68.8   1.4  -
SUPER_4              -          TR                   -                2     125  6015464  6015300  6015465  6015280 84487723    -       0.056   20.1   4.1  -
SUPER_8              -          TR                   -                2     117 31531507 31531398 31531508 31531398 39027630    -        0.26   17.9   6.9  -
SUPER_6              -          TR                   -                2     117 26078058 26077949 26078059 26077947 43811845    -        0.38   17.4   5.8  -
SUPER_1              -          TR                   -                1      99 88516061 88516152 88516061 88516170 98294458    +        0.38   17.4   2.6  -
SUPER_8              -          TR                   -                2     118 27881295 27881405 27881294 27881406 39027630    +        0.47   17.1   5.3  -
SUPER_2              -          TR                   -                2      95  9860395  9860309  9860396  9860291 96724042    -        0.51   17.0   2.3  -
SUPER_6              -          TR                   -                2     117 29574031 29574140 29574030 29574141 43811845    +        0.58   16.8   3.5  -
SUPER_9              -          TR                   -                2     117 20970123 20970019 20970124 20969999 38031428    -         0.6   16.8   1.7  -
SUPER_4              -          TR                   -                2     117 56741266 56741158 56741267 56741156 84487723    -        0.64   16.7   2.1  -
SUPER_9              -          TR                   -                2      99  5883414  5883510  5883413  5883525 38031428    +        0.67   16.6   2.0  -
SUPER_7              -          TR                   -                2     121  5846925  5846773  5846926  5846751 39543329    -        0.68   16.6   4.6  -
SUPER_1              -          TR                   -                2     117 77252308 77252199 77252309 77252198 98294458    -        0.73   16.5   4.8  -
SUPER_5              -          TR                   -                2      96 37102783 37102696 37102784 37102678 75391096    -        0.75   16.4   2.0  -
SUPER_10             -          TR                   -                2     117  3814453  3814344  3814454  3814343 37084233    -        0.88   16.2   3.8  -
SUPER_7              -          TR                   -                2     117  5847456  5847565  5847455  5847565 39543329    +        0.95   16.1   6.3  -
SUPER_9              -          TR                   -                2     117 16647762 16647654 16647763 16647653 38031428    -        0.97   16.1   5.9  -
SUPER_2              -          TR                   -                2      94 20757264 20757349 20757263 20757369 96724042    +        0.99   16.0   2.2  -
SUPER_4              -          TR                   -                2      67 36728096 36728161 36728095 36728205 84487723    +           1   16.0   3.4  -
SUPER_9              -          TR                   -                2      93 11875123 11875213 11875122 11875227 38031428    +         1.1   15.9   3.3  -
SUPER_4              -          TR                   -                2     119 22187495 22187608 22187494 22187628 84487723    +         1.2   15.8   2.9  -
SUPER_9              -          TR                   -                2     105  4733641  4733738  4733640  4733752 38031428    +         1.2   15.8   4.1  -
SUPER_7              -          TR                   -                2     117 29038064 29038173 29038063 29038174 39543329    +         1.3   15.7   4.7  -
SUPER_7              -          TR                   -                2     117 17669014 17669123 17669013 17669124 39543329    +         1.3   15.6   6.4  -
SUPER_2              -          TR                   -                2     138 90345489 90345658 90345488 90345678 96724042    +         1.4   15.6   3.7  -
SUPER_8              -          TR                   -                2      80  7449411  7449492  7449410  7449521 39027630    +         1.4   15.6   4.1  -
SUPER_10             -          TR                   -                2     117  3814138  3814029  3814139  3814028 37084233    -         1.5   15.5   5.3  -
SUPER_4              -          TR                   -                2      92 78936097 78936012 78936098 78935992 84487723    -         1.5   15.4   2.3  -
SUPER_5              -          TR                   -                2     117 60083762 60083871 60083761 60083871 75391096    +         1.6   15.3   5.3  -
SUPER_5              -          TR                   -                2     117 64482915 64483024 64482914 64483025 75391096    +         1.6   15.3   2.3  -
SUPER_10             -          TR                   -                2      70 22985596 22985664 22985595 22985703 37084233    +         1.7   15.2   4.2  -
SUPER_8              -          TR                   -                2     117 28842735 28842627 28842736 28842627 39027630    -         1.8   15.2   5.5  -
SUPER_1              -          TR                   -                2     117 77252664 77252555 77252665 77252555 98294458    -         1.8   15.2   4.7  -
SUPER_4              -          TR                   -                2      92 40884208 40884116 40884209 40884099 84487723    -         1.9   15.1   3.9  -
SUPER_8              -          TR                   -                2     117 27182268 27182159 27182269 27182158 39027630    -         1.9   15.1   5.1  -
SUPER_4              -          TR                   -                2      89 82336841 82336926 82336840 82336949 84487723    +           2   15.0   3.7  -
SUPER_10             -          TR                   -                2     102 30648975 30649073 30648974 30649093 37084233    +         2.1   15.0   4.2  -
SUPER_4              -          TR                   -                2     113 82337195 82337304 82337194 82337306 84487723    +         2.1   15.0   2.6  -
SUPER_8              -          TR                   -                2     117 29051129 29051020 29051130 29051020 39027630    -         2.1   15.0   4.7  -
SUPER_8              -          TR                   -                2     117 27183640 27183532 27183641 27183531 39027630    -         2.2   14.9   4.3  -
SUPER_2              -          TR                   -                2      62 76807117 76807059 76807118 76807034 96724042    -         2.3   14.8   4.9  -
SUPER_2              -          TR                   -                2      62 76807831 76807773 76807832 76807748 96724042    -         2.3   14.8   4.9  -
SUPER_10             -          TR                   -                2     117 20113575 20113466 20113576 20113465 37084233    -         2.3   14.8   4.9  -
SUPER_2              -          TR                   -                2      98 65194656 65194750 65194655 65194772 96724042    +         2.4   14.8   3.0  -
SUPER_8              -          TR                   -                2     102 15038042 15037949 15038043 15037934 39027630    -         2.5   14.7   4.6  -
SUPER_7              -          TR                   -                2     117 23977606 23977715 23977605 23977716 39543329    +         2.5   14.7   4.7  -
SUPER_10             -          TR                   -                2      84  9724916  9724996  9724915  9725016 37084233    +         2.7   14.6   3.6  -
SUPER_3              -          TR                   -                2      93 59023955 59023866 59023956 59023837 95764688    -         2.8   14.6   3.4  -
SUPER_1              -          TR                   -                2     125 15437387 15437256 15437388 15437236 98294458    -         2.9   14.5   1.0  -
SUPER_5              -          TR                   -                2     116 52184966 52185074 52184965 52185076 75391096    +         2.9   14.5   3.0  -
SUPER_5              -          TR                   -                2     117 62842795 62842904 62842794 62842904 75391096    +           3   14.5   1.7  -
SUPER_7              -          TR                   -                2     117 36847529 36847421 36847530 36847420 39543329    -           3   14.4   5.2  -
SUPER_2              -          TR                   -                2      84 54727236 54727316 54727235 54727343 96724042    +         3.2   14.4   3.4  -
SUPER_4              -          TR                   -                2      92 74958990 74959073 74958989 74959092 84487723    +         3.3   14.3   2.7  -
SUPER_1              -          TR                   -                2      66 66318519 66318455 66318520 66318411 98294458    -         3.5   14.3   3.1  -
SUPER_2              -          TR                   -                2      66 15316498 15316434 15316499 15316405 96724042    -         3.5   14.2   3.8  -
SUPER_5              -          TR                   -                2      97  6769020  6768927  6769021  6768908 75391096    -         3.5   14.2   3.8  -
SUPER_1              -          TR                   -                2     113 45034809 45034916 45034808 45034920 98294458    +         3.6   14.2   4.0  -
SUPER_4              -          TR                   -                2     117 69638301 69638410 69638300 69638410 84487723    +         3.6   14.2   2.1  -
SUPER_1              -          TR                   -              121     180 23010976 23010919 23010986 23010907 98294458    -         3.6   14.2   1.0  -
SUPER_9              -          TR                   -                2     117 23973525 23973633 23973524 23973634 38031428    +         3.6   14.2   8.1  -
SUPER_9              -          TR                   -                2     117 10624838 10624947 10624837 10624947 38031428    +         3.8   14.1   6.4  -
SUPER_9              -          TR                   -                2     117 19111563 19111454 19111564 19111453 38031428    -         3.8   14.1   4.7  -
SUPER_1              -          TR                   -                2     118 94029015 94028904 94029016 94028903 98294458    -         4.1   14.0   3.4  -
SUPER_10             -          TR                   -                2      98 30649332 30649426 30649331 30649444 37084233    +         4.2   14.0   3.7  -
SUPER_5              -          TR                   -                2     117 62842209 62842319 62842208 62842319 75391096    +         4.2   14.0   3.0  -
SUPER_4              -          TR                   -                2     117  6304379  6304488  6304378  6304491 84487723    +         4.2   14.0   1.5  -
SUPER_5              -          TR                   -                2      62 70580852 70580792 70580853 70580769 75391096    -         4.2   14.0   3.3  -
SUPER_2              -          TR                   -                2      84 54727604 54727684 54727603 54727708 96724042    +         4.3   14.0   3.7  -
SUPER_1              -          TR                   -                2      62 72449755 72449695 72449756 72449671 98294458    -         4.3   14.0   2.9  -
SUPER_4              -          TR                   -                2     113 67934903 67934798 67934904 67934793 84487723    -         4.3   13.9   3.6  -
SUPER_3              -          TR                   -                2      62  3008944  3009002  3008943  3009025 95764688    +         4.3   13.9   3.1  -
SUPER_4              -          TR                   -                2      65 59989126 59989065 59989127 59989043 84487723    -         4.4   13.9   1.5  -
SUPER_8              -          TR                   -                2      62  9977571  9977511  9977572  9977488 39027630    -         4.4   13.9   5.3  -
SUPER_1              -          TR                   -                2      62 72450113 72450053 72450114 72450030 98294458    -         4.4   13.9   2.9  -
SUPER_4              -          TR                   -                2      99 68079152 68079062 68079153 68079042 84487723    -         4.4   13.9   2.4  -
SUPER_8              -          TR                   -                2      76 30720734 30720807 30720733 30720832 39027630    +         4.5   13.9   1.6  -
SUPER_8              -          TR                   -                2     117  7798875  7798766  7798876  7798765 39027630    -         4.5   13.9   5.9  -
SUPER_3              -          TR                   -                2      84 90460729 90460649 90460730 90460629 95764688    -         4.6   13.9   3.2  -
SUPER_3              -          TR                   -                2      84 90499961 90499881 90499962 90499861 95764688    -         4.6   13.9   3.2  -
SUPER_1              -          TR                   -                2      64 82451276 82451214 82451277 82451191 98294458    -         4.6   13.9   3.3  -
SUPER_10             -          TR                   -                2      63 20113973 20113912 20113974 20113889 37084233    -         4.6   13.9   3.6  -
