# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -               68     204 29956248 29956116 29956268 29956096 31022653    -     2.9e-06   33.4   0.4  -
SUPER_7              -          TR                   -               25     141  9278331  9278191  9278347  9278171 21550428    -     0.00017   27.6   4.0  -
SUPER_11             -          TR                   -               76     165 14436383 14436491 14436363 14436495 18000384    +        0.01   21.8   1.1  -
SUPER_10             -          TR                   -               41     155  3567810  3567924  3567796  3567933 18180452    +       0.021   20.8   1.5  -
SUPER_1              -          TR                   -               71     131  6650954  6650899  6650975  6650878 31022653    -        0.05   19.5   1.0  -
SUPER_4              -          TR                   -               67     132   608193   608125   608215   608115 23275913    -       0.058   19.3   0.4  -
SUPER_18             -          TR                   -               71     155  6603802  6603878  6603784  6603899 14877043    +       0.061   19.2   0.8  -
SUPER_2              -          TR                   -               25     129  4182385  4182240  4182401  4182219 29712026    -       0.069   19.1   2.0  -
SUPER_5              -          TR                   -               43     163  5293614  5293738  5293593  5293742 22274967    +        0.09   18.7   3.5  -
SUPER_11             -          TR                   -               61     162 14202983 14202882 14203003 14202877 18000384    -       0.097   18.6   3.2  -
SUPER_15             -          TR                   -               67     142  7735524  7735445  7735551  7735430 15421868    -        0.12   18.2   1.4  -
SUPER_6              -          TR                   -               34     130 14131680 14131825 14131660 14131846 21666292    +        0.14   18.1   1.9  -
SUPER_4              -          TR                   -               30     129  1730515  1730602  1730501  1730623 23275913    +        0.14   18.0   0.8  -
SUPER_14             -          TR                   -               42     128  1676931  1677016  1676918  1677037 16537608    +        0.15   18.0   2.7  -
SUPER_13             -          TR                   -               35     130  7080829  7080727  7080849  7080709 16827884    -        0.16   17.8   1.7  -
SUPER_2              -          TR                   -               38     141  6198469  6198594  6198448  6198619 29712026    +        0.16   17.8   1.4  -
SUPER_8              -          TR                   -              152     193 18654757 18654714 18654778 18654712 21216778    -        0.17   17.8   4.5  -
SUPER_2              -          TR                   -               27     122  7360042  7359956  7360054  7359931 29712026    -        0.22   17.4   0.1  -
SUPER_14             -          TR                   -               68     141  9150994  9151067  9150965  9151087 16537608    +        0.23   17.4   3.8  -
SUPER_5              -          TR                   -               24     130 13902332 13902484 13902319 13902504 22274967    +        0.23   17.4   4.8  -
SUPER_11             -          TR                   -               68     194  2690465  2690593  2690445  2690598 18000384    +         0.3   17.0   1.9  -
SUPER_19             -          TR                   -               79     142   888760   888685   888793   888664  8246474    -        0.31   16.9   2.1  -
SUPER_5              -          TR                   -               73     162  8219350  8219483  8219325  8219486 22274967    +        0.37   16.7   3.7  -
SUPER_3              -          TR                   -               67     139  1211071  1210998  1211096  1210976 28870763    -        0.38   16.7   1.5  -
SUPER_14             -          TR                   -               67     123  1587807  1587871  1587779  1587898 16537608    +        0.44   16.4   1.2  -
SUPER_4              -          TR                   -               67     129 12065070 12065138 12065048 12065157 23275913    +        0.45   16.4   3.2  -
SUPER_9              -          TR                   -               90     166   290406   290474   290393   290476 19824867    +        0.46   16.4   4.7  -
SUPER_12             -          TR                   -              106     180  2948801  2948885  2948781  2948895 17975981    +        0.46   16.4   1.0  -
SUPER_13             -          TR                   -               28     117  8441321  8441399  8441311  8441422 16827884    +        0.48   16.3   0.9  -
SUPER_16             -          TR                   -              109     165  4021839  4021887  4021819  4021891 15273997    +         0.5   16.3   0.0  -
SUPER_2              -          TR                   -               69     163 20568801 20568678 20568822 20568677 29712026    -        0.51   16.2   0.6  -
SUPER_14             -          TR                   -               68     122   601922   601988   601900   602024 16537608    +        0.53   16.2   0.1  -
SUPER_2              -          TR                   -               34     125 12129286 12129204 12129307 12129179 29712026    -        0.54   16.1   3.6  -
