# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                2     317  31946291  31945962  31946292  31945962 234614135    -     1.7e-42  154.4   5.7  -
SUPER_4              -          TR                   -                1     104  50356784  50356909  50356784  50356929 276642383    +       0.097   20.6   3.5  -
SUPER_4              -          TR                   -                1     106 266709213 266709077 266709213 266709058 276642383    -         0.2   19.6   4.3  -
SUPER_1              -          TR                   -                1     108 310541075 310540935 310541075 310540928 443270436    -        0.27   19.2   2.6  -
SUPER_4              -          TR                   -                1      96 182407354 182407475 182407354 182407496 276642383    +        0.64   17.9   1.5  -
SUPER_4              -          TR                   -                1     102 218404435 218404310 218404435 218404290 276642383    -        0.81   17.6   2.0  -
SUPER_4              -          TR                   -                1     102  34878622  34878751  34878622  34878771 276642383    +         1.4   16.8   2.9  -
SUPER_1              -          TR                   -                2      91  24964131  24964224  24964130  24964244 443270436    +         1.4   16.8   3.5  -
SUPER_4              -          TR                   -                1     100 268006600 268006470 268006600 268006455 276642383    -         2.3   16.1   3.2  -
SUPER_3              -          TR                   -                1      85  50047170  50047080  50047170  50047057 285762089    -         2.6   15.9   1.3  -
SUPER_3              -          TR                   -                1      97  21093103  21093229  21093103  21093249 285762089    +         2.7   15.9   2.5  -
SUPER_1              -          TR                   -                1     104 261401754 261401885 261401754 261401896 443270436    +           3   15.7   2.9  -
SUPER_4              -          TR                   -                2      93 247750185 247750065 247750186 247750044 276642383    -         3.2   15.6   3.1  -
SUPER_1              -          TR                   -                1     103 345215245 345215379 345215245 345215393 443270436    +         3.3   15.6   3.1  -
HAP1_SCAFFOLD_404    -          TR                   -                1      92     23741     23845     23741     23865     56376    +         3.4   15.5   3.9  -
SUPER_2              -          TR                   -                1     105 227084202 227084067 227084202 227084057 309272705    -         3.4   15.5   4.4  -
SUPER_3              -          TR                   -               23     150 263917310 263917492 263917299 263917506 285762089    +         3.5   15.5   5.8  -
SUPER_1              -          TR                   -                1      91 387884847 387884729 387884847 387884709 443270436    -         4.5   15.1   1.3  -
SUPER_5              -          TR                   -               73     166 191996359 191996254 191996381 191996253 234614135    -         4.9   15.0   5.0  -
SUPER_1              -          TR                   -                1      84 407734166 407734282 407734166 407734299 443270436    +         5.1   14.9   1.1  -
SUPER_1              -          TR                   -               33     131 401079796 401079704 401079816 401079684 443270436    -         5.6   14.8   5.4  -
SUPER_2              -          TR                   -                1      90  15635819  15635941  15635819  15635962 309272705    +         5.8   14.8   3.5  -
SUPER_1              -          TR                   -                1     102 307476817 307476952 307476817 307476965 443270436    +         6.7   14.6   3.5  -
SUPER_1              -          TR                   -                1     113 383793789 383793930 383793789 383793931 443270436    +         7.6   14.4   1.8  -
SUPER_2              -          TR                   -                1      93 288145576 288145700 288145576 288145713 309272705    +         8.1   14.3   1.0  -
SUPER_4              -          TR                   -                1     104 268020321 268020187 268020321 268020177 276642383    -         8.3   14.3   3.4  -
SUPER_3              -          TR                   -                1      99 149616578 149616445 149616578 149616429 285762089    -         8.5   14.2   4.1  -
SUPER_3              -          TR                   -                1      95  46306946  46306826  46306946  46306806 285762089    -         9.4   14.1   2.7  -
SUPER_1              -          TR                   -                2      88  32845577  32845699  32845576  32845720 443270436    +         9.6   14.0   4.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Callitriche_obtusangula/assembly/curated/daCalObtu1.1/daCalObtu1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Callitriche_obtusangula.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Callitriche_obtusangula/assembly/curated/daCalObtu1.1/daCalObtu1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:49 2025
# [ok]
