# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     315  1612175  1611879  1612175  1611876 23840127    -     4.1e-23   88.0   1.9  -
SUPER_5              -          TR                   -                2     316 11241905 11241607 11241906 11241606 29241174    -     4.4e-23   87.9   1.6  -
SUPER_2              -          TR                   -                1     317 17536845 17536546 17536845 17536545 37122758    -     1.4e-22   86.2   0.9  -
SUPER_2              -          TR                   -              177     314 12011596 12011730 12011585 12011733 37122758    +       6e-05   28.4   3.0  -
SUPER_4              -          TR                   -               28     122  1295888  1295786  1295900  1295765 29624753    -        0.37   15.9   0.0  -
SUPER_2              -          TR                   -               81     163  1153647  1153732  1153626  1153751 37122758    +        0.76   14.9   2.9  -
SUPER_4              -          TR                   -              214     311 21386271 21386351 21386247 21386354 29624753    +        0.86   14.7   0.2  -
SUPER_4              -          TR                   -              147     196  5087666  5087606  5087686  5087586 29624753    -           1   14.5   0.0  -
SUPER_6              -          TR                   -               94     184 17491945 17492065 17491936 17492081 24190440    +         1.1   14.4   2.8  -
SUPER_1              -          TR                   -              110     162 32373258 32373306 32373238 32373308 40222618    +         2.2   13.4   0.4  -
SUPER_2              -          TR                   -               81     129 11465002 11465046 11464997 11465067 37122758    +         2.8   13.0   1.3  -
SUPER_5              -          TR                   -               97     163 23957507 23957580 23957487 23957583 29241174    +         2.9   13.0   1.5  -
SUPER_7              -          TR                   -               73     127  4360949  4360899  4360969  4360879 23840127    -         3.5   12.7   2.8  -
SUPER_1              -          TR                   -               72     123 28097860 28097796 28097881 28097776 40222618    -         3.6   12.7   1.1  -
SUPER_5              -          TR                   -               99     162 16441945 16442001 16441919 16442006 29241174    +         3.7   12.6   2.3  -
SUPER_6              -          TR                   -              141     180 17946184 17946135 17946204 17946122 24190440    -         4.2   12.4   0.0  -
SUPER_7              -          TR                   -              164     212 12518137 12518094 12518142 12518073 23840127    -         4.3   12.4   0.9  -
SUPER_1              -          TR                   -              139     181  2963179  2963128  2963200  2963116 40222618    -         6.3   11.9   2.9  -
SUPER_3              -          TR                   -               68     128 20314804 20314719 20314824 20314698 33605868    -         6.5   11.8   2.5  -
SUPER_1              -          TR                   -              109     162 15037222 15037278 15037200 15037284 40222618    +         7.3   11.6   0.9  -
SUPER_2              -          TR                   -               68     122 23818969 23819049 23818949 23819074 37122758    +         7.6   11.6   1.7  -
SUPER_3              -          TR                   -               62     162 11454331 11454252 11454357 11454250 33605868    -         7.7   11.6   2.3  -
SUPER_4              -          TR                   -               68     126  8849452  8849363  8849472  8849339 29624753    -         7.9   11.6   1.0  -
SUPER_7              -          TR                   -               68     122  4021300  4021219  4021320  4021195 23840127    -         8.3   11.5   1.6  -
SUPER_3              -          TR                   -               41     124 18478949 18479039 18478928 18479055 33605868    +         9.5   11.3   1.1  -
SUPER_6              -          TR                   -               71     124 16981807 16981855 16981787 16981874 24190440    +         9.7   11.3   1.8  -
SUPER_4              -          TR                   -              150     203  4900030  4899980  4900051  4899959 29624753    -         9.9   11.2   1.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Fragaria_moschata/assembly/curated/drFraMosc1.1/drFraMosc1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Fragaria_moschata.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Fragaria_moschata/assembly/curated/drFraMosc1.1/drFraMosc1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:51:27 2024
# [ok]
