# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -              108     281  3699897  3700061  3699850  3700089 25643681    +       0.012   21.0   2.3  -
SUPER_2              -          TR                   -               68     142 31630529 31630439 31630549 31630419 36976922    -        0.43   16.0   3.1  -
SUPER_1              -          TR                   -               95     163 28741635 28741731 28741619 28741751 41373197    +        0.98   14.8   1.6  -
SUPER_3              -          TR                   -               24     139 12045671 12045782 12045652 12045802 34068199    +        0.99   14.8   1.0  -
SUPER_2              -          TR                   -               17     134 27324463 27324576 27324454 27324592 36976922    +         1.2   14.6   1.0  -
SUPER_7              -          TR                   -              113     168  8611998  8612075  8611978  8612076 22039357    +         2.3   13.6   0.2  -
SUPER_4              -          TR                   -               29     126  7062256  7062168  7062274  7062148 25686176    -         2.9   13.3   3.6  -
SUPER_1              -          TR                   -               21     141 25959432 25959321 25959440 25959301 41373197    -         3.4   13.0   2.6  -
SUPER_1              -          TR                   -              109     160 27567574 27567519 27567596 27567516 41373197    -         4.6   12.6   1.2  -
SUPER_1              -          TR                   -               29     141 34305037 34305174 34305021 34305194 41373197    +         4.8   12.6   2.7  -
SUPER_4              -          TR                   -               72     130  9805341  9805288  9805365  9805268 25686176    -         4.9   12.5   0.6  -
SUPER_6              -          TR                   -               71     150  3571558  3571481  3571581  3571464 22916615    -           5   12.5   1.4  -
SUPER_3              -          TR                   -               94     158 21302407 21302478 21302384 21302483 34068199    +         5.2   12.4   0.7  -
SUPER_2              -          TR                   -               73     160  3455141  3455027  3455163  3455021 36976922    -         5.6   12.3   0.0  -
SUPER_3              -          TR                   -              105     167 20515650 20515714 20515628 20515716 34068199    +         5.6   12.3   2.8  -
SUPER_2              -          TR                   -               91     159  9379982  9379920  9380003  9379917 36976922    -         5.7   12.3   0.9  -
SUPER_11             -          TR                   -               69     125  1715210  1715144  1715230  1715123  6296991    -         5.7   12.3   2.7  -
SUPER_2              -          TR                   -               68     126 29205305 29205250 29205325 29205230 36976922    -         5.8   12.3   4.9  -
SUPER_1              -          TR                   -               78     130 30759922 30759863 30759935 30759843 41373197    -         6.1   12.2   0.0  -
SUPER_6              -          TR                   -               70     125 19285111 19285045 19285132 19285025 22916615    -         6.4   12.1   2.3  -
SUPER_7              -          TR                   -               80     157 13321817 13321893 13321795 13321896 22039357    +         6.7   12.1   0.2  -
SUPER_8              -          TR                   -              105     158 10403037 10402977 10403059 10402975 21161110    -         7.1   12.0   0.1  -
SUPER_3              -          TR                   -              102     141  4517105  4517144  4517086  4517162 34068199    +         7.2   12.0   0.8  -
SUPER_6              -          TR                   -               70     139  5331029  5331093  5331010  5331112 22916615    +         7.6   11.9   0.2  -
SUPER_6              -          TR                   -               68     124 10868700 10868751 10868681 10868767 22916615    +         8.1   11.8   0.0  -
SUPER_1              -          TR                   -               72     125 24517621 24517559 24517645 24517534 41373197    -         8.2   11.8   0.5  -
SUPER_1              -          TR                   -              151     190  9126686  9126718  9126666  9126727 41373197    +         8.7   11.7   0.3  -
SUPER_1              -          TR                   -              102     156 38992674 38992727 38992658 38992733 41373197    +         8.8   11.7   1.4  -
SUPER_8              -          TR                   -               72     127 11002642 11002697 11002619 11002718 21161110    +         9.4   11.6   1.2  -
SUPER_1              -          TR                   -               71     127 12112239 12112299 12112216 12112319 41373197    +         9.4   11.6   0.0  -
SUPER_1              -          TR                   -              103     153 23978078 23978033 23978098 23978019 41373197    -         9.6   11.6   2.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Ulota_crispa/assembly/curated/cbUloCris4.1/cbUloCris4.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Ulota_crispa.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Ulota_crispa/assembly/curated/cbUloCris4.1/cbUloCris4.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:18:42 2025
# [ok]
