# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
HAP2_SCAFFOLD_1      -          TR                   -                1     315 63579485 63579159 63579485 63579157 96215476    -     3.7e-36  132.6   1.5  -
HAP2_SCAFFOLD_10     -          TR                   -              171     315 15072584 15072416 15072604 15072414 55921466    -       6e-11   49.9   3.9  -
HAP2_SCAFFOLD_10     -          TR                   -              171     315 14999361 14999193 14999381 14999191 55921466    -     3.4e-09   44.1   5.7  -
HAP2_SCAFFOLD_10     -          TR                   -               54     194  4327279  4327412  4327259  4327413 55921466    +     3.2e-08   40.9   0.2  -
HAP2_SCAFFOLD_10     -          TR                   -              177     315 14940363 14940200 14940384 14940198 55921466    -     1.1e-07   39.2   4.0  -
HAP2_SCAFFOLD_221    -          TR                   -               34     169    21888    22020    21871    22040    30387    +     0.00057   27.0   1.8  -
HAP2_SCAFFOLD_5      -          TR                   -               25     169 53359561 53359702 53359549 53359722 71724638    +      0.0012   25.9   3.5  -
HAP2_SCAFFOLD_4      -          TR                   -               31     130 54949494 54949410 54949510 54949391 86390943    -       0.033   21.2   3.5  -
HAP2_SCAFFOLD_7      -          TR                   -               26     122   457779   457890   457764   457927 60972998    +       0.094   19.7   3.3  -
HAP2_SCAFFOLD_4      -          TR                   -               21     145  8201946  8201814  8201957  8201795 86390943    -        0.29   18.1   0.4  -
HAP2_SCAFFOLD_3      -          TR                   -                1      64 40577236 40577173 40577236 40577131 88692981    -        0.52   17.3   1.0  -
HAP2_SCAFFOLD_7      -          TR                   -               70     165 35218947 35219043 35218926 35219052 60972998    +        0.74   16.8   6.6  -
HAP2_SCAFFOLD_1      -          TR                   -                1     125 11580252 11580101 11580252 11580079 96215476    -        0.94   16.4   4.0  -
HAP2_SCAFFOLD_4      -          TR                   -               68     204 53235744 53235593 53235768 53235573 86390943    -           1   16.3   0.6  -
HAP2_SCAFFOLD_10     -          TR                   -               70     162 22466519 22466426 22466540 22466422 55921466    -         1.1   16.2   5.0  -
HAP2_SCAFFOLD_10     -          TR                   -               70     162 22466704 22466611 22466726 22466607 55921466    -         1.1   16.1   5.1  -
HAP2_SCAFFOLD_8      -          TR                   -               96     166 22953060 22952992 22953070 22952989 57016647    -         1.5   15.8   1.9  -
HAP2_SCAFFOLD_6      -          TR                   -                1      59 36108523 36108465 36108523 36108443 69643827    -         1.6   15.7   4.0  -
HAP2_SCAFFOLD_15     -          TR                   -               72     140   411706   411765   411682   411786   792110    +         1.6   15.7   5.1  -
HAP2_SCAFFOLD_4      -          TR                   -               69     162 32381642 32381736 32381622 32381740 86390943    +         1.8   15.5   7.6  -
HAP2_SCAFFOLD_5      -          TR                   -                1      64 57263813 57263876 57263813 57263888 71724638    +           2   15.4   0.5  -
HAP2_SCAFFOLD_8      -          TR                   -                1      56 43796622 43796567 43796622 43796546 57016647    -           2   15.4   4.1  -
HAP2_SCAFFOLD_1      -          TR                   -                1      62 19471761 19471700 19471761 19471680 96215476    -         2.1   15.3   2.2  -
HAP2_SCAFFOLD_11     -          TR                   -                1      57  1755199  1755255  1755199  1755276 54811338    +         2.2   15.2   0.7  -
HAP2_SCAFFOLD_7      -          TR                   -                1      62 34949534 34949595 34949534 34949617 60972998    +         2.4   15.1   1.7  -
HAP2_SCAFFOLD_2      -          TR                   -               24     133 87484692 87484853 87484674 87484872 92830491    +         2.5   15.0   2.4  -
HAP2_SCAFFOLD_11     -          TR                   -                1      55  1759736  1759790  1759736  1759813 54811338    +         2.5   15.0   0.9  -
HAP2_SCAFFOLD_3      -          TR                   -                1      68 13608781 13608707 13608781 13608687 88692981    -         2.7   14.9   1.3  -
HAP2_SCAFFOLD_3      -          TR                   -               69     161 72506398 72506491 72506377 72506495 88692981    +         2.7   14.9   2.9  -
HAP2_SCAFFOLD_6      -          TR                   -                1      57 50523098 50523154 50523098 50523178 69643827    +         2.8   14.9   2.2  -
HAP2_SCAFFOLD_5      -          TR                   -                1      62 58050256 58050317 58050256 58050338 71724638    +         2.8   14.8   1.9  -
HAP2_SCAFFOLD_11     -          TR                   -                1      54  1750934  1750987  1750934  1751009 54811338    +         2.9   14.8   1.2  -
HAP2_SCAFFOLD_10     -          TR                   -               70     166 21743388 21743291 21743408 21743287 55921466    -         3.3   14.6   3.4  -
