# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -                2     316 26803738 26803417 26803739 26803416 38173118    -     1.2e-38  139.7   3.2  -
SUPER_4              -          TR                   -                2     295 26792525 26792242 26792526 26792223 38173118    -     6.1e-23   88.1   1.5  -
SUPER_1              -          TR                   -               20     161 24661087 24660929 24661097 24660923 52757475    -       0.079   18.8   2.3  -
SUPER_2              -          TR                   -               27     130 18324107 18324222 18324093 18324245 47459593    +        0.18   17.7   3.5  -
SUPER_2              -          TR                   -                2      63 39735341 39735282 39735342 39735266 47459593    -        0.26   17.1   2.6  -
SUPER_2              -          TR                   -               36     151 45125953 45126082 45125931 45126090 47459593    +        0.35   16.7   4.2  -
SUPER_9              -          TR                   -               25     163 19782490 19782624 19782470 19782629 24940472    +        0.41   16.5   2.0  -
SUPER_3              -          TR                   -               29     136 33585166 33585288 33585149 33585311 38648203    +        0.47   16.3   1.8  -
SUPER_4              -          TR                   -                2     118 23584382 23584261 23584383 23584260 38173118    -        0.83   15.5   2.2  -
SUPER_9              -          TR                   -               11     123 19564090 19564211 19564090 19564231 24940472    +        0.96   15.3   2.0  -
SUPER_3              -          TR                   -               55     170  3178520  3178379  3178545  3178377 38648203    -         1.1   15.1   0.0  -
SUPER_1              -          TR                   -               24     166 42189060 42189244 42189049 42189245 52757475    +         1.1   15.1   1.8  -
SUPER_11             -          TR                   -                1     100 11298494 11298402 11298494 11298382 23098750    -         1.3   14.9   3.0  -
SUPER_1              -          TR                   -                2     117 38335662 38335541 38335663 38335539 52757475    -         1.4   14.8   0.9  -
SUPER_10             -          TR                   -                1      84  6040916  6041006  6040916  6041026 23937282    +         1.4   14.8   4.8  -
SUPER_10             -          TR                   -               24     159  7800686  7800552  7800700  7800550 23937282    -         1.4   14.7  14.0  -
SUPER_1              -          TR                   -               20     129 16790228 16790140 16790244 16790103 52757475    -         1.4   14.7   4.3  -
SUPER_6              -          TR                   -               32     128  5033616  5033745  5033606  5033765 33776218    +         1.5   14.6   6.9  -
SUPER_3              -          TR                   -               31     132  5038039  5038158  5038019  5038178 38648203    +         1.5   14.6   6.7  -
