# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP2_SCAFFOLD_3      -          TR                   -                1     315 383953180 383952849 383953180 383952847 504083828    -     1.8e-13   59.4   9.0  -
HAP2_SCAFFOLD_2      -          TR                   -                1     128 148104204 148104341 148104204 148104357 703469785    +        0.14   20.4   3.0  -
HAP2_SCAFFOLD_2      -          TR                   -               14     140 251808277 251808402 251808275 251808422 703469785    +        0.47   18.7   4.7  -
HAP2_SCAFFOLD_3      -          TR                   -               16     135 310765800 310765893 310765795 310765915 504083828    +        0.64   18.3   7.4  -
HAP2_SCAFFOLD_1      -          TR                   -                2     134 703910670 703910546 703910671 703910525 770351942    -         1.1   17.5   3.5  -
HAP2_SCAFFOLD_2      -          TR                   -               72     130 555350116 555350197 555350084 555350218 703469785    +         1.6   17.0   0.9  -
HAP2_SCAFFOLD_1      -          TR                   -               62     147  49612031  49612123  49612009  49612142 770351942    +         1.7   16.9   2.9  -
HAP2_SCAFFOLD_1      -          TR                   -               59     131 562554874 562554950 562554854 562554976 770351942    +         1.8   16.8   2.1  -
HAP2_SCAFFOLD_1      -          TR                   -                2     131 464179453 464179324 464179454 464179303 770351942    -         1.8   16.8   5.4  -
HAP2_SCAFFOLD_1      -          TR                   -                2     131 464188429 464188300 464188430 464188279 770351942    -         1.8   16.8   5.4  -
HAP2_SCAFFOLD_1      -          TR                   -               24     133 728802986 728802882 728803000 728802862 770351942    -         2.6   16.3   4.6  -
HAP2_SCAFFOLD_2      -          TR                   -               57     156 154592136 154592230 154592120 154592235 703469785    +         3.2   16.0   0.4  -
HAP2_SCAFFOLD_3      -          TR                   -                2     132 178380067 178379944 178380068 178379924 504083828    -         3.8   15.7   5.3  -
HAP2_SCAFFOLD_2      -          TR                   -                1      88 329918156 329918068 329918156 329918048 703469785    -         3.9   15.7   2.4  -
HAP2_SCAFFOLD_1      -          TR                   -                2     128 468439057 468438927 468439058 468438904 770351942    -         3.9   15.7   3.5  -
HAP2_SCAFFOLD_1      -          TR                   -                1      71 288095538 288095609 288095538 288095637 770351942    +         4.4   15.5   3.9  -
HAP2_SCAFFOLD_1      -          TR                   -               68     141 729700315 729700231 729700345 729700211 770351942    -         4.5   15.5   1.4  -
HAP2_SCAFFOLD_1      -          TR                   -               61     155 385372813 385372703 385372833 385372686 770351942    -         4.6   15.5   4.2  -
HAP2_SCAFFOLD_2      -          TR                   -               61     155 177509552 177509662 177509532 177509679 703469785    +         4.6   15.5   4.2  -
HAP2_SCAFFOLD_2      -          TR                   -                1     134 628817289 628817415 628817289 628817436 703469785    +         5.1   15.3   2.6  -
HAP2_SCAFFOLD_3      -          TR                   -               44     130 418510649 418510546 418510673 418510528 504083828    -         5.7   15.2   1.6  -
HAP2_SCAFFOLD_2      -          TR                   -               17     222 500414248 500414003 500414253 500413981 703469785    -         5.9   15.1   5.3  -
HAP2_SCAFFOLD_2      -          TR                   -                2     131 445261326 445261459 445261325 445261469 703469785    +         6.2   15.0   4.0  -
HAP2_SCAFFOLD_1      -          TR                   -               26     125 409497462 409497567 409497447 409497592 770351942    +         6.3   15.0   3.5  -
HAP2_SCAFFOLD_2      -          TR                   -               22     122 474569533 474569658 474569516 474569678 703469785    +         6.4   15.0   1.6  -
HAP2_SCAFFOLD_2      -          TR                   -               66     155 231097146 231097251 231097124 231097268 703469785    +         6.5   15.0   4.1  -
HAP2_SCAFFOLD_3      -          TR                   -               66     155 404464928 404464823 404464950 404464806 504083828    -         6.5   15.0   4.1  -
HAP2_SCAFFOLD_3      -          TR                   -              103     255  63486837  63487058  63486819  63487075 504083828    +         6.7   14.9   4.5  -
HAP2_SCAFFOLD_1      -          TR                   -                2     122  89462313  89462198  89462314  89462172 770351942    -           7   14.9   7.5  -
HAP2_SCAFFOLD_1      -          TR                   -                1      79 277956699 277956620 277956699 277956596 770351942    -           7   14.9   4.0  -
HAP2_SCAFFOLD_2      -          TR                   -               74     148 310850259 310850345 310850238 310850359 703469785    +         7.2   14.8   3.4  -
HAP2_SCAFFOLD_1      -          TR                   -                1     104 736171439 736171544 736171439 736171557 770351942    +         7.5   14.8   2.0  -
HAP2_SCAFFOLD_1      -          TR                   -               59     122 726409678 726409601 726409699 726409582 770351942    -         7.5   14.8   1.3  -
HAP2_SCAFFOLD_2      -          TR                   -                2     130  43708446  43708568  43708445  43708593 703469785    +         7.6   14.8   6.7  -
HAP2_SCAFFOLD_2      -          TR                   -              142     199 256173648 256173594 256173679 256173592 703469785    -         7.6   14.7   3.9  -
HAP2_SCAFFOLD_3      -          TR                   -               57     128 313453609 313453502 313453624 313453480 504083828    -         7.7   14.7   0.5  -
HAP2_SCAFFOLD_2      -          TR                   -               71     132 483182404 483182469 483182371 483182488 703469785    +         8.2   14.6   2.4  -
HAP2_SCAFFOLD_1      -          TR                   -               21     141 298891210 298891345 298891201 298891365 770351942    +         8.5   14.6   0.5  -
HAP2_SCAFFOLD_2      -          TR                   -              116     224 517302389 517302286 517302409 517302266 703469785    -         8.9   14.5   0.7  -
HAP2_SCAFFOLD_68     -          TR                   -              116     224    157418    157521    157398    157541    160055    +         8.9   14.5   0.7  -
HAP2_SCAFFOLD_1      -          TR                   -                1     102 456357419 456357317 456357419 456357305 770351942    -         9.6   14.4   3.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Tragopogon_pratensis/assembly/curated/daTraPrat1.1/daTraPrat1.hap2.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Tragopogon_pratensis.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Tragopogon_pratensis/assembly/curated/daTraPrat1.1/daTraPrat1.hap2.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 11:31:57 2024
# [ok]
