# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          TR                   -                1     221 228575022 228574744 228575022 228574722 236014462    -     8.5e-09   44.9   3.3  -
SUPER_11             -          TR                   -                1     221   4564272   4563994   4564272   4563974 219307551    -     3.5e-08   42.9   3.1  -
SUPER_14             -          TR                   -                1     220 196148718 196148995 196148718 196149016 210701471    +     3.9e-08   42.8   3.3  -
SUPER_5              -          TR                   -                1     246 246663791 246663473 246663791 246663453 254263400    -     3.2e-07   39.8   4.3  -
SUPER_5              -          TR                   -                2     298 246493524 246493160 246493525 246493144 254263400    -     1.1e-06   38.0   8.4  -
SUPER_5              -          TR                   -              102     246  69892766  69892569  69892844  69892548 254263400    -      0.0001   31.5   2.9  -
SUPER_9              -          TR                   -              151     248 228578662 228578562 228578748 228578515 236014462    -         0.2   20.8   1.9  -
SUPER_2              -          TR                   -               68     162 271025597 271025739 271025577 271025741 303821773    +        0.37   19.9   2.6  -
SUPER_3              -          TR                   -               12     137 233311433 233311307 233311435 233311287 292825950    -         1.4   18.0   2.0  -
SUPER_11             -          TR                   -               34     168 109317353 109317194 109317374 109317191 219307551    -         2.5   17.2   1.3  -
SUPER_11             -          TR                   -               36     167 109328444 109328288 109328467 109328286 219307551    -         3.6   16.6   1.6  -
SUPER_6              -          TR                   -               42     167 235418714 235418864 235418690 235418866 253041265    +         3.9   16.5   1.2  -
SUPER_1              -          TR                   -                1      99 306568615 306568513 306568615 306568501 322039038    -         5.8   15.9   2.7  -
SUPER_11             -          TR                   -               29     167 113433734 113433571 113433750 113433569 219307551    -         5.8   15.9   0.6  -
SUPER_8              -          TR                   -                1      88  22049545  22049453  22049545  22049431 250098715    -         7.1   15.7   5.3  -
SUPER_11             -          TR                   -               28     167 113422561 113422397 113422581 113422395 219307551    -         8.3   15.4   1.1  -
SUPER_3              -          TR                   -                1      94 199445490 199445398 199445490 199445378 292825950    -         8.3   15.4   1.6  -
SUPER_3              -          TR                   -                1      94 199904899 199904807 199904899 199904787 292825950    -         8.3   15.4   1.6  -
SUPER_6              -          TR                   -              102     168  45065829  45065903  45065806  45065905 253041265    +         8.7   15.4   0.8  -
SUPER_1              -          TR                   -              155     215 242820101 242820043 242820108 242820016 322039038    -         8.9   15.3   1.0  -
SUPER_6              -          TR                   -                1      89 236469994 236469902 236469994 236469882 253041265    -         9.3   15.3   1.9  -
SUPER_5              -          TR                   -                1     100 154170172 154170274 154170172 154170290 254263400    +         9.5   15.2   4.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/monocots/Hierochloe_odorata/assembly/curated/lpHieOdor1.1/lpHieOdor1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Hierochloe_odorata.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/monocots/Hierochloe_odorata/assembly/curated/lpHieOdor1.1/lpHieOdor1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:12:54 2025
# [ok]
