# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                2     312 29620273 29619956 29620274 29619953 41464896    -       2e-40  146.0   0.8  -
SUPER_7              -          TR                   -                1     312 29624939 29624621 29624939 29624618 41464896    -     1.3e-38  140.0   0.7  -
SUPER_1              -          TR                   -               72     123 23215181 23215126 23215204 23215106 50929484    -         1.5   15.1   0.4  -
SUPER_9              -          TR                   -               30     135 28315192 28315064 28315210 28315044 40487921    -         1.5   15.1   0.7  -
SUPER_3              -          TR                   -               70     141 34588306 34588228 34588327 34588209 44125989    -         3.6   13.9   3.1  -
SUPER_4              -          TR                   -               35     141  3700604  3700702  3700589  3700722 43333687    +         3.6   13.9   3.9  -
SUPER_2              -          TR                   -                2      63 11723322 11723263 11723323 11723248 43437581    -         3.8   13.8   2.5  -
SUPER_1              -          TR                   -               53     124 27201047 27200941 27201078 27200921 50929484    -         3.8   13.8   1.7  -
SUPER_7              -          TR                   -               20     139 15909172 15909314 15909164 15909336 41464896    +         4.2   13.6   0.5  -
SUPER_10             -          TR                   -              107     165 18052426 18052352 18052448 18052345 40336565    -         4.4   13.6   2.8  -
SUPER_10             -          TR                   -              109     189 38434951 38435068 38434931 38435076 40336565    +         4.8   13.5   0.4  -
SUPER_9              -          TR                   -                1      65 38921591 38921529 38921591 38921503 40487921    -         5.2   13.3   1.3  -
SUPER_1              -          TR                   -              109     165 30467294 30467222 30467316 30467219 50929484    -         5.3   13.3   1.1  -
SUPER_8              -          TR                   -               25     134  4884975  4885104  4884963  4885124 40736874    +         5.6   13.2   3.5  -
SUPER_12             -          TR                   -                1      54  6562576  6562525  6562576  6562514 37816597    -           6   13.1   2.0  -
SUPER_5              -          TR                   -                1      51  1037235  1037283  1037235  1037303 40642736    +         6.4   13.0   1.4  -
SUPER_4              -          TR                   -                2      62 16433304 16433245 16433305 16433223 43333687    -         6.8   12.9   1.4  -
SUPER_10             -          TR                   -               25     142 28755557 28755677 28755545 28755711 40336565    +         7.2   12.9   4.3  -
SUPER_5              -          TR                   -               28     133  7607842  7607973  7607823  7607979 40642736    +         7.8   12.8   3.7  -
SUPER_1              -          TR                   -               24     140 50005793 50005700 50005810 50005686 50929484    -           8   12.7   4.0  -
SUPER_8              -          TR                   -                1      82 37659002 37658915 37659002 37658904 40736874    -         8.1   12.7   0.9  -
SUPER_1              -          TR                   -                1      65 44119429 44119365 44119429 44119344 50929484    -         8.2   12.7   2.4  -
SUPER_1              -          TR                   -                1      67 24434688 24434622 24434688 24434590 50929484    -         8.7   12.6   2.0  -
SUPER_6              -          TR                   -              179     313 38279806 38279927 38279796 38279929 41519129    +         8.9   12.6   5.3  -
SUPER_1              -          TR                   -               45     124 46470878 46470780 46470897 46470761 50929484    -         9.6   12.5   7.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Vaccinium_vitis-idaea/assembly/curated/ddVacViti1.1/ddVacViti1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Vaccinium_vitis-idaea.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Vaccinium_vitis-idaea/assembly/curated/ddVacViti1.1/ddVacViti1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 11:34:38 2024
# [ok]
