# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -               68     261  8472250  8472046  8472274  8472026 22425071    -     1.8e-07   37.1   1.6  -
SUPER_6              -          TR                   -               79     261  8680391  8680200  8680422  8680180 22425071    -     2.2e-06   33.6   0.2  -
SUPER_6              -          TR                   -               58     258  8025105  8025315  8025084  8025337 22425071    +     1.1e-05   31.3   0.7  -
SUPER_6              -          TR                   -               62     210  8053150  8053297  8053132  8053318 22425071    +     0.00013   27.7   0.9  -
SUPER_8              -          TR                   -               81     208  7139923  7139806  7139954  7139781 21538990    -     0.00018   27.3   0.1  -
SUPER_6              -          TR                   -               59     213  7976239  7976393  7976226  7976464 22425071    +     0.00037   26.2   0.5  -
SUPER_10             -          TR                   -              104     254  9764416  9764262  9764451  9764239 20615955    -     0.00069   25.3   0.6  -
SUPER_9              -          TR                   -              103     214 17085232 17085120 17085287 17085062 21411969    -      0.0082   21.8   0.4  -
SUPER_6              -          TR                   -               68     163  4916529  4916634  4916506  4916635 22425071    +        0.22   17.1   0.9  -
SUPER_10             -          TR                   -               68     132  5220838  5220895  5220819  5220908 20615955    +         0.3   16.7   0.0  -
SUPER_6              -          TR                   -               68     134 19105831 19105901 19105811 19105918 22425071    +        0.31   16.6   0.4  -
SUPER_4              -          TR                   -               67     130 17627047 17626958 17627083 17626938 28669415    -        0.67   15.5   3.7  -
SUPER_4              -          TR                   -              136     180 24796300 24796257 24796318 24796251 28669415    -        0.78   15.3   1.6  -
SUPER_6              -          TR                   -               68     130 11261685 11261741 11261665 11261766 22425071    +        0.85   15.2   0.3  -
SUPER_10             -          TR                   -               79     202  9758982  9758860  9759004  9758860 20615955    -           1   15.0   1.8  -
SUPER_6              -          TR                   -               37     135 11372596 11372726 11372579 11372755 22425071    +           1   14.9   0.3  -
SUPER_9              -          TR                   -                5     124  7221128  7221027  7221133  7221006 21411969    -           1   14.9   0.3  -
SUPER_8              -          TR                   -              151     204 11806725 11806668 11806746 11806639 21538990    -         1.4   14.4   4.1  -
SUPER_5              -          TR                   -              106     224  1230007  1229888  1230045  1229830 26436601    -           2   14.0   0.0  -
SUPER_5              -          TR                   -               22     141  2286058  2286229  2286043  2286249 26436601    +         2.2   13.8   1.1  -
SUPER_2              -          TR                   -              103     157 31276737 31276669 31276757 31276664 43116102    -         2.8   13.5   2.7  -
SUPER_1              -          TR                   -              102     142  3264232  3264277  3264210  3264294 47500455    +           3   13.4   1.5  -
SUPER_3              -          TR                   -               79     136 20514459 20514391 20514479 20514369 41013269    -         4.6   12.8   1.1  -
SUPER_1              -          TR                   -               24     130 38984816 38984912 38984804 38984932 47500455    +         5.8   12.5   0.5  -
SUPER_1              -          TR                   -               73     128 15833590 15833637 15833474 15833659 47500455    +         6.1   12.4   5.7  -
SUPER_6              -          TR                   -               68     131 11350376 11350433 11350356 11350463 22425071    +         6.2   12.4   0.1  -
SUPER_4              -          TR                   -               31     126 28589123 28588990 28589144 28588970 28669415    -         6.7   12.3   0.5  -
SUPER_9              -          TR                   -               57     141  8419337  8419243  8419358  8419224 21411969    -         7.2   12.2   2.3  -
SUPER_1              -          TR                   -              104     166  3111416  3111528  3111400  3111529 47500455    +         7.3   12.1   0.1  -
SUPER_1              -          TR                   -               73     130 22150204 22150251 22150184 22150271 47500455    +         7.5   12.1   0.6  -
SUPER_2              -          TR                   -               68     162 18332489 18332400 18332516 18332397 43116102    -         7.8   12.0   0.0  -
SUPER_2              -          TR                   -               91     166 14407890 14407811 14407910 14407798 43116102    -           8   12.0   2.7  -
SUPER_10             -          TR                   -               26     130 19897382 19897288 19897392 19897270 20615955    -         8.4   11.9   3.6  -
SUPER_6              -          TR                   -               68     130 11332107 11332163 11332087 11332188 22425071    +         8.8   11.9   0.8  -
SUPER_2              -          TR                   -               33     130 17082424 17082294 17082442 17082274 43116102    -         8.8   11.9   4.8  -
SUPER_5              -          TR                   -               74     140  3103454  3103541  3103432  3103562 26436601    +         8.8   11.9   0.3  -
SUPER_8              -          TR                   -              150     202 11845745 11845689 11845765 11845669 21538990    -         9.3   11.8   3.4  -
SUPER_1              -          TR                   -               74     140 34648333 34648420 34648312 34648441 47500455    +         9.3   11.8   0.4  -
SUPER_6              -          TR                   -               43     124 10142365 10142288 10142388 10142252 22425071    -         9.6   11.7   1.4  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Orthothecium_rufescens/assembly/curated/cbOrtRufe2.1/cbOrtRufe2.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Orthothecium_rufescens.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Orthothecium_rufescens/assembly/curated/cbOrtRufe2.1/cbOrtRufe2.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:21:23 2025
# [ok]
