# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          TR                   -                1     315  50525763  50525429  50525763  50525427  93172879    -     1.2e-09   46.8   5.8  -
SUPER_4              -          TR                   -               88     316  63547306  63547580  63547286  63547581  99881092    +      0.0011   27.2   4.4  -
SUPER_9              -          TR                   -                2     224  49254401  49254164  49254402  49254075  93172879    -      0.0012   27.1   4.3  -
SUPER_3              -          TR                   -                1     129  16354657  16354489  16354657  16354468 101028618    -        0.38   18.9   1.3  -
SUPER_11             -          TR                   -                1      84  44154206  44154083  44154206  44154063  90768482    -        0.38   18.8   1.2  -
SUPER_1              -          TR                   -                2      93  97439004  97439127  97439003  97439146 104702362    +        0.49   18.5   1.5  -
SUPER_8              -          TR                   -                1      68  70956164  70956245  70956164  70956292  93902328    +         0.5   18.5   1.1  -
SUPER_2              -          TR                   -                1      67  83965547  83965483  83965547  83965418 104463951    -        0.55   18.3   1.1  -
SUPER_11             -          TR                   -                1     102  48060348  48060212  48060348  48060199  90768482    -        0.81   17.8   2.2  -
SUPER_2              -          TR                   -                1      66  32949267  32949330  32949267  32949393 104463951    +         1.1   17.4   1.8  -
SUPER_15             -          TR                   -                1      84  46566985  46567102  46566985  46567116  82176822    +         1.4   17.0   3.3  -
SUPER_2              -          TR                   -                1      82  83286252  83286175  83286252  83286154 104463951    -         1.4   17.0   2.6  -
SUPER_8              -          TR                   -              161     200  27253550  27253499  27253554  27253479  93902328    -         1.4   16.9   0.5  -
SUPER_4              -          TR                   -              120     180  62512021  62512079  62512003  62512086  99881092    +         1.5   16.9   0.5  -
SUPER_3              -          TR                   -                1      83  85404785  85404863  85404785  85404884 101028618    +         1.7   16.7   3.1  -
SUPER_2              -          TR                   -                1      65  26221217  26221155  26221217  26221111 104463951    -         1.8   16.7   1.8  -
SUPER_9              -          TR                   -              160     195   2224384   2224347   2224404   2224341  93172879    -         1.8   16.6   1.2  -
SUPER_1              -          TR                   -                1      65  37302422  37302484  37302422  37302549 104702362    +         1.9   16.6   0.7  -
SUPER_5              -          TR                   -                1      82  18406936  18407013  18406936  18407033  98645402    +           2   16.5   3.4  -
SUPER_11             -          TR                   -                1      68  44147914  44147846  44147914  44147787  90768482    -         2.1   16.4   1.3  -
SUPER_18             -          TR                   -                1      61    912207    912265    912207    912282  79124828    +         2.2   16.3   2.6  -
SUPER_12             -          TR                   -                1      68  76087477  76087552  76087477  76087603  88111364    +         2.3   16.3   0.3  -
SUPER_17             -          TR                   -                1      67  22172007  22171943  22172007  22171918  81129242    -         2.4   16.2   1.2  -
SUPER_6              -          TR                   -                1      94  78656127  78656253  78656127  78656270  98587362    +         2.5   16.2   1.1  -
SUPER_11             -          TR                   -                1      84  26483760  26483883  26483760  26483903  90768482    +         2.5   16.2   1.3  -
SUPER_8              -          TR                   -                1      68  75250436  75250504  75250436  75250563  93902328    +         2.5   16.2   1.0  -
SUPER_4              -          TR                   -                1      68   5999885   5999962   5999885   6000013  99881092    +         2.6   16.1   0.8  -
SUPER_11             -          TR                   -                1      61  31553459  31553517  31553459  31553538  90768482    +         2.9   15.9   5.2  -
SUPER_3              -          TR                   -                1      61  34113118  34113060  34113118  34113036 101028618    -           3   15.9   3.8  -
SUPER_6              -          TR                   -                1      84  59143836  59143958  59143836  59143976  98587362    +         3.1   15.8   2.1  -
SUPER_8              -          TR                   -                1      84  80225357  80225436  80225357  80225459  93902328    +         3.2   15.8   2.8  -
SUPER_3              -          TR                   -                1      65  89973584  89973522  89973584  89973458 101028618    -         3.2   15.8   0.3  -
SUPER_16             -          TR                   -                1      68   6293181   6293071   6293181   6293034  81440011    -         3.2   15.8   1.8  -
SUPER_2              -          TR                   -                1      84  89168102  89167980  89168102  89167961 104463951    -         3.6   15.6   1.0  -
SUPER_6              -          TR                   -                1      63  61431303  61431363  61431303  61431430  98587362    +         3.7   15.6   1.2  -
SUPER_17             -          TR                   -                2      98  75504220  75504122  75504221  75504102  81129242    -         3.8   15.6   4.6  -
SUPER_9              -          TR                   -                1      65  72926081  72926143  72926081  72926165  93172879    +         3.9   15.5   3.0  -
SUPER_13             -          TR                   -               19     131  52292235  52292125  52292246  52292105  85259564    -         4.1   15.4   5.5  -
SUPER_2              -          TR                   -                1      82  87530054  87530131  87530054  87530152 104463951    +         4.2   15.4   4.1  -
SUPER_11             -          TR                   -                1      78  38469929  38470002  38469929  38470025  90768482    +         4.4   15.4   4.2  -
SUPER_3              -          TR                   -                2      61  25380616  25380559  25380617  25380538 101028618    -         4.5   15.3   2.5  -
SUPER_15             -          TR                   -                1      62  19281482  19281541  19281482  19281565  82176822    +         4.5   15.3   3.2  -
SUPER_5              -          TR                   -                4     102  12952120  12952259  12952117  12952272  98645402    +         4.6   15.3   3.7  -
SUPER_1              -          TR                   -                1      67  28874439  28874503  28874439  28874523 104702362    +         4.7   15.3   1.9  -
SUPER_1              -          TR                   -                1      65  51240036  51239974  51240036  51239938 104702362    -         4.7   15.3   3.4  -
SUPER_11             -          TR                   -                1      68  80149230  80149299  80149230  80149347  90768482    +         4.7   15.3   2.7  -
SUPER_19             -          TR                   -              160     194  19440556  19440590  19440536  19440593  74796268    +         4.8   15.2   1.6  -
SUPER_18             -          TR                   -              160     198  63719994  63719945  63720014  63719938  79124828    -         4.8   15.2   3.8  -
SUPER_11             -          TR                   -                1      61  43994256  43994314  43994256  43994383  90768482    +         4.9   15.2   2.2  -
SUPER_4              -          TR                   -                1      65  61345232  61345294  61345232  61345326  99881092    +         5.2   15.1   2.5  -
SUPER_1              -          TR                   -                1      82  43306364  43306441  43306364  43306461 104702362    +         5.5   15.0   2.4  -
SUPER_3              -          TR                   -                1      58  40602870  40602925  40602870  40602946 101028618    +         5.7   15.0   3.0  -
SUPER_12             -          TR                   -                1      60  54913639  54913696  54913639  54913716  88111364    +           6   14.9   2.8  -
SUPER_3              -          TR                   -                1      81  32750602  32750723  32750602  32750735 101028618    +           6   14.9   1.7  -
SUPER_6              -          TR                   -                1      61  27010911  27010969  27010911  27010989  98587362    +         6.2   14.9   2.9  -
SUPER_3              -          TR                   -                1      60  93058444  93058387  93058444  93058365 101028618    -         6.2   14.9   2.2  -
SUPER_12             -          TR                   -                1      61  54927014  54927072  54927014  54927092  88111364    +         6.5   14.8   3.6  -
SUPER_8              -          TR                   -                1      54  55994192  55994141  55994192  55994126  93902328    -         6.5   14.8   0.6  -
SUPER_6              -          TR                   -                1      61  27015591  27015649  27015591  27015669  98587362    +         6.5   14.8   4.2  -
SUPER_8              -          TR                   -                1      75  90475344  90475420  90475344  90475441  93902328    +         6.5   14.8   2.4  -
SUPER_8              -          TR                   -                1      62  67371560  67371619  67371560  67371640  93902328    +         6.6   14.8   4.2  -
SUPER_1              -          TR                   -                1      84  77044942  77044819  77044942  77044799 104702362    -         6.6   14.8   2.4  -
SUPER_9              -          TR                   -                1      80  78232665  78232740  78232665  78232762  93172879    +           7   14.7   0.7  -
SUPER_12             -          TR                   -                1      65  39305650  39305712  39305650  39305731  88111364    +         7.1   14.7   3.1  -
SUPER_1              -          TR                   -                1      60  66510592  66510535  66510592  66510510 104702362    -         7.4   14.6   4.2  -
SUPER_5              -          TR                   -                1      65  62576900  62576962  62576900  62576980  98645402    +         7.4   14.6   2.9  -
SUPER_3              -          TR                   -                1      61  94808769  94808711  94808769  94808691 101028618    -         7.4   14.6   3.4  -
SUPER_16             -          TR                   -                1      82  49668841  49668918  49668841  49668928  81440011    +         7.6   14.6   2.7  -
SUPER_2              -          TR                   -                1      63  76881462  76881402  76881462  76881380 104463951    -         7.8   14.5   4.3  -
SUPER_3              -          TR                   -                1      61  91556994  91556936  91556994  91556912 101028618    -         7.9   14.5   3.4  -
SUPER_10             -          TR                   -                2      65   8941340   8941279   8941341   8941251  91449534    -         7.9   14.5   0.8  -
SUPER_5              -          TR                   -                1      82  12964859  12964936  12964859  12964956  98645402    +         8.1   14.5   2.6  -
SUPER_5              -          TR                   -                1      82  12971638  12971715  12971638  12971735  98645402    +         8.1   14.5   2.6  -
SUPER_19             -          TR                   -                1      94  28143050  28142930  28143050  28142916  74796268    -         8.2   14.5   3.7  -
SUPER_20             -          TR                   -               21     117   9981868   9981764   9981877   9981744  72979972    -         8.3   14.4   2.9  -
SUPER_8              -          TR                   -                1      64  92674621  92674560  92674621  92674544  93902328    -         8.4   14.4   1.9  -
SUPER_11             -          TR                   -                1      63  48214450  48214390  48214450  48214369  90768482    -         8.5   14.4   1.8  -
SUPER_8              -          TR                   -                1      82  60555091  60555014  60555091  60554998  93902328    -         8.6   14.4   3.2  -
SUPER_12             -          TR                   -                1      60  38570326  38570269  38570326  38570227  88111364    -         8.7   14.4   3.3  -
SUPER_3              -          TR                   -                1      60  87632968  87633025  87632968  87633046 101028618    +         8.8   14.4   3.1  -
SUPER_3              -          TR                   -                1      63  93912461  93912401  93912461  93912381 101028618    -         8.8   14.4   4.1  -
SUPER_11             -          TR                   -                1      84  14452878  14452755  14452878  14452739  90768482    -         8.9   14.4   2.2  -
SUPER_3              -          TR                   -              102     161   5432695   5432634   5432715   5432631 101028618    -           9   14.3   2.8  -
SUPER_11             -          TR                   -                3      99  31560086  31560216  31560084  31560231  90768482    +         9.4   14.3   3.6  -
SUPER_1              -          TR                   -                1      67  49908702  49908766  49908702  49908808 104702362    +         9.4   14.3   1.4  -
SUPER_3              -          TR                   -                1      60  76243269  76243212  76243269  76243188 101028618    -         9.4   14.3   2.5  -
SUPER_2              -          TR                   -                1      62  90597038  90597097  90597038  90597117 104463951    +         9.4   14.3   2.9  -
SUPER_11             -          TR                   -                3      68  74007087  74007011  74007089  74006946  90768482    -         9.4   14.3   1.3  -
SUPER_6              -          TR                   -                1      62  61498747  61498806  61498747  61498829  98587362    +         9.5   14.3   3.7  -
SUPER_18             -          TR                   -                1      68  65807884  65807777  65807884  65807746  79124828    -         9.6   14.2   3.7  -
SUPER_2              -          TR                   -                1      65  89158274  89158212  89158274  89158177 104463951    -         9.7   14.2   2.0  -
SUPER_16             -          TR                   -                1      65  47873620  47873558  47873620  47873539  81440011    -         9.7   14.2   3.3  -
SUPER_8              -          TR                   -                1      61   7611882   7611824   7611882   7611804  93902328    -         9.8   14.2   3.7  -
SUPER_1              -          TR                   -                1      65  56826760  56826698  56826760  56826678 104702362    -         9.9   14.2   3.4  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Senecio_sylvaticus/assembly/curated/daSenSylv1.1/daSenSylv1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Senecio_sylvaticus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Senecio_sylvaticus/assembly/curated/daSenSylv1.1/daSenSylv1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:57 2025
# [ok]
