# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_17             -          TR                   -                1     313  70783955  70784294  70783955  70784297  88086928    +     1.2e-15   67.1   8.4  -
SUPER_9              -          TR                   -                1     225  92499570  92499336  92499570  92499315  94561142    -     5.3e-05   32.2   4.8  -
SUPER_7              -          TR                   -              103     190  11584762  11584882  11584742  11584884  95400752    +        0.13   21.0   6.0  -
HAP1_SCAFFOLD_1236   -          TR                   -               23     180     19818     19638     19833     19630     54243    -        0.22   20.3   4.4  -
SUPER_1              -          TR                   -               18     181   3606486   3606671   3606479   3606688 139662365    +         1.4   17.6   0.5  -
HAP1_SCAFFOLD_1075   -          TR                   -               24     122     53697     53576     53712     53523     57758    -         1.5   17.5   3.4  -
SUPER_14             -          TR                   -                1     102  60994388  60994512  60994388  60994522  88730391    +         1.6   17.4   3.1  -
SUPER_12             -          TR                   -              159     194  60263854  60263888  60263837  60263893  93019789    +         1.8   17.3   0.1  -
SUPER_6              -          TR                   -                1     102  39356971  39357101  39356971  39357108  93552018    +         1.9   17.2   2.5  -
SUPER_23             -          TR                   -              103     300    190764    190957    190746    190968  80285337    +         3.2   16.5   8.7  -
HAP1_SCAFFOLD_142    -          TR                   -               33     166     58072     57907     58092     57898    127239    -         3.3   16.4   3.1  -
HAP1_SCAFFOLD_920    -          TR                   -               31     175     14752     14931     14740     14932     62014    +         3.7   16.2   5.4  -
SUPER_11             -          TR                   -                2     104  71860355  71860487  71860354  71860498  93257450    +         3.8   16.2   6.7  -
HAP1_SCAFFOLD_972    -          TR                   -               23     125       496       379       510       357     60572    -         3.8   16.2   3.3  -
SUPER_25             -          TR                   -                1     102  50658504  50658635  50658504  50658644  76506422    +           4   16.1   4.4  -
HAP1_SCAFFOLD_2311   -          TR                   -              144     198      3675      3733      3653      3735     40950    +         4.6   15.9   1.3  -
SUPER_13             -          TR                   -                2     100  19092498  19092371  19092499  19092356  92215287    -           5   15.8   5.1  -
SUPER_6              -          TR                   -                1     101  83666889  83667017  83666889  83667027  93552018    +         5.2   15.8   2.0  -
SUPER_1              -          TR                   -               11     136 119717732 119717588 119717736 119717567 139662365    -         5.3   15.7   4.0  -
SUPER_6              -          TR                   -                1      90  31541978  31541865  31541978  31541848  93552018    -         5.4   15.7   2.9  -
HAP1_SCAFFOLD_136    -          TR                   -               28     156     96776     96970     96757     96981    129222    +         5.8   15.6   5.5  -
HAP1_SCAFFOLD_1246   -          TR                   -               68     162     43528     43398     43548     43384     54068    -         6.4   15.5   3.4  -
SUPER_6              -          TR                   -                1      93  31543244  31543124  31543244  31543109  93552018    -         6.7   15.4   3.2  -
SUPER_9              -          TR                   -               26     125  21075008  21074885  21075021  21074865  94561142    -         7.2   15.3   1.6  -
SUPER_5              -          TR                   -                1     102   5780618   5780751   5780618   5780764  98290993    +         7.3   15.3   5.7  -
SUPER_18             -          TR                   -                1      84  44553391  44553506  44553391  44553526  87724364    +           8   15.1   4.0  -
SUPER_6              -          TR                   -                1      92  31539002  31538887  31539002  31538871  93552018    -         8.2   15.1   3.6  -
SUPER_4              -          TR                   -              161     192  19720631  19720599  19720635  19720593  99973332    -         9.1   15.0   3.6  -
SUPER_2              -          TR                   -                1      95 111534361 111534487 111534361 111534507 137447409    +         9.5   14.9   4.3  -
SUPER_15             -          TR                   -                1     106  18291115  18291252  18291115  18291260  85599440    +         9.9   14.8   5.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Petasites_albus/assembly/curated/daPetAlbu1.1/daPetAlbu1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Petasites_albus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Petasites_albus/assembly/curated/daPetAlbu1.1/daPetAlbu1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:21:08 2025
# [ok]
