# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -                2     312  26166811  26166518  26166812  26166513  70791201    -     1.9e-12   54.8   7.8  -
SUPER_7              -          TR                   -                2      98  41399709  41399800  41399708  41399820  81121946    +        0.41   17.6   1.0  -
SUPER_6              -          TR                   -                1      57  71130316  71130260  71130316  71130193  91318695    -         1.4   15.8   1.2  -
SUPER_4              -          TR                   -               67     180  23842206  23842095  23842241  23842090  93763019    -         2.1   15.3   5.8  -
SUPER_6              -          TR                   -                1     102  73555497  73555362  73555497  73555351  91318695    -         2.2   15.1   2.4  -
SUPER_1              -          TR                   -                1     102  99348643  99348729  99348643  99348739 111581102    +         2.4   15.0   3.4  -
SUPER_6              -          TR                   -                1     102  88055800  88055694  88055800  88055674  91318695    -         2.6   15.0   6.1  -
SUPER_7              -          TR                   -                1      79  79798977  79798903  79798977  79798884  81121946    -         2.6   15.0   0.7  -
SUPER_2              -          TR                   -                1      69 100092734 100092665 100092734 100092656 107437819    -         2.8   14.8   1.7  -
SUPER_3              -          TR                   -                1      65   8341553   8341491   8341553   8341471 100866412    -         3.5   14.5   0.5  -
SUPER_2              -          TR                   -                1      53  45291128  45291180  45291128  45291228 107437819    +         3.5   14.5   0.6  -
SUPER_2              -          TR                   -                1      63 100099843 100099783 100099843 100099766 107437819    -         3.5   14.5   1.6  -
SUPER_2              -          TR                   -                1      58  81651567  81651622  81651567  81651642 107437819    +         3.8   14.4   2.3  -
SUPER_4              -          TR                   -              145     193  87539187  87539143  87539207  87539136  93763019    -         3.8   14.4   0.6  -
SUPER_8              -          TR                   -               20     102   7258505   7258589   7258496   7258609  70791201    +         4.5   14.2   0.3  -
SUPER_1              -          TR                   -                1      84   3729621   3729537   3729621   3729523 111581102    -         4.7   14.1   1.1  -
SUPER_4              -          TR                   -              106     155  36199479  36199432  36199499  36199429  93763019    -         4.8   14.1   2.1  -
SUPER_3              -          TR                   -                1      84  11907443  11907527  11907443  11907544 100866412    +           5   14.0   0.6  -
SUPER_2              -          TR                   -                1      84   4379180   4379264   4379180   4379284 107437819    +           5   14.0   0.8  -
SUPER_4              -          TR                   -                1     102  12196621  12196757  12196621  12196768  93763019    +         5.2   13.9   1.1  -
SUPER_3              -          TR                   -                1     100  93098708  93098803  93098708  93098815 100866412    +         5.4   13.9   0.8  -
SUPER_5              -          TR                   -                3      84  71982027  71982129  71982025  71982150  93006468    +         5.4   13.9   0.3  -
SUPER_7              -          TR                   -                1      82  17938930  17939013  17938930  17939033  81121946    +         6.9   13.6   0.8  -
SUPER_5              -          TR                   -                1     102  63070504  63070372  63070504  63070360  93006468    -         6.9   13.5   0.6  -
SUPER_6              -          TR                   -                1      55  73561154  73561102  73561154  73561073  91318695    -           7   13.5   2.1  -
SUPER_8              -          TR                   -                1      78  61466576  61466649  61466576  61466670  70791201    +           7   13.5   1.0  -
SUPER_2              -          TR                   -                1      79  82405580  82405654  82405580  82405674 107437819    +         7.1   13.5   0.5  -
SUPER_1              -          TR                   -                2      71  26184594  26184664  26184593  26184671 111581102    +         7.1   13.5   1.5  -
SUPER_3              -          TR                   -                1      62   6400514   6400455   6400514   6400437 100866412    -         7.2   13.5   1.4  -
SUPER_5              -          TR                   -               72     142  86365690  86365618  86365711  86365598  93006468    -         7.4   13.4   0.4  -
SUPER_1              -          TR                   -                1      63  27076845  27076905  27076845  27076936 111581102    +         7.5   13.4   1.2  -
SUPER_8              -          TR                   -              149     191  17108043  17108079  17108019  17108087  70791201    +         8.1   13.3   2.9  -
SUPER_3              -          TR                   -                2      65   8339567   8339506   8339568   8339486 100866412    -         8.7   13.2   1.1  -
SUPER_2              -          TR                   -                1      79  35659484  35659558  35659484  35659578 107437819    +         8.9   13.2   1.4  -
SUPER_3              -          TR                   -                1      76    423915    423844    423915    423825 100866412    -         9.2   13.1   0.5  -
SUPER_5              -          TR                   -                9     102  27187184  27187277  27187183  27187296  93006468    +         9.7   13.1   1.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Carduus_nutans/assembly/curated/daCarNuta1.1/daCarNuta1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Carduus_nutans.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Carduus_nutans/assembly/curated/daCarNuta1.1/daCarNuta1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:12:44 2025
# [ok]
